Wall time,Step,Value
1656212603.024518,33,0.0
1656213037.9150116,10058,0.0
1656213504.0994487,20085,0.0
1656213948.4540732,30088,0.0
1656214390.1989555,40103,0.0
1656214852.3765767,50117,0.0
1656215318.5381749,60135,0.0
1656215757.8850362,70141,0.0
1656216184.675751,80151,0.0
1656216613.098254,90164,0.0
1656217030.8881066,100170,0.0
1656217475.7720394,110211,0.15625
1656217870.3889556,120246,0.46875
1656218247.4762428,130251,0.21875
1656218637.7223785,140299,0.25
1656219050.4729996,150308,0.375
1656219452.9133537,160337,0.5625
1656219817.5611656,170349,0.53125
1656220217.3332422,180409,0.46875
1656220588.651434,190426,0.5
1656221003.1596463,200470,0.75
1656221382.7968752,210485,0.625
1656221775.1581273,220538,0.5
1656222154.7615812,230575,0.78125
1656222542.93986,240594,0.53125
1656222969.7782376,250634,0.375
1656223377.5757127,260649,0.78125
1656223758.1649094,270655,0.59375
1656224147.7209055,280684,0.625
1656224559.1088085,290717,0.3125
1656224951.990351,300730,0.8125
1656225344.821125,310769,0.78125
1656225714.292604,320820,0.59375
1656226081.160153,330860,0.875
1656226486.9332864,340875,0.6875
1656226899.3775516,350923,0.6875
1656227282.7620394,360929,0.8125
1656227631.0701756,371067,0.75
1656228001.775847,381107,0.90625
1656228397.3777454,391149,0.75
1656228812.847457,401178,0.75
1656229187.7727444,411232,0.8125
1656229576.2451005,421254,0.875
1656229958.2940478,431314,0.84375
1656230364.0066957,441363,0.84375
1656230782.3987384,451384,0.84375
1656231177.7387075,461418,0.71875
1656231550.714562,471440,0.96875
1656231929.207611,481440,0.96875
1656232331.4450233,491450,0.8125
1656232730.5818758,501502,1.0
1656233135.1093628,511528,0.84375
1656233491.2518995,521564,0.90625
1656233890.9540284,531618,1.0
1656234316.3155136,541667,0.71875
1656234713.5486042,551689,0.8125
1656235104.8261156,561727,0.84375
1656235514.1315453,571761,0.875
1656235938.480109,581768,0.78125
1656236375.2824407,591778,0.9375
1656236787.9019468,601819,0.9375
1656237173.0031574,611839,0.84375
1656237596.9478047,621842,0.875
1656238022.2561529,631853,0.90625
1656238436.9870937,641868,0.9375
1656238858.5858872,651913,0.96875
1656239258.423445,661923,0.875
1656239665.0760658,671923,0.9375
1656240097.0884285,681930,0.96875
1656240519.9718037,691946,0.84375
1656240926.2177505,701996,0.96875
1656241337.373284,712017,1.0
1656241767.9611368,722053,0.8125
1656242215.2102063,732090,1.0
1656242641.3266885,742126,0.96875
1656243054.0268476,752142,0.84375
1656243460.6283705,762145,0.78125
1656243894.1489396,772188,0.90625
1656244310.166382,782405,0.96875
1656244716.8528326,792437,1.0
1656245121.3030038,802450,1.0
1656245540.8090456,812491,1.0
1656245973.01829,822503,0.96875
1656246387.4610775,832528,0.96875
1656246790.7381115,842575,1.0
1656247207.2715676,852633,0.96875
1656247627.5361512,862677,0.9375
1656248059.752494,872708,0.875
1656248474.08081,882751,1.0
1656248881.3710322,892797,0.9375
1656249282.8136933,902821,0.96875
1656249692.5236375,912873,1.0
1656250136.4829347,922918,0.9375
1656250543.6331944,932930,0.9375
1656250913.3507934,942986,0.84375
1656251323.0846343,952991,0.96875
1656251712.9213765,963022,0.96875
1656252147.0316956,973058,0.96875
1656252552.6705713,983071,0.96875
1656252952.2602797,993110,1.0
1656253357.0459967,1003143,0.9375
1656253793.0474932,1013202,0.90625
1656254210.9632857,1023222,0.9375
1656254616.524126,1033265,1.0
1656255020.025493,1043311,0.90625
1656255440.1037002,1053352,1.0
1656255872.7391229,1063397,0.96875
1656256284.758101,1073417,0.96875
1656256689.3177748,1083469,1.0
1656257109.7434616,1093473,0.96875
1656257534.8075223,1103502,0.96875
1656257938.072402,1113554,0.96875
1656258345.5148885,1123575,0.96875
1656258751.149201,1133583,1.0
1656259124.7831047,1143613,0.96875
1656259543.05501,1153631,1.0
1656259971.3817768,1163645,0.84375
1656260374.4437933,1173723,0.9375
1656260795.359407,1183726,1.0
1656261220.604226,1193768,0.96875
1656261670.2481062,1203771,0.90625
1656262112.0696573,1213805,0.9375
1656262505.0185924,1224183,0.96875
1656262909.8929987,1234236,0.96875
1656263342.854754,1244243,1.0
1656263771.1641343,1254262,1.0
1656264209.0791576,1264282,0.875
1656264656.3704827,1274335,0.90625
1656265073.2814813,1284377,1.0
1656265506.968936,1294561,0.9375
1656265937.9727108,1304587,1.0
1656266381.4605176,1314630,0.96875
1656266817.8535624,1324653,0.96875
1656267251.4150004,1334709,0.96875
1656267713.5156126,1344709,0.9375
1656268152.143682,1354748,0.96875
1656268575.0957196,1364792,1.0
1656269015.3876014,1374802,0.96875
1656269483.41316,1384831,0.96875
1656269961.322715,1394832,1.0
1656270403.0468528,1405088,0.96875
1656270845.604711,1415148,1.0
1656271307.639191,1425154,1.0
1656271746.3422763,1435190,0.96875
1656272161.9753034,1445243,1.0
1656272609.539777,1455291,1.0
1656273047.5010386,1465302,0.96875
1656273501.0287018,1475319,1.0
1656273938.1755219,1485323,1.0
1656274382.2843733,1495365,1.0
