Wall time,Step,Value
1656348640.308415,33,0.0
1656348974.0092263,10045,0.0
1656349321.8175855,20053,0.0
1656349696.820533,30056,0.0
1656350096.4964008,40057,0.0
1656350501.1072814,50114,0.0
1656350776.9975476,60140,0.0
1656351031.8282459,70169,0.0
1656351331.9266803,80172,0.0
1656351638.2567353,90174,0.0
1656351965.1296375,100190,0.0
1656352278.2067614,110248,0.0
1656352508.235483,120249,0.0
1656352821.6848323,130265,0.0
1656353185.66199,140285,0.0
1656353514.8290722,150298,0.0
1656353846.9732091,160304,0.0
1656354162.316472,170306,0.0
1656354484.7195082,180320,0.0
1656354830.7225637,190326,0.0
1656355169.432974,200352,0.0
1656355510.143597,210352,0.0
1656355859.494555,220364,0.0
1656356178.7213044,230388,0.0
1656356505.4701567,240394,0.0
1656356835.1493657,250400,0.0
1656357162.2028506,260419,0.0
1656357487.706784,270425,0.0
1656357806.823685,280443,0.0
1656358092.448372,290451,0.0
1656358376.8204217,300465,0.0
1656358648.1295676,310507,0.0
1656358908.394541,320535,0.03125
1656359175.7516515,330572,0.0
1656359474.0180008,340600,0.03125
1656359775.8206182,350608,0.0
1656360069.1466966,360778,0.0
1656360333.8880007,370806,0.0625
1656360598.2668478,380868,0.0625
1656360862.8559132,391036,0.03125
1656361143.0380538,401046,0.0625
1656361415.1309967,411102,0.0625
1656361705.7134192,421129,0.03125
1656362001.0140655,431163,0.0
1656362296.5331025,441174,0.03125
1656362581.0092819,451212,0.03125
1656362879.027462,461257,0.0625
1656363190.9079456,471343,0.03125
1656363500.7114904,481471,0.03125
1656363819.3739254,491511,0.09375
1656364152.7970915,501524,0.09375
1656364478.2346888,511541,0.03125
1656364790.7559416,521543,0.09375
1656365116.275692,531549,0.0625
1656365443.8606122,541581,0.1875
1656365770.8265467,551660,0.09375
1656366120.575087,561671,0.25
1656366464.9035609,571718,0.15625
1656366809.975782,581733,0.34375
1656367155.7764769,591752,0.34375
1656367515.0855517,601786,0.375
1656367850.1302924,611799,0.375
1656368183.0481718,621847,0.53125
1656368518.2490132,631887,0.34375
1656368859.924256,641894,0.40625
1656369211.5237389,651924,0.25
1656369566.2494903,661937,0.3125
1656369910.432146,671978,0.3125
1656370240.377425,681982,0.25
1656370569.0931494,691990,0.1875
1656370901.725833,702012,0.0625
1656371244.3341112,712015,0.25
1656371580.144795,722077,0.03125
1656371915.42958,732086,0.09375
1656372245.1478417,742122,0.09375
1656372559.3899822,752132,0.21875
1656372863.3788636,762166,0.1875
1656373188.4891062,772247,0.25
1656373502.9675214,782285,0.375
1656373816.4437404,792324,0.34375
1656374125.124046,802335,0.46875
1656374431.5427177,812380,0.375
1656374720.5009027,822395,0.375
1656375012.2748682,832408,0.4375
1656375293.533621,842426,0.5
1656375583.5874152,852434,0.34375
1656375883.45882,862441,0.40625
1656376173.2749424,872475,0.46875
1656376478.2272835,882497,0.71875
1656376774.3507774,892523,0.40625
1656377061.5627067,902559,0.40625
1656377346.026836,912605,0.5625
1656377629.7485986,922636,0.59375
1656377929.345863,932656,0.53125
1656378227.153343,942661,0.5625
1656378511.6837115,952661,0.75
1656378798.7835205,962675,0.5
1656379087.2032201,972719,0.5625
1656379382.659161,982882,0.625
1656379680.8487709,992925,0.53125
1656379966.9671159,1002963,0.5
1656380259.495207,1012990,0.65625
1656380575.2839189,1023021,0.71875
1656380882.9587464,1033041,0.8125
1656381209.8765743,1043078,0.78125
1656381506.7793536,1053116,0.625
1656381820.632568,1063124,0.78125
1656382125.552459,1073139,0.78125
1656382443.0490062,1083200,0.625
1656382779.2716355,1093241,0.65625
1656383077.3812094,1103265,0.8125
1656383398.2788115,1113303,0.65625
1656383713.2008388,1123337,0.625
1656384023.5880697,1133438,0.6875
1656384331.0719824,1143554,0.75
1656384656.0841744,1153574,0.5625
1656385009.686884,1163590,0.59375
1656385400.202865,1173614,0.75
1656385710.7368572,1183620,0.59375
1656386028.9157457,1193650,0.625
1656386359.6735685,1203665,0.65625
1656386664.3944776,1213666,0.84375
1656386973.0900362,1223668,0.78125
1656387348.9201896,1233694,0.90625
1656387699.6838348,1243763,0.8125
1656388090.2157218,1253792,0.6875
1656388429.9444413,1263854,0.71875
1656388761.6560514,1273859,0.9375
1656389058.1341155,1283929,0.78125
1656389365.1322682,1293930,0.9375
1656389713.6380992,1303958,0.875
1656390070.3077726,1314017,0.84375
1656390396.806827,1324030,0.78125
1656390743.669019,1334050,0.90625
1656391085.770906,1344056,0.59375
1656391438.4051461,1354086,0.96875
1656391763.2960522,1364140,0.75
1656392114.8393753,1374190,0.8125
1656392474.6124914,1384245,0.8125
1656392869.9188778,1394261,0.8125
1656393242.4892564,1404280,0.84375
1656393608.631688,1414421,0.75
1656393976.1637096,1424502,0.8125
1656394328.1515656,1434642,0.8125
1656394665.4727933,1444666,1.0
1656395031.4838502,1454744,0.84375
1656395371.858949,1464804,0.78125
1656395692.6553557,1474855,0.78125
1656396024.8787875,1484857,0.90625
1656396344.8312416,1494909,0.78125
1656396703.876029,1504977,0.90625
1656397041.8146067,1514989,0.875
1656397367.4142709,1525031,0.84375
1656397687.3113337,1535065,0.90625
1656398014.8578067,1545068,0.84375
1656398359.0828674,1555114,0.96875
1656398721.4134812,1565181,0.9375
1656399061.0021424,1575244,1.0
1656399416.4428682,1585284,0.96875
1656399782.2630513,1595383,1.0
1656400146.6185806,1605434,1.0
1656400511.2718687,1615495,0.96875
1656400890.7173758,1625525,0.96875
1656401251.4919899,1635572,0.96875
1656401597.269798,1645607,1.0
1656401942.1570818,1655648,1.0
1656402286.8654702,1665652,1.0
1656402665.5842865,1675669,0.875
1656403030.2721293,1685752,0.96875
1656403361.2268496,1695782,0.9375
1656403735.1802764,1705790,0.96875
1656404098.204818,1715829,0.9375
1656404476.2903557,1725897,0.9375
1656404908.138066,1735931,0.96875
1656405351.5966232,1745976,0.96875
1656405792.5783436,1756031,0.90625
1656406258.5854127,1766060,1.0
1656406719.8313723,1776085,1.0
1656407168.4681382,1786120,1.0
1656407622.227365,1796137,1.0
1656408083.8874335,1806180,1.0
1656408575.4636052,1816237,1.0
1656409037.2913668,1826257,1.0
1656409493.0951068,1836272,0.96875
1656409958.3734057,1846274,0.96875
1656410409.195721,1856329,0.96875
1656410781.555846,1866337,1.0
1656411152.0682495,1876386,0.96875
1656411515.3780658,1886416,0.9375
1656411874.7648473,1896457,1.0
1656412222.4142418,1906493,1.0
1656412577.2562332,1916503,0.96875
1656412952.007044,1926533,1.0
1656413310.7044253,1936558,1.0
1656413684.7455046,1946603,0.96875
1656414058.0917375,1956626,1.0
1656414407.1265104,1966656,1.0
1656414758.7881336,1976679,0.96875
1656415110.5790498,1986699,1.0
1656415457.422084,1996702,0.9375
1656415804.18362,2006725,1.0
1656416150.7925837,2016777,1.0
1656416508.8630621,2026841,0.96875
1656416867.0996244,2036919,0.96875
1656417222.0003262,2046951,0.96875
1656417561.1281734,2056979,0.9375
1656417939.9005916,2067007,0.96875
1656418313.7091787,2077044,1.0
1656418684.9433584,2087102,1.0
1656419062.5362349,2097116,0.96875
1656419399.0894866,2107163,1.0
1656419727.6029437,2117190,0.96875
1656420063.0159879,2127217,1.0
1656420392.9853745,2137256,0.9375
1656420739.7509592,2147287,0.96875
1656421079.781517,2157316,1.0
1656421421.0460236,2167350,1.0
1656421755.5013015,2177389,0.9375
1656422097.2098973,2187427,0.875
1656422449.7650354,2197472,0.8125
1656422785.2852905,2207511,0.90625
1656423148.4985552,2217520,0.9375
1656423495.7591994,2227574,0.96875
1656423826.0277247,2237600,1.0
1656424219.4544182,2247754,0.96875
1656424647.7997527,2257754,0.96875
1656425076.5241947,2267757,0.9375
1656425500.3515568,2277783,0.96875
1656425931.2908432,2287783,1.0
1656426366.9481547,2297820,1.0
1656426737.6412358,2307826,1.0
1656427168.5725124,2317858,0.9375
1656427594.3376322,2327872,0.96875
1656427985.6949465,2337876,1.0
1656428335.5761437,2347899,1.0
1656428775.5592532,2357931,1.0
1656429212.9334967,2367952,1.0
1656429629.2809653,2378013,1.0
1656430028.267206,2388074,1.0
1656430429.0915554,2398114,1.0
1656430857.3030734,2408150,1.0
1656431209.0493774,2418162,1.0
1656431541.8610852,2428189,1.0
1656431874.82665,2438258,1.0
1656432257.9172678,2448310,1.0
1656432611.4666917,2458376,1.0
1656432973.0767167,2468398,1.0
1656433401.3242047,2478428,1.0
1656433752.8104239,2488440,0.96875
1656434090.5327854,2498492,1.0
