Wall time,Step,Value
1656049960.46985,37,0.0
1656050136.2940063,10058,0.0
1656050320.9047208,20062,0.0
1656050504.4976318,30086,0.0
1656050673.516918,40113,0.0
1656050852.1487067,50122,0.0
1656051039.9119034,60140,0.0
1656051214.638242,70147,0.0
1656051382.3551326,80169,0.0
1656051541.8031256,90191,0.0
1656051700.5986972,100219,0.0
1656051851.160009,110243,0.0
1656052003.3195317,120262,0.03125
1656052151.0959694,130293,0.03125
1656052302.5526724,140295,0.03125
1656052455.5592642,150325,0.0625
1656052608.6453388,160375,0.0625
1656052759.4745452,170409,0.0625
1656052904.5021946,180418,0.0
1656053044.69859,190436,0.0
1656053184.6890242,200449,0.0
1656053327.946009,210483,0.09375
1656053468.1201692,220502,0.0
1656053624.8728704,230543,0.0
1656053780.0342846,240560,0.0625
1656053930.0795758,250567,0.1875
1656054080.8789716,260613,0.15625
1656054243.3328695,270624,0.40625
1656054381.0490425,280646,0.375
1656054521.911734,290646,0.53125
1656054655.365905,300659,0.65625
1656054796.0569785,310667,0.125
1656054946.4606671,320684,0.59375
1656055091.8336453,330724,0.71875
1656055243.2230053,340744,0.28125
1656055396.8829052,350756,0.34375
1656055546.4300852,360788,0.5625
1656055681.405344,370831,0.0625
1656055821.6429205,380861,0.5625
1656055955.0875106,390892,0.6875
1656056094.711464,400902,0.46875
1656056227.633915,410904,0.53125
1656056363.4339736,420957,0.875
1656056497.6568272,430994,0.78125
1656056631.9992652,440997,0.5625
1656056766.3421965,451040,0.84375
1656056904.3151426,461061,0.9375
1656057036.248302,471069,0.90625
1656057168.567652,481087,0.84375
1656057302.01693,491130,0.96875
1656057434.3223588,501179,0.84375
1656057574.839803,511221,0.78125
1656057704.6709607,521248,0.96875
1656057837.7389987,531248,0.8125
1656057971.884755,541266,0.84375
1656058104.459599,551304,0.875
1656058241.3303375,561313,0.84375
1656058380.520686,571372,0.84375
1656058515.4953585,581405,0.65625
1656058651.4709036,591428,0.875
1656058790.8308148,601478,0.96875
1656058928.3200035,611495,0.84375
1656059068.403299,621528,0.90625
1656059207.7896163,631580,0.8125
1656059345.6299233,641619,0.9375
1656059473.9110632,651647,0.84375
1656059605.9584577,661669,0.90625
1656059750.3163497,671718,0.9375
1656059905.405148,681720,0.75
1656060053.0388954,691747,0.96875
1656060199.211163,701775,0.875
1656060340.122547,711810,0.96875
1656060481.3195934,721831,0.875
1656060638.503255,731843,0.84375
1656060777.5756392,741847,0.90625
1656060926.6625896,751885,0.84375
1656061071.0741768,761906,0.875
1656061206.8149993,771916,0.9375
1656061356.0535269,781954,0.875
1656061503.2199674,791957,0.96875
1656061645.7692091,801981,0.875
1656061785.9451542,812033,0.8125
1656061920.9002805,822078,1.0
1656062062.2143044,832102,0.875
1656062217.1218529,842119,0.84375
1656062360.418019,852130,0.78125
1656062505.2348964,862137,0.84375
1656062656.2288866,872150,0.75
1656062805.3947308,882183,0.90625
1656062947.321614,892196,0.96875
1656063111.6915095,902198,0.84375
1656063258.882264,912215,0.90625
1656063426.3630092,922242,0.96875
1656063585.6229093,932247,0.8125
1656063743.7014976,942293,0.84375
1656063902.606938,952316,0.96875
1656064061.6949296,962327,0.90625
1656064221.1751342,972347,1.0
1656064373.274597,982389,1.0
1656064532.9031,992400,0.9375
1656064703.618137,1002442,0.96875
1656064883.8121996,1012468,0.9375
1656065049.3345566,1022481,1.0
1656065224.2260764,1032499,1.0
1656065396.762695,1042518,0.96875
1656065568.1622908,1052550,0.90625
1656065738.9325376,1062550,0.875
1656065913.479901,1072571,0.9375
1656066094.8837087,1082578,0.96875
1656066266.9369662,1092593,0.9375
1656066448.1950731,1102638,0.96875
1656066630.6760983,1112648,0.96875
1656066812.9068663,1122684,0.9375
1656066990.1385639,1132728,1.0
1656067175.6041148,1142775,1.0
1656067344.3633337,1152787,1.0
1656067513.852762,1162821,1.0
1656067687.2297337,1172829,0.96875
1656067865.2223618,1182845,1.0
1656068036.0137002,1192892,1.0
1656068199.164199,1202923,0.96875
1656068366.424321,1212933,0.96875
1656068531.6001077,1222982,0.96875
1656068697.0103595,1233015,1.0
1656068851.7484436,1243055,1.0
1656069005.8717022,1253085,1.0
1656069159.005486,1263092,0.96875
1656069309.671517,1273110,0.96875
1656069464.468324,1283128,1.0
1656069622.952781,1293171,0.96875
1656069770.107927,1303175,1.0
1656069916.026032,1313200,0.96875
1656070062.860439,1323245,1.0
1656070213.1405323,1333282,1.0
1656070359.138064,1343294,1.0
1656070504.014283,1353335,0.96875
1656070641.6894124,1363338,1.0
1656070788.0639277,1373360,1.0
1656070930.4528375,1383410,0.96875
1656071071.348404,1393451,0.96875
1656071217.0370183,1403480,1.0
1656071360.0257287,1413513,1.0
1656071499.34744,1423517,0.96875
1656071642.7114363,1433533,1.0
1656071787.5960727,1443580,1.0
1656071938.569024,1453580,0.96875
1656072089.742887,1463607,0.9375
1656072235.531558,1473627,0.96875
1656072376.6677408,1483643,1.0
1656072519.1688533,1493684,1.0
