Wall time,Step,Value
1656083668,32,0
1656084019,10046,0
1656084371,20051,0
1656084737,30078,0
1656085092,40101,0
1656085446,50123,0
1656085794,60140,0
1656086131,70177,0
1656086471,80179,0
1656086807,90183,0
1656087147,100184,0
1656087477,110216,0.0625
1656087792,120237,0.03125
1656088085,130269,0.65625
1656088370,140325,0.65625
1656088643,150339,0.28125
1656088930,160362,0.625
1656089221,170402,0.6875
1656089513,180416,0.65625
1656089791,190460,0.6875
1656090075,200470,0.78125
1656090365,210520,0.71875
1656090655,220559,0.65625
1656090944,230564,0.65625
1656091238,240585,0.875
1656091534,250606,0.875
1656091824,260619,0.8125
1656092125,270677,0.75
1656092426,280730,0.53125
1656092725,290738,0.78125
1656093022,300775,0.6875
1656093319,310797,0.78125
1656093622,320811,0.84375
1656093923,330860,0.84375
1656094226,340886,0.96875
1656094530,350940,0.9375
1656094836,360971,0.875
1656095141,370997,0.875
1656095432,381050,0.9375
1656095728,391085,0.8125
1656096041,401120,0.9375
1656096336,411145,0.84375
1656096635,421164,0.84375
1656096929,431194,0.8125
1656097223,441194,0.8125
1656097573,451222,0.84375
1656097964,461250,0.90625
1656098298,471265,1
1656098632,481312,0.875
1656098961,491319,0.875
1656099299,501343,0.875
1656099645,511370,0.96875
1656100014,521412,0.9375
1656100362,531460,0.8125
1656100712,541486,0.9375
1656101084,551486,0.96875
1656101458,561487,0.8125
1656101792,571488,0.9375
1656102147,581497,1
1656102506,591538,1
1656102899,601567,0.9375
1656103284,611596,0.90625
1656103637,621646,1
1656103958,631670,1
1656104286,641684,0.96875
1656104649,651715,1
1656105017,661744,0.96875
1656105404,671756,0.96875
1656105778,681784,0.96875
1656106165,691803,1
1656106527,701818,1
1656106911,711825,0.96875
1656107269,721835,1
1656107620,731863,1
1656107973,741895,0.96875
1656108340,751918,0.96875
1656108731,761921,0.96875
1656109114,771974,0.96875
1656109529,782022,1
1656109940,792045,0.96875
1656110309,802070,1
1656110642,812117,1
1656110976,822128,1
1656111359,832132,1
1656111740,842157,1
1656112092,852158,1
1656112461,862182,1
1656112850,872185,0.96875
1656113209,882186,1
1656113607,892217,0.96875
1656113958,902228,1
1656114278,912266,1
1656114624,922296,1
1656114971,932337,1
1656115325,942376,1
1656115726,952379,0.96875
1656116107,962434,1
1656116490,972481,0.96875
1656116853,982810,1
1656117219,992846,1
1656117630,1002866,0.96875
1656118044,1012867,0.9375
1656118393,1022894,0.96875
1656118778,1032910,0.96875
1656119179,1042935,0.96875
1656119553,1052980,1
1656119948,1062989,0.90625
1656120356,1073029,1
1656120752,1083045,0.96875
1656121159,1093055,1
1656121519,1103079,1
1656121922,1113079,1
1656122313,1123119,1
1656122689,1133153,1
1656123082,1143206,0.9375
1656123454,1153248,0.96875
1656123827,1163276,0.96875
1656124216,1173313,0.96875
1656124611,1183348,0.96875
1656124996,1193357,0.9375
1656125398,1203407,0.9375
1656125799,1213462,0.96875
1656126167,1223491,0.9375
1656126572,1233512,0.9375
1656126963,1243731,0.9375
1656127349,1253758,0.875
1656127735,1263979,0.90625
1656128131,1274024,0.90625
1656128543,1284064,0.9375
1656128957,1294107,0.90625
1656129353,1304174,1
1656129772,1314222,0.9375
1656130205,1324258,0.90625
1656130602,1334293,0.9375
1656131013,1344337,0.90625
1656131358,1354543,0.9375
1656131726,1364600,0.96875
1656132145,1374600,0.9375
1656132569,1384634,0.90625
1656132988,1394659,0.90625
1656133367,1404713,1
1656133775,1414727,0.875
1656134184,1424776,0.9375
1656134586,1435011,0.90625
1656135018,1445069,0.9375
1656135456,1455387,0.8125
1656135871,1465439,0.84375
1656136274,1475459,0.8125
1656136672,1485493,0.96875
1656137056,1495538,0.90625
