Wall time,Step,Value
1655982814.6717408,31,0.0
1655983024.4791298,10046,0.0
1655983228.665134,20051,0.0
1655983433.1835716,30065,0.0
1655983658.288805,40077,0.0
1655983862.4546654,50096,0.0
1655984083.8855724,60110,0.0
1655984286.28364,70125,0.0625
1655984510.8978841,80137,0.03125
1655984742.5300062,90199,0.0625
1655985002.6351519,100204,0.0625
1655985242.6636612,110223,0.0
1655985456.306237,120225,0.15625
1655985680.3482356,130240,0.25
1655985884.543944,140258,0.09375
1655986120.9028451,150266,0.09375
1655986354.671374,160268,0.125
1655986611.9752958,170275,0.125
1655986838.4470642,180286,0.09375
1655987082.9687552,190298,0.0625
1655987312.4342284,200314,0.03125
1655987535.6928658,210338,0.1875
1655987782.2794895,220359,0.0625
1655988002.5160995,230370,0.0625
1655988230.738678,240383,0.0
1655988463.47955,250410,0.0
1655988689.1849718,260431,0.09375
1655988930.1300414,270446,0.3125
1655989212.2732606,280462,0.0625
1655989453.5997915,290482,0.21875
1655989727.4089322,300485,0.15625
1655989966.325222,310519,0.125
1655990213.4316905,320538,0.1875
1655990453.4910705,330558,0.1875
1655990714.664734,340582,0.1875
1655990970.4288297,350587,0.03125
1655991203.5345592,360592,0.15625
1655991456.8317711,370600,0.03125
1655991704.890583,380621,0.03125
1655991924.6300707,390646,0.09375
1655992209.4978096,400705,0.21875
1655992470.070704,410715,0.03125
1655992711.944941,420717,0.125
1655992952.237064,430722,0.125
1655993203.8689773,440724,0.1875
1655993437.2041888,450741,0.0625
1655993673.7014558,460750,0.15625
1655993896.3376014,470769,0.125
1655994158.6734333,480799,0.0625
1655994450.47855,490801,0.09375
1655994704.3632748,500805,0.125
1655994923.410495,510816,0.0
1655995186.6479797,520830,0.15625
1655995423.0514374,530831,0.09375
1655995656.2603362,540863,0.09375
1655995858.2400706,550885,0.09375
1655996072.0090775,560890,0.0625
1655996297.5814276,570903,0.09375
1655996529.1235602,580913,0.21875
1655996783.0540738,590935,0.03125
1655997002.1010184,600941,0.0
1655997231.402229,610955,0.0625
1655997488.1980178,620978,0.0625
1655997714.9067621,630985,0.0
1655997958.117297,640999,0.0
1655998182.828589,651014,0.03125
1655998418.7971053,661024,0.0625
1655998627.947534,671048,0.09375
1655998842.0895648,681057,0.0
1655999047.7079506,691150,0.0625
1655999296.033898,701162,0.125
1655999542.849775,711291,0.0
1655999771.3482666,721296,0.0625
1656000004.968535,731311,0.15625
1656000261.8796237,741324,0.0625
1656000523.1371658,751326,0.03125
1656000771.3845654,761338,0.0625
1656001001.9744327,771351,0.03125
1656001242.5003643,781363,0.03125
1656001475.1249964,791376,0.0
1656001680.7860746,801395,0.0
1656001887.248738,811411,0.03125
1656002091.4757605,821420,0.0
1656002347.7594755,831440,0.0
1656002605.8700836,841456,0.0
1656002821.857826,851466,0.0625
1656003104.4933028,861473,0.03125
1656003358.487878,871482,0.21875
1656003632.6075199,881485,0.15625
1656003885.7414553,891502,0.125
1656004113.5017421,901525,0.09375
1656004360.8656006,911526,0.0
1656004622.98544,921541,0.0
1656004882.1637688,931545,0.125
1656005125.4841988,941566,0.0625
1656005372.2425663,951591,0.0625
1656005634.7501006,961599,0.0625
1656005852.429807,971616,0.03125
1656006157.323697,981632,0.21875
1656006453.823955,991657,0.09375
