Wall time,Step,Value
1655987119.8586335,56,0.0
1655987339.1738472,10057,0.0
1655987569.14234,20066,0.0
1655987778.936402,30105,0.0
1655988015.0169826,40127,0.125
1655988248.7230515,50167,0.0625
1655988492.9237576,60170,0.0
1655988751.5906172,70190,0.03125
1655989000.9613273,80216,0.4375
1655989247.3584063,90242,0.15625
1655989496.3894079,100309,0.625
1655989735.746433,110357,0.53125
1655989965.238818,120414,0.78125
1655990178.071918,130462,0.625
1655990419.9906533,140499,0.3125
1655990675.1090744,150532,0.75
1655990947.7007103,160600,0.03125
1655991190.4272513,170686,0.78125
1655991429.141141,180729,0.875
1655991677.8139021,190779,0.875
1655991909.1057546,200835,0.71875
1655992144.162368,210861,0.3125
1655992389.5716093,220927,0.53125
1655992624.2762682,230972,0.1875
1655992860.4356508,240974,0.65625
1655993092.9392989,251104,0.65625
1655993328.8975806,261210,0.15625
1655993585.2752032,271250,0.0625
1655993838.0615435,281382,0.0
1655994058.6058645,291510,0.1875
1655994236.2058718,301565,0.40625
1655994487.9451983,311596,0.65625
1655994729.5138457,321651,0.75
1655994969.1548624,331663,0.78125
1655995178.2598696,341700,0.71875
1655995427.1866844,351749,0.75
1655995667.2041073,361775,0.65625
1655995886.2593029,371835,0.9375
1655996100.0412292,381868,0.78125
1655996296.852656,391947,0.65625
1655996504.7384057,402005,0.875
1655996714.47287,412022,0.75
1655996919.1503658,422032,0.40625
1655997130.6904342,432099,0.8125
1655997367.6230004,442168,0.59375
1655997594.380027,452198,0.75
1655997809.9824045,462227,0.65625
1655998009.9524634,472253,0.71875
1655998232.5532608,482318,0.90625
1655998451.2167256,492371,1.0
1655998668.1769714,502373,0.90625
1655998883.952161,512413,0.78125
1655999111.2913976,522483,0.75
1655999319.9885473,532532,0.96875
1655999519.9575448,542557,0.84375
1655999721.8373082,552624,0.90625
1655999926.9464767,562669,0.8125
1656000152.9740021,572719,0.53125
1656000367.4451103,582776,0.71875
1656000566.8432984,592844,0.75
1656000774.2942595,602864,0.75
1656000979.3154328,612899,0.84375
1656001207.8216786,622953,0.3125
1656001427.064509,632985,0.75
1656001639.7186866,643003,0.5
1656001839.9438264,653021,0.4375
1656002051.743641,663021,0.0
1656002275.6429167,673037,0.46875
1656002498.4349983,683047,0.9375
1656002713.0316691,693072,0.78125
1656002927.195955,703125,0.3125
1656003147.0942369,713152,0.4375
1656003365.9405367,723173,0.46875
1656003585.0171125,733202,0.5625
1656003797.244456,743242,0.40625
1656004010.2680242,753294,0.71875
1656004236.917065,763359,0.46875
1656004464.089263,773410,0.5
1656004694.6170938,783462,0.8125
1656004902.6259089,793507,0.75
1656005102.0164824,803534,0.875
1656005313.7636878,813578,0.75
1656005537.9612248,823630,0.34375
1656005787.9753983,833656,0.125
1656006007.2614295,843729,0.71875
1656006231.6553247,853760,0.78125
1656006444.473677,863765,0.875
1656006690.439631,873794,0.65625
1656006968.1989832,883842,0.9375
1656007236.5151908,893925,0.125
1656007501.221223,903966,0.0625
1656007797.6605318,913968,0.0
1656008112.0089238,923995,0.71875
1656008403.311338,934064,0.8125
1656008660.4263096,944119,0.59375
1656008934.409286,954192,0.5625
1656009218.0450509,964229,0.0
1656009482.6461284,974277,0.6875
1656009763.2192197,984345,0.5
1656010050.0435731,994360,0.03125
