Wall time,Step,Value
1655987074.2132268,64,0.0
1655987168.610331,10128,0.0
1655987260.9236243,20132,0.0
1655987341.469504,30147,0.0
1655987421.4322803,40181,0.625
1655987500.8442209,50223,0.8125
1655987584.8269784,60242,0.53125
1655987664.4075696,70281,0.0625
1655987743.4145823,80306,0.21875
1655987823.2899961,90343,0.03125
1655987903.026901,100367,1.0
1655987983.8163023,110389,0.96875
1655988070.318037,120404,0.875
1655988152.570553,130440,0.75
1655988232.4341536,140459,0.75
1655988313.410218,150482,0.0
1655988391.9771543,160500,0.21875
1655988477.3185358,170544,0.0
1655988557.7803469,180565,0.6875
1655988638.8979952,190579,0.0
1655988718.0348225,200619,0.8125
1655988798.7683194,210625,0.75
1655988879.2388685,220644,0.90625
1655988966.8841069,230668,0.0
1655989047.7491403,240694,1.0
1655989128.2392025,250718,0.84375
1655989210.845606,260752,0.71875
1655989291.67713,270773,0.3125
1655989377.6299877,280795,0.5625
1655989463.4766657,290797,0.84375
1655989544.3641713,300802,0.875
1655989626.3466434,310835,0.03125
1655989706.532565,320859,0.875
1655989802.767673,330897,0.90625
1655989882.182543,340920,0.84375
1655989968.8342068,350936,0.96875
1655990050.0623574,360974,0.03125
1655990129.0696898,370996,0.875
1655990209.7526667,381027,0.59375
1655990290.0379677,391043,0.96875
1655990377.0587642,401058,0.0
1655990457.1482217,411064,0.0
1655990536.7862792,421102,0.0
1655990622.7660568,431122,1.0
1655990704.0427544,441145,0.8125
1655990784.9882944,451174,0.96875
1655990869.9457767,461212,0.6875
1655990950.109693,471216,0.90625
1655991029.0090559,481256,0.25
1655991110.9291182,491256,0.9375
1655991192.1016955,501259,0.65625
1655991274.4681597,511298,0.3125
1655991360.1220105,521317,0.65625
1655991439.5164168,531335,0.5
1655991518.2684648,541379,0.34375
1655991580.600612,551410,0.65625
1655991642.4069657,561446,0.59375
1655991712.157258,571454,0.625
1655991777.376144,581486,0.53125
1655991845.5371976,591515,0.6875
1655991909.2391548,601524,1.0
1655991971.9878845,611533,0.9375
1655992035.231174,621543,0.8125
1655992103.976829,631582,0.8125
1655992166.8355174,641602,0.28125
1655992228.9218273,651626,1.0
1655992291.7604496,661644,0.0
1655992353.9400513,671680,1.0
1655992416.9179978,681719,0.8125
1655992485.7888088,691744,0.84375
1655992550.7795644,701762,0.96875
1655992613.6415794,711789,0.0
1655992675.6742082,721824,1.0
1655992738.7139761,731855,0.59375
1655992807.6177285,741857,0.59375
1655992882.529235,751891,0.46875
1655992952.4953923,761927,0.84375
1655993020.0439749,771965,1.0
1655993087.3759043,782004,1.0
1655993158.7722762,792037,1.0
1655993234.3219266,802048,0.6875
1655993302.6933146,812082,0.84375
1655993379.1340787,822087,1.0
1655993459.0938363,832114,0.9375
1655993538.4991686,842127,0.40625
1655993617.4331255,852161,0.0
1655993688.7224066,862182,0.96875
1655993754.7248375,872218,1.0
1655993822.1175048,882261,0.71875
1655993889.1018422,892296,0.53125
1655993959.3083413,902321,0.78125
1655994026.199329,912345,0.09375
1655994098.92593,922382,1.0
1655994167.1133387,932425,0.65625
1655994235.0128684,942441,0.5625
1655994303.7966683,952448,0.53125
1655994384.0112357,962478,1.0
1655994469.7805138,972482,0.90625
1655994536.1104057,982511,0.78125
1655994604.431299,992528,0.09375
