Wall time,Step,Value
1655964034.1037602,66,0.0
1655964157.7311482,10109,0.0
1655964275.6749027,20120,0.0
1655964386.6657205,30133,0.0
1655964503.2259161,40160,0.0
1655964627.9815774,50163,0.0
1655964736.4809601,60176,0.0
1655964854.1718915,70187,0.0
1655964963.1666071,80203,0.0
1655965073.2865424,90254,0.0
1655965185.7728956,100255,0.0
1655965306.2066796,110309,0.0
1655965414.1602254,120344,0.0
1655965527.105482,130396,0.0
1655965640.0827262,140422,0.0
1655965746.3410392,150455,0.0
1655965864.8613791,160487,0.0
1655965986.7334597,170537,0.0
1655966098.963711,180582,0.0
1655966219.612429,190591,0.0
1655966334.2313921,200623,0.0
1655966458.9408674,210623,0.0
1655966587.2228982,220631,0.0
1655966712.4067812,230671,0.0
1655966847.197619,240716,0.0
1655966973.1887538,250716,0.0
1655967098.3722975,260760,0.0
1655967235.8769076,270788,0.0
1655967381.0412261,280906,0.0
1655967513.505791,291051,0.0
1655967626.2530503,301054,0.0
1655967761.982663,311099,0.0
1655967885.385529,321127,0.0
1655968012.7219393,331178,0.0
1655968144.5769258,341214,0.0
1655968271.631504,351227,0.0
1655968396.89028,361271,0.0
1655968534.3600743,371320,0.0
1655968655.2021189,381362,0.0
1655968764.8531592,391368,0.0
1655968873.277623,401387,0.0
1655968998.5879807,411394,0.0
1655969104.1859968,421441,0.0
1655969242.7369223,431472,0.0
1655969371.1134574,441505,0.0
1655969505.2616367,451540,0.0
1655969648.1531377,461589,0.0
1655969792.48888,471599,0.0
1655969926.1843052,481610,0.0
1655970066.1214006,491614,0.0
1655970202.448514,501655,0.0
1655970335.8420942,511802,0.0
1655970467.810523,521825,0.0
1655970604.4837656,531900,0.0
1655970745.2980566,541902,0.0
1655970878.3380926,551952,0.0
1655971012.1498992,561983,0.0
1655971153.0938265,572010,0.0
1655971273.9328842,582016,0.0
1655971412.061218,592018,0.0
1655971543.1413286,602060,0.0
1655971677.4721239,612068,0.03125
1655971798.9224062,622113,0.0
1655971930.7246356,632172,0.0
1655972043.229477,642178,0.0
1655972155.9177387,652217,0.0
1655972270.5573366,662261,0.03125
1655972400.0688047,672324,0.0
1655972544.35503,682363,0.0
1655972684.7062063,692407,0.0
1655972822.1074398,702464,0.0
1655972934.5977755,712510,0.0
1655973044.20954,722538,0.0
1655973158.93055,732582,0.0
1655973295.568173,742700,0.0
1655973426.859221,752741,0.0
1655973557.8540401,762742,0.03125
1655973672.2573733,772755,0.0
1655973796.2149272,782867,0.0
1655973925.9252377,792898,0.0
1655974043.5671308,802927,0.0
1655974166.96214,812929,0.0
1655974283.6642027,822941,0.0
1655974398.5956094,832956,0.0
1655974509.3030002,842997,0.0
1655974624.8131394,853135,0.0
1655974751.6619785,863266,0.0
1655974880.153826,873272,0.0
1655975000.3885992,883311,0.0
1655975128.1181808,893345,0.0
1655975274.1873012,903387,0.0
1655975419.2901402,913388,0.03125
1655975570.782519,923409,0.0
1655975705.523607,933416,0.03125
1655975838.9858325,943519,0.0
1655975982.8517227,953560,0.0
1655976117.3630028,963599,0.03125
1655976261.9315357,973615,0.0
1655976407.0721357,983621,0.0
1655976553.7653208,993670,0.0
