Wall time,Step,Value
1655429658.571438,32,0.0
1655430212.9730008,10056,0.0
1655430751.0461826,20062,0.28125
1655431266.0118437,30078,0.40625
1655431904.1354945,40101,0.5
1655432444.5274422,50123,0.5625
1655432987.0751722,60143,0.4375
1655433567.6836057,70165,0.0625
1655434058.269461,80192,0.3125
1655434542.9228852,90192,0.65625
1655435030.5589936,100211,0.59375
1655435524.0028517,110257,0.59375
1655436013.7033145,120286,0.1875
1655436518.3044562,130306,0.15625
1655437016.1657314,140324,0.5
1655437510.0154727,150342,0.6875
1655437981.7646034,160378,0.53125
1655438477.0653155,170428,0.34375
1655438983.138613,180466,0.0625
1655439496.6195836,190506,0.0
1655440007.2187955,200513,0.09375
1655440518.9981833,210559,0.5625
1655441020.7362123,220613,0.46875
1655441525.735965,230617,0.6875
1655442026.7826688,240660,0.71875
1655442522.65128,250685,0.0
1655443014.1648557,260727,0.4375
1655443498.6797874,270760,0.6875
1655443991.6565912,280794,0.46875
1655444471.7431502,290825,0.5
1655444966.7526748,300878,0.28125
1655446440.1540356,310901,0.0
1655446973.9489052,320947,0.0625
1655447483.3914926,330999,0.34375
1655447985.8113778,341029,0.3125
1655448487.9992926,351058,0.0
1655449147.215162,361065,0.15625
1655449675.0381646,371107,0.0625
1655450194.7054083,381136,0.125
1655450899.5823605,391175,0.125
1655451492.466915,401207,0.125
1655452074.5120115,411248,0.15625
1655452656.1534462,421257,0.03125
1655453174.9943914,431268,0.0
1655453839.717648,441271,0.03125
1655454378.5122097,451284,0.0
1655454944.4841707,461300,0.0
1655455499.6997344,471321,0.21875
1655456171.7528396,481348,0.0
1655456719.0306501,491391,0.21875
1655457268.0115454,501404,0.03125
1655457797.7780128,511436,0.0
1655458481.6923292,521473,0.28125
1655459029.4334204,531475,0.0
1655459583.6306758,541488,0.03125
1655460122.7738025,551527,0.125
1655460659.7466426,561578,0.0625
1655461192.317056,571579,0.0
1655461723.1067111,581592,0.09375
1655462252.740008,591632,0.59375
1655462774.8043206,601659,0.1875
1655463290.253589,611687,0.03125
1655463813.5244255,621727,0.03125
1655464327.3696096,631747,0.09375
1655464835.3258548,641792,0.28125
1655465374.3020837,651818,0.1875
1655465899.4056895,661841,0.0625
1655466427.851075,671875,0.15625
1655466959.6942263,681912,0.125
1655467628.4427567,691944,0.0
1655468155.3536255,701982,0.125
1655468685.1406665,712020,0.03125
1655469204.3457832,722047,0.25
1655469717.6510582,732063,0.03125
1655470384.7014453,742078,0.25
1655470916.134873,752080,0.03125
1655471452.3866227,762099,0.03125
1655471966.0251217,772117,0.03125
1655472476.410759,782134,0.0
1655472998.729333,792150,0.0
1655473525.0856333,802175,0.03125
1655474201.869631,812176,0.03125
1655474737.5197039,822218,0.375
1655475262.52614,832231,0.0
1655475805.9153237,842273,0.25
1655476338.0045846,852298,0.0
1655476863.4091117,862298,0.03125
1655477392.7663467,872339,0.03125
1655477923.5322318,882389,0.0
1655478435.0429473,892417,0.125
1655478952.2229013,902417,0.0625
1655479487.713449,912454,0.0
1655480020.2946835,922469,0.0
1655480554.1396983,932469,0.0
1655481094.9892998,942507,0.0
1655481620.8784604,952536,0.0
1655482156.9102592,962575,0.25
1655482687.1964993,972621,0.0
1655483233.2889612,982657,0.28125
1655483775.8320103,992687,0.0
1655484314.4762237,1002727,0.09375
1655484834.8498764,1012728,0.21875
1655485371.7075794,1022750,0.40625
1655485909.8576717,1032756,0.15625
1655486442.2212472,1042784,0.28125
1655487001.7589803,1052802,0.15625
1655487532.1629121,1062845,0.1875
1655488064.2191715,1072868,0.03125
1655488610.0917091,1082879,0.0
1655489152.9158068,1092907,0.03125
1655489688.160344,1102909,0.0
1655490251.7884996,1112954,0.03125
1655490920.1711721,1122979,0.0
1655491486.9119346,1132996,0.0
1655492047.5433085,1143025,0.0
1655492588.2678711,1153038,0.0
1655493137.8947356,1163047,0.0
1655493683.178281,1173070,0.03125
1655494223.600997,1183091,0.125
1655494762.5372252,1193109,0.03125
1655495287.6869214,1203157,0.21875
1655495816.2129345,1213195,0.34375
1655496337.2459824,1223197,0.28125
1655496882.4182148,1233225,0.0625
1655497442.9126468,1243226,0.0625
1655498013.4776626,1253235,0.0
1655498738.599832,1263454,0.0
1655499619.5922167,1273463,0.0
1655500395.9932864,1283487,0.0
1655500955.1018045,1293505,0.25
1655501501.177891,1303505,0.0
1655502050.3622758,1313514,0.0
1655502610.0924997,1323519,0.03125
1655503182.9596615,1333536,0.0
1655503769.334507,1343564,0.0
1655504729.687846,1353571,0.0
1655505529.867604,1363574,0.0
1655506099.5853562,1373600,0.0
1655506675.023211,1383606,0.0
1655507257.7834945,1393615,0.0
1655507832.5757968,1403637,0.0
1655508404.470417,1413675,0.0
1655508969.1540234,1423707,0.0
1655509536.62689,1433723,0.0
1655510103.166387,1443747,0.0
1655510668.692532,1453748,0.0
1655511229.7928572,1463767,0.15625
1655511755.1637175,1473813,0.125
1655512244.9797804,1483864,0.25
1655512758.4625962,1493869,0.03125
