Wall time,Step,Value
1655604861.0988579,41,0.0
1655605143.7141428,10076,0.0
1655605562.227432,20091,0.0
1655605971.8488762,30094,0.0
1655606627.8314164,40127,0.0
1655607210.34145,50174,0.0
1655607628.1297913,60336,0.0
1655607969.082107,70502,0.0
1655608279.0250416,80502,0.0
1655608577.7804615,90521,0.0
1655608925.1248996,100521,0.0
1655609418.5189357,110566,0.0
1655609810.2410724,120579,0.0
1655610189.276908,130605,0.0
1655610556.0129442,140800,0.0
1655610912.3859859,151015,0.0
1655611221.3707545,161015,0.0
1655611551.082476,171153,0.0
1655611861.1136281,181153,0.0
1655612177.642303,191153,0.0
1655612486.5346508,201153,0.0
1655612808.0681336,211375,0.0
1655613205.9324808,221431,0.0
1655613717.1683643,231464,0.0
1655614104.04782,241609,0.0
1655614423.4526315,251684,0.0
1655614692.7185283,261922,0.0
1655614987.65605,271974,0.0
1655615239.5244899,282142,0.0
1655615529.5623808,292142,0.0
1655615843.2504501,302287,0.0
1655616313.4422262,312320,0.0
1655616857.0971465,322528,0.0
1655617137.2107918,332622,0.0
1655617478.8974319,342638,0.0
1655617747.6203902,352657,0.0
1655618246.3398461,362890,0.0
1655618541.2409678,372890,0.0
1655618842.1326194,382890,0.0
1655619110.3783157,392978,0.0
1655619461.073589,402989,0.0
1655619741.6962142,413010,0.0
1655620236.383397,423042,0.0
1655620827.367137,433194,0.0
1655621376.3466842,443205,0.0
1655621648.7067912,453227,0.0
1655621992.5839005,463240,0.0
1655622538.8246093,473472,0.0
1655623032.768022,483677,0.0
1655623466.0609457,493763,0.0
1655623887.2378142,503967,0.0
1655624251.567261,513996,0.0
1655624601.6068852,524241,0.0
1655624926.7807598,534267,0.0
1655625464.1980073,544372,0.0
1655626103.3284674,554381,0.0
1655626537.2112985,564399,0.0
1655626942.1001358,574445,0.0
1655627305.2065847,584453,0.0
1655628010.5730386,594480,0.0
1655628281.4604683,604610,0.0
1655628833.026816,614618,0.0
1655629339.9363241,624650,0.0
1655629784.1148732,634679,0.0
1655630164.2497816,644695,0.0
1655630526.5341337,654938,0.0
1655631180.0352883,665000,0.0
1655631731.9468157,675016,0.0
1655632313.4607835,685019,0.0
1655632702.6983283,695030,0.0
1655633013.6986208,705042,0.0
1655633604.4649591,715082,0.0
1655634011.4753046,725103,0.0
1655634353.4287899,735121,0.0
