Wall time,Step,Value
1655773685.6360495,26,0.0
1655773917.198722,10034,0.0
1655774134.3950624,20044,0.0
1655774424.6733162,30056,0.0
1655774715.4779768,40060,0.0
1655774997.9344835,50067,0.0
1655775318.3772268,60082,0.0
1655775614.1752934,70090,0.0
1655775909.3969827,80106,0.0
1655776212.4939792,90123,0.0
1655776538.5456169,100126,0.0
1655776872.728094,110136,0.0
1655777193.6064348,120146,0.0
1655777522.3987715,130155,0.0
1655777857.8457222,140160,0.0
1655778180.1916342,150182,0.0
1655778494.1606271,160193,0.0
1655778806.4427662,170195,0.0
1655779127.2555547,180197,0.0
1655779446.7917118,190206,0.0
1655779781.0952804,200211,0.0
1655780114.5699534,210217,0.03125
1655780437.0093694,220228,0.0
1655780755.1720223,230237,0.0
1655781076.5720184,240245,0.0
1655781418.365505,250249,0.0
1655781741.5666811,260264,0.0
1655782062.3757586,270284,0.0
1655782375.392803,280300,0.0
1655782689.9029038,290304,0.0
1655783018.8671951,300313,0.0
1655783337.7728407,310321,0.0
1655783649.9062693,320327,0.0
1655783967.8361146,330329,0.0
1655784278.425169,340335,0.0625
1655784595.7552621,350350,0.0
1655784920.8907905,360352,0.0
1655785246.4754236,370356,0.0
1655785564.227798,380375,0.0
1655785885.731773,390391,0.0
1655786210.320294,400394,0.0
1655786526.047929,410404,0.03125
1655786852.439359,420410,0.0
1655787170.4456234,430421,0.0
1655787489.1017778,440438,0.09375
1655787813.483067,450457,0.0
1655788136.8272874,460477,0.03125
1655788473.8843553,470491,0.03125
1655788799.9453764,480493,0.03125
1655789126.0163586,490507,0.0
1655789442.635006,500508,0.03125
1655789766.3482983,510513,0.0
1655790072.4147944,520518,0.03125
1655790397.8496835,530523,0.0
1655790701.0691907,540525,0.0
1655791008.992861,550532,0.0
1655791319.0515745,560550,0.0
1655791647.8197777,570567,0.03125
1655791981.684855,580574,0.0
1655792308.9108446,590589,0.0
1655792631.2988894,600610,0.0
1655792944.9585214,610614,0.0
1655793203.049388,620627,0.0
1655793429.0771422,630642,0.0
1655793666.1880755,640660,0.0
1655793959.14278,650675,0.0
1655794261.3390326,660694,0.0
1655794560.5740836,670701,0.0
1655794889.3690042,680719,0.0
1655795215.3971398,690738,0.0
1655795525.783862,700746,0.0
1655795835.1129434,710751,0.0
1655796163.982314,720752,0.0
1655796495.8924215,730755,0.0
1655796821.904287,740772,0.0
1655797143.7009203,750775,0.0
1655797474.8529975,760787,0.0
1655797795.2690787,770797,0.0
1655798119.635202,780808,0.0
1655798446.9353514,790831,0.0
1655798769.0929995,800836,0.0
1655799086.3774562,810843,0.0
1655799409.2815676,820846,0.0
1655799738.7040906,830869,0.0
1655800076.0622892,840883,0.0
1655800413.1541321,850883,0.0
1655800749.9826941,860897,0.0
1655801072.095867,870919,0.0
1655801393.9176137,880921,0.0
1655801725.0746791,890930,0.0
1655802035.216685,900944,0.0
1655802368.5776498,910944,0.0
1655802697.7598662,920960,0.03125
1655803031.412202,930971,0.0
1655803365.8092358,940986,0.0
1655803695.40093,950992,0.0
1655804023.5324137,960994,0.0
1655804352.0734816,970999,0.0
1655804673.4364092,981003,0.0
1655804990.1320503,991004,0.0
1655805312.32625,1001008,0.03125
1655805621.5169175,1011028,0.03125
1655805938.2066362,1021047,0.03125
1655806266.5300741,1031068,0.0
1655806598.9487414,1041076,0.0
1655806923.5895264,1051085,0.0
1655807248.1476738,1061106,0.0
1655807573.6488848,1071127,0.0
1655807892.1598825,1081134,0.0
1655808229.450115,1091150,0.0
1655808545.7347605,1101166,0.0
1655808867.40911,1111172,0.0
1655809199.8410041,1121172,0.0
1655809534.7398455,1131173,0.0
1655809860.6371417,1141192,0.0
1655810209.4799004,1151193,0.0
1655810550.716518,1161209,0.0
1655810893.7281168,1171230,0.0
1655811231.5480251,1181246,0.0
1655811561.4626935,1191251,0.03125
1655811882.6659257,1201256,0.0
1655812224.9284084,1211257,0.0
1655812550.6996913,1221278,0.0
1655812868.0261762,1231280,0.0
1655813156.6835668,1241286,0.0
1655813401.9490566,1251300,0.0
1655813652.0268133,1261320,0.0
1655813885.9153388,1271328,0.0
1655814134.1237705,1281339,0.0
1655814403.297613,1291341,0.0
1655814706.19357,1301348,0.0
1655815011.738474,1311350,0.0
1655815320.4474611,1321362,0.0
1655815643.9664624,1331362,0.0625
1655815974.842617,1341363,0.0625
1655816300.2454488,1351376,0.0
1655816620.2334602,1361380,0.0
1655816937.3049664,1371396,0.0
1655817244.1932585,1381403,0.0
1655817561.7113016,1391422,0.0
1655817867.3152256,1401435,0.0
1655818171.213708,1411440,0.0
1655818472.904325,1421456,0.0
1655818773.0657294,1431472,0.0
1655819084.1199756,1441473,0.0
1655819404.745361,1451476,0.0
1655819714.272843,1461483,0.03125
1655820028.6093104,1471485,0.0
1655820344.301354,1481500,0.03125
1655820661.6597087,1491506,0.03125
