Wall time,Step,Value
1655862675.9487085,41,0.53125
1655862871.306718,10061,0.0
1655863083.9188266,20069,0.15625
1655863342.882152,30154,0.40625
1655863581.5273283,40156,0.40625
1655863853.0890603,50284,0.5625
1655864228.0452507,60288,0.4375
1655864564.336336,70360,0.0
1655864821.2865744,80375,0.5625
1655865070.2993731,90375,0.0
1655865349.2397492,100387,0.21875
1655865595.6152642,110401,0.4375
1655865850.4957807,120408,0.3125
1655866167.268651,130469,0.09375
1655866431.2013865,140471,0.53125
1655866727.908786,150472,0.78125
1655867060.2256615,160547,0.0
1655867374.76041,170572,0.3125
1655867686.3362737,180585,0.34375
1655867990.5307012,190613,0.3125
1655868280.4167104,200652,0.5625
1655868562.942797,210677,0.4375
1655868902.0316408,220703,0.5
1655869144.193206,230712,0.40625
1655869447.081694,240749,0.0
1655869661.208132,250749,0.0
1655869872.6459813,260749,0.0
1655870093.779021,270870,0.0
1655870314.1807704,280870,0.0
1655870523.9994822,290870,0.0
1655870739.38148,300870,0.0
1655870964.5151823,311051,0.0
1655871174.8831742,321051,0.0
1655871340.085404,331051,0.0
1655871507.000405,341051,0.0
1655871642.944747,351062,0.46875
1655871877.0329626,361200,0.0
1655872075.4660573,371349,0.0
1655872287.977666,381358,0.375
1655872505.1160305,391362,0.21875
1655872737.3299289,401363,0.59375
1655872987.5727634,411506,0.53125
1655873234.0340426,421508,0.65625
1655873545.104499,431516,0.6875
1655873769.7532833,441539,0.28125
1655874034.4564319,451554,0.6875
1655874308.7188387,461564,0.125
1655874573.2722402,471576,0.6875
1655874875.8399358,481586,0.4375
1655875180.9242866,491709,0.71875
1655875474.2846773,501725,0.84375
1655875753.3980517,511726,0.625
1655876076.9796352,521740,0.4375
1655876365.6898065,531740,0.34375
1655876552.8744426,541871,0.0
1655876798.645326,551892,0.46875
1655877066.548105,561898,0.0
1655877309.6343646,571961,0.5
1655877614.1382391,581962,0.53125
1655877901.1354628,591971,0.40625
1655878199.0956547,601986,0.8125
1655878487.4591405,612009,0.75
1655878810.9168942,622129,0.6875
1655879127.085255,632129,0.28125
1655879376.007153,642140,0.25
1655879607.9855762,652153,0.40625
1655879856.6432738,662344,0.375
1655880069.7939522,672446,0.3125
1655880317.194533,682465,0.53125
1655880591.2620578,692478,0.40625
1655880857.0983038,702506,0.625
1655881110.5985792,712518,0.46875
1655881353.3335354,722523,0.46875
1655881625.4770517,732536,0.59375
1655881901.7412133,742546,0.375
1655882159.2768826,752554,0.4375
1655882512.4914691,762649,0.09375
1655882770.68762,772651,0.46875
1655883029.0876975,782667,0.59375
1655883322.1747818,792680,0.75
1655883628.8963568,802823,0.03125
1655883847.4989088,812863,0.125
1655884000.0456233,823055,0.0625
1655884202.7152488,833060,0.46875
1655884439.6000338,843259,0.65625
1655884702.8388824,853434,0.125
1655884897.686435,863460,0.34375
1655885121.566692,873467,0.03125
1655885324.7137125,883471,0.0
1655885515.6498666,893489,0.0
1655885717.1413007,903501,0.25
1655885951.9867525,913519,0.0
1655886210.0529654,923521,0.09375
1655886429.6848083,933542,0.0
1655886660.8307462,943560,0.4375
1655886894.7478945,953563,0.34375
1655887189.1467443,963573,0.5625
1655887505.7286456,973585,0.53125
1655887798.2994084,983587,0.59375
1655888075.7009873,993594,0.59375
1655888307.4094892,1003647,0.625
1655888509.9848034,1013739,0.6875
1655888781.3017335,1023759,0.78125
1655889073.963222,1033761,0.65625
1655889307.9325278,1043905,0.0625
1655889619.0789428,1053964,0.21875
1655889854.5622315,1064023,0.375
1655890125.001635,1074034,0.375
1655890329.1293867,1084042,0.28125
1655890580.4932923,1094097,0.21875
1655890823.0147185,1104179,0.25
1655891084.9622216,1114309,0.40625
1655891295.083385,1124452,0.34375
1655891502.9828556,1134478,0.1875
1655891743.3741772,1144560,0.0
1655891965.538108,1154593,0.0
1655892157.3910282,1164703,0.25
