Wall time,Step,Value
1655774985.942297,25,0.0
1655775104.7524383,10041,0.0
1655775225.512977,20045,0.0
1655775344.5548477,30057,0.0
1655775465.5380578,40064,0.0
1655775584.610568,50078,0.0
1655775711.2166302,60097,0.0
1655775829.6848729,70103,0.0
1655775946.001802,80104,0.0
1655776064.24118,90115,0.0
1655776183.389418,100122,0.0
1655776301.9555972,110137,0.0
1655776426.562584,120140,0.0
1655776542.7851124,130157,0.0
1655776660.591836,140172,0.0
1655776779.9814386,150193,0.0
1655776896.620627,160198,0.0
1655777014.0272844,170200,0.0
1655777137.4831662,180216,0.0
1655777252.3007839,190230,0.0
1655777368.9692001,200233,0.0
1655777486.0113516,210249,0.0
1655777602.1813092,220265,0.0
1655777719.5335662,230283,0.0
1655777844.291721,240304,0.0
1655777963.717937,250322,0.0
1655778078.7193668,260334,0.0
1655778197.9709651,270341,0.0
1655778313.4080272,280347,0.0
1655778430.3431625,290350,0.0
1655778553.3950722,300359,0.0
1655778668.925659,310387,0.0
1655778785.5734148,320393,0.0
1655778903.1522303,330401,0.0
1655779020.9997187,340401,0.0
1655779140.1736307,350412,0.0
1655779263.7786963,360412,0.0
1655779381.2754998,370439,0.0
1655779499.76442,380452,0.0
1655779616.5768561,390467,0.0
1655779732.9247675,400474,0.0
1655779850.7408745,410486,0.0
1655779975.1929018,420492,0.0
1655780090.8139482,430509,0.0
1655780209.9767177,440515,0.0
1655780328.1322849,450521,0.0
1655780446.646382,460527,0.0
1655780563.4834325,470546,0.0
1655780687.3235679,480561,0.0
1655780804.63779,490585,0.0
1655780920.9076774,500605,0.0
1655781040.4330862,510630,0.0
1655781158.0941303,520630,0.0
1655781278.1209638,530650,0.0
1655781403.257615,540673,0.0
1655781521.615673,550688,0.0
1655781639.991658,560695,0.0
1655781758.081418,570710,0.0
1655781876.796737,580728,0.0
1655781995.8643637,590748,0.0
1655782118.6375885,600760,0.0
1655782235.8960817,610765,0.0
1655782355.4396951,620785,0.0
1655782473.712394,630794,0.0
1655782591.7597747,640807,0.0
1655782712.4349413,650807,0.0
1655782837.8364055,660820,0.0
1655782956.2396863,670820,0.0
1655783075.1438456,680830,0.0
1655783190.9240518,690832,0.0
1655783308.1932223,700846,0.0
1655783425.0095994,710853,0.0
1655783549.1258953,720865,0.0
1655783667.575109,730879,0.0
1655783785.7477782,740893,0.0
1655783903.9663894,750911,0.0
1655784024.9171324,760919,0.0
1655784145.465533,770937,0.0
1655784271.1303368,780940,0.0
1655784390.3787389,790956,0.0
1655784507.7358437,800981,0.0
1655784625.8823793,810987,0.0
1655784746.1656914,821011,0.0
1655784862.3913496,831014,0.0
1655784985.5619977,841036,0.0
1655785104.0400724,851054,0.0
1655785222.5198185,861075,0.0
1655785342.2347827,871089,0.0
1655785461.9720783,881100,0.0
1655785579.6352687,891122,0.0
1655785704.9713519,901132,0.0
1655785822.5166824,911155,0.0
1655785941.94683,921173,0.0
1655786060.7276838,931189,0.0
1655786179.674687,941206,0.0
1655786299.2466137,951230,0.0
1655786426.0451853,961247,0.0
1655786545.5778909,971258,0.0
1655786666.6484263,981266,0.0
1655786785.942935,991275,0.0
1655786904.5656893,1001297,0.0
1655787025.4680212,1011297,0.0
1655787149.743551,1021300,0.0
1655787271.3217766,1031322,0.0
1655787393.3213995,1041344,0.0
1655787512.1435056,1051364,0.0
1655787633.3821924,1061367,0.0
1655787756.660797,1071370,0.0
1655787885.1496885,1081384,0.0
1655788006.0153167,1091391,0.0
1655788126.7941983,1101410,0.0
1655788247.4265335,1111428,0.0
1655788369.675309,1121440,0.0
1655788490.5607793,1131441,0.0
1655788619.3731375,1141454,0.0
1655788739.0663404,1151467,0.0
1655788859.168438,1161476,0.0
1655788979.3713236,1171497,0.0
1655789099.4101026,1181497,0.0
1655789218.942103,1191503,0.0
1655789345.3490505,1201520,0.0
1655789464.6424558,1211530,0.0
1655789585.2946424,1221553,0.0
1655789708.311319,1231568,0.0
1655789830.0585792,1241569,0.0
1655789950.4187133,1251577,0.0
1655790075.5286572,1261581,0.0
1655790194.8883204,1271591,0.0
1655790315.132383,1281601,0.0
1655790436.2471235,1291602,0.0
1655790557.7403917,1301620,0.0
1655790679.7252946,1311640,0.0
1655790805.9834678,1321644,0.0
1655790926.8208036,1331662,0.0
1655791049.3817208,1341669,0.0
1655791169.7932441,1351683,0.0
1655791290.3366163,1361703,0.0
1655791413.3776474,1371710,0.0
1655791539.8418899,1381723,0.0
1655791661.143926,1391738,0.0
1655791780.659991,1401748,0.0
1655791902.4226427,1411749,0.0
1655792022.5695212,1421767,0.0
1655792144.254298,1431770,0.0
1655792272.573591,1441773,0.0
1655792393.5900187,1451792,0.0
1655792515.6355307,1461802,0.0
1655792638.6060424,1471816,0.0
1655792759.6960487,1481816,0.0
1655792882.2782433,1491827,0.0
1655793012.0937371,1501842,0.0
1655793132.9372218,1511848,0.0
1655793256.2788413,1521857,0.0
1655793376.5411284,1531880,0.0
1655793497.3343678,1541892,0.0
1655793619.303094,1551894,0.0
1655793747.0665727,1561915,0.0
1655793868.628033,1571922,0.0
1655793989.0430553,1581931,0.0
1655794108.6774988,1591950,0.0
1655794229.1879272,1601971,0.0
1655794350.4095142,1611985,0.0
1655794470.4086857,1622005,0.0
1655794598.7580388,1632015,0.0
1655794722.4967465,1642019,0.0
1655794846.0569067,1652033,0.0
1655794970.1714568,1662057,0.0
1655795094.4187498,1672057,0.0
1655795215.2860265,1682064,0.0
1655795342.9296017,1692076,0.0
1655795464.2825618,1702082,0.0
1655795588.486567,1712104,0.0
1655795710.8127105,1722105,0.0
1655795833.0269253,1732121,0.0
1655795954.6186678,1742124,0.0
1655796080.5627046,1752134,0.0
1655796200.7123027,1762160,0.0
1655796322.2472377,1772170,0.0
1655796443.4016905,1782171,0.0
1655796564.8539486,1792171,0.0
1655796687.5660443,1802174,0.0
1655796814.1704717,1812196,0.0
1655796935.6602647,1822207,0.0
1655797057.0922768,1832208,0.0
1655797178.1383426,1842222,0.0
1655797299.5712461,1852223,0.0
1655797419.5111792,1862228,0.0
1655797546.576559,1872247,0.0
1655797668.9991846,1882262,0.0
1655797790.3346772,1892279,0.0
1655797912.3425133,1902282,0.0
1655798035.8665204,1912304,0.0
1655798159.352363,1922317,0.0
1655798286.3802724,1932319,0.0
1655798405.8883495,1942325,0.0
1655798525.4954875,1952331,0.0
1655798645.8677382,1962352,0.0
1655798741.5479662,1972370,0.0
1655798834.9683235,1982374,0.0
1655798932.5641065,1992389,0.0
1655799026.143169,2002412,0.0
1655799118.3235025,2012432,0.0
1655799212.7398896,2022435,0.0
1655799306.990233,2032459,0.0
1655799404.1889453,2042470,0.0
1655799510.3249774,2052476,0.0
1655799613.5852141,2062498,0.0
1655799717.4852679,2072502,0.0
1655799818.6206496,2082509,0.0
1655799919.2030978,2092520,0.0
1655800034.3125694,2102529,0.0
1655800156.8848805,2112553,0.0
1655800271.5788293,2122555,0.0
1655800389.5708945,2132563,0.0
1655800508.6639636,2142570,0.0
1655800626.350717,2152579,0.0
1655800747.1304893,2162592,0.0
1655800870.2976513,2172606,0.0
1655800986.6046052,2182627,0.0
1655801106.0177279,2192635,0.0
1655801224.9198074,2202659,0.0
1655801342.8708587,2212686,0.0
1655801461.8129537,2222702,0.0
1655801586.0599453,2232714,0.0
1655801703.6149564,2242718,0.0
1655801823.3940866,2252734,0.0
1655801942.3212996,2262752,0.0
1655802061.7682946,2272759,0.0
1655802180.769704,2282766,0.0
1655802304.3760853,2292776,0.0
1655802421.4945717,2302794,0.0
1655802539.2630358,2312816,0.0
1655802657.2712536,2322836,0.0
1655802776.7636437,2332840,0.0
1655802891.9776547,2342856,0.0
1655803014.6471071,2352875,0.0
1655803132.1097581,2362897,0.0
1655803249.0429466,2372909,0.0
1655803365.5524302,2382922,0.0
1655803482.8698056,2392928,0.0
1655803601.478365,2402952,0.0
1655803723.9025664,2412955,0.0
1655803841.682066,2422974,0.0
1655803959.4394965,2432976,0.0
1655804079.5750864,2442991,0.0
1655804198.3341503,2452995,0.0
1655804316.9440305,2462998,0.0
1655804441.205061,2473024,0.0
1655804559.450178,2483029,0.0
1655804677.8948045,2493036,0.0
1655804795.9335322,2503047,0.0
1655804915.8766267,2513070,0.0
1655805034.1589732,2523084,0.0
1655805160.164854,2533095,0.0
1655805278.1409063,2543112,0.0
1655805394.348272,2553129,0.0
1655805512.905684,2563147,0.0
1655805632.1175544,2573158,0.0
1655805751.6195564,2583166,0.0
1655805875.0606754,2593173,0.0
1655805992.8372383,2603187,0.0
1655806111.4999833,2613204,0.0
1655806231.2463598,2623226,0.0
1655806349.711188,2633244,0.0
1655806468.048132,2643260,0.0
1655806590.5259519,2653263,0.0
1655806709.8335357,2663273,0.0
1655806827.5749002,2673295,0.0
1655806946.435061,2683299,0.0
1655807066.1992197,2693306,0.0
1655807186.9212375,2703308,0.0
1655807309.5768137,2713312,0.0
1655807427.9451637,2723315,0.0
1655807545.8616428,2733315,0.0
1655807664.7343578,2743322,0.0
1655807784.6506646,2753343,0.0
1655807904.0123398,2763363,0.0
1655808030.94984,2773375,0.0
1655808149.038939,2783389,0.0
1655808265.923981,2793404,0.0
1655808385.9397292,2803421,0.0
1655808505.2397697,2813433,0.0
1655808613.4576397,2823450,0.0
1655808715.3842232,2833465,0.0
1655808811.2132163,2843468,0.0
1655808905.6987267,2853476,0.0
1655809000.3481152,2863502,0.0
1655809095.6183984,2873510,0.0
1655809190.835372,2883525,0.0
