Wall time,Step,Value
1655256513.3039382,37,0.0
1655256760.214339,10066,0.0
1655257024.7334833,20092,0.0
1655257286.095047,30120,0.0
1655257544.5461807,40153,0.0
1655257798.4722786,50186,0.0
1655258064.1150157,60203,0.0
1655258327.4210188,70225,0.0
1655258587.8780982,80245,0.0
1655258850.4180982,90251,0.0
1655259108.8281221,100280,0.0
1655259365.7710514,110297,0.0
1655259633.54643,120318,0.0
1655259891.5809355,130336,0.0
1655260145.0809345,140366,0.0
1655260404.3560314,150372,0.0
1655260661.1944158,160374,0.0
1655260911.9154332,170383,0.0
1655261175.6131215,180409,0.0
1655261431.2633367,190429,0.0
1655261690.7102373,200455,0.0
1655261945.37872,210470,0.0
1655262199.0665011,220470,0.0
1655262467.786051,230485,0.0
1655262720.7989807,240515,0.0
1655262977.704819,250544,0.0
1655263233.5981238,260568,0.0
1655263491.7355304,270591,0.0
1655263745.8436565,280608,0.0
1655264057.6381164,290639,0.0
1655264319.5694475,300640,0.0
1655264578.9980662,310647,0.0
1655264842.949396,320672,0.0
1655265103.4114099,330699,0.0
1655265360.0426583,340703,0.0
1655265630.5842042,350728,0.0
1655265890.5562944,360767,0.0
1655266151.9902937,370787,0.0
1655266414.012047,380799,0.0
1655266670.0715697,390823,0.0
1655266925.4253938,400843,0.0
1655267191.7895422,410848,0.0
1655267453.6949284,420873,0.0
1655267750.5520597,430876,0.0
1655268092.7177749,440878,0.0
1655268349.0521734,450898,0.0
1655268618.4379447,460931,0.0
1655268878.7390034,470942,0.0
1655269139.3303325,480963,0.0
1655269393.014704,490995,0.0
1655269654.1052203,501021,0.0
1655269910.6174488,511043,0.0
1655270220.4263191,521058,0.0
1655270485.6246169,531070,0.0
1655270747.8647678,541084,0.0
1655271006.4366221,551106,0.0
1655271265.429275,561145,0.0
1655271543.6276429,571179,0.0
1655271861.6106431,581192,0.0
1655272126.9627132,591232,0.0
1655272386.4354303,601265,0.0
1655272729.0437984,611471,0.0
1655273090.2973685,621509,0.0
1655273352.1162345,631537,0.0
1655273627.8508804,641545,0.0
1655273891.8090332,651569,0.0
1655274146.5341325,661580,0.0
1655274413.8799398,671592,0.0
1655274676.3053317,681625,0.0
1655274941.5481308,691633,0.0
1655275206.842995,701663,0.0
1655275469.8931563,711687,0.0
1655275726.0875661,721691,0.0
1655275987.3064966,731698,0.0
1655276250.6614757,741708,0.0
1655276525.5547845,751739,0.0
1655276789.0913415,761754,0.0
1655277054.417062,771764,0.0
1655277317.4672778,781794,0.0
1655277582.6763291,791809,0.0
1655277846.3738463,801814,0.0
1655278121.2557178,811852,0.0
1655278388.0127811,821857,0.0
1655278649.0481756,831864,0.0
1655278915.0499516,841888,0.0
1655279231.8593981,851893,0.0
1655279555.0074375,861924,0.0
1655279825.6934166,871946,0.0
1655280092.0552373,881963,0.0
1655280354.3847466,891983,0.0
1655280620.628037,902014,0.0
1655280884.9804401,912026,0.0
1655281155.1292608,922047,0.0
1655281432.2255018,932072,0.0
1655281700.722273,942076,0.0
1655281969.710286,952084,0.0
1655282237.0738912,962094,0.0
1655282577.9244998,972094,0.0
1655282875.3883927,982142,0.0
1655283210.2294497,992143,0.0
1655283506.6322546,1002156,0.0
1655283804.133409,1012185,0.0
1655284082.3206708,1022559,0.0
1655284402.989286,1032570,0.0
1655284695.6267438,1042578,0.0
1655285048.2740555,1052599,0.0
1655285316.3325467,1062629,0.0
1655285577.5742712,1072655,0.0
1655285843.0760884,1082661,0.0
1655286106.8994882,1092677,0.0
1655286378.4487684,1102712,0.0
1655286643.4142942,1112714,0.0
1655286911.9228055,1122736,0.0
1655287180.4106123,1132768,0.0
1655287556.7954936,1142795,0.0
1655287832.4274235,1152838,0.0
1655288103.8110087,1162863,0.0
1655288371.443072,1172905,0.0
1655288686.9980063,1182918,0.0
1655288954.3896432,1192931,0.0
1655289314.753915,1202953,0.0
1655289596.8283315,1212972,0.0
1655289858.4858012,1222997,0.0
1655290261.8621612,1233179,0.0
1655290651.63266,1243206,0.0
1655290937.2872875,1253226,0.0
1655291201.9022882,1263252,0.0
1655291475.3718495,1273261,0.0
1655291738.7671795,1283261,0.0
1655292047.5759366,1293274,0.0
1655292358.607162,1303307,0.0
1655292631.1955335,1313327,0.0
1655292938.9613483,1323344,0.0
1655293216.7500348,1333355,0.0
1655293490.3026283,1343355,0.0
1655293760.1012518,1353371,0.0
