Wall time,Step,Value
1655946928.9726079,51,0.0
1655947020.6907825,10058,0.0
1655947123.8128517,20072,0.0
1655947231.6897254,30074,0.09375
1655947338.5400894,40087,0.0
1655947441.168645,50111,0.0
1655947547.0866773,60125,0.03125
1655947645.619753,70129,0.0
1655947742.7476752,80161,0.0
1655947837.0752892,90288,0.0
1655947936.308055,100303,0.03125
1655948027.0276086,110356,0.0
1655948130.977812,120363,0.0
1655948240.2211866,130370,0.0
1655948350.1285853,140390,0.0
1655948457.8173075,150392,0.0
1655948568.8424344,160393,0.0
1655948684.9381258,170401,0.0
1655948808.9670756,180424,0.0
1655948926.0829225,190429,0.0
1655949042.2161887,200432,0.0
1655949148.997896,210480,0.0
1655949261.0535257,220502,0.0
1655949374.1451802,230554,0.0
1655949495.434098,240565,0.0
1655949607.875887,250587,0.0
1655949718.7181377,260591,0.0
1655949831.315024,270736,0.0
1655949942.1098313,280780,0.0
1655950058.6940389,290820,0.0
1655950170.9192889,300834,0.0
1655950282.3413033,310838,0.0
1655950382.209409,320886,0.0
1655950488.7384918,330966,0.03125
1655950589.7218733,340979,0.0
1655950698.3903975,350991,0.0
1655950811.3631482,361122,0.0
1655950915.8252273,371219,0.0
1655951027.742394,381294,0.0
1655951121.852352,391318,0.0
1655951208.247958,401463,0.0
1655951312.0927877,411474,0.0
1655951409.2246077,421504,0.0
1655951502.532589,431640,0.03125
1655951592.7022963,441657,0.0
1655951682.9705555,451685,0.0
1655951774.8107696,461764,0.0
1655951878.1050892,471788,0.03125
1655951977.5777864,481806,0.0
1655952075.2854714,491871,0.0
1655952179.246102,501882,0.0625
1655952278.1719065,511891,0.0
1655952387.6843426,521953,0.0
1655952484.7437315,531969,0.0
1655952586.3627186,541973,0.0
1655952683.7503836,551984,0.0
1655952780.7194328,561984,0.0625
1655952880.088287,572056,0.0
1655952996.08769,582194,0.0625
1655953089.8468397,592199,0.0
1655953198.2318017,602199,0.03125
1655953308.1603935,612335,0.0
1655953409.6111307,622357,0.0
1655953521.9999032,632377,0.0
1655953621.440916,642382,0.0
1655953706.071304,652480,0.03125
1655953772.0884056,662587,0.0
1655953834.2651794,672661,0.03125
1655953910.6992047,682663,0.03125
1655953990.3703198,692686,0.09375
1655954081.1238997,702765,0.03125
1655954164.2954826,712862,0.0
1655954251.8037903,722883,0.0625
1655954342.8649435,732918,0.03125
1655954432.988415,742941,0.09375
1655954525.4732156,753085,0.1875
1655954612.2224302,763089,0.0
1655954702.9964995,773104,0.0625
1655954789.2432902,783240,0.09375
1655954877.1177356,793254,0.0
1655954959.4634273,803257,0.03125
1655955063.3655918,813272,0.0625
1655955152.081314,823330,0.0625
1655955249.3558466,833343,0.09375
1655955344.574039,843346,0.03125
1655955440.3967032,853353,0.15625
1655955542.9035833,863363,0.0
1655955659.0667915,873368,0.0625
1655955764.7141862,883375,0.03125
1655955859.6612518,893380,0.03125
1655955959.6260498,903398,0.125
1655956055.31549,913489,0.125
1655956147.529064,923504,0.09375
1655956239.7768486,933513,0.03125
1655956327.6098824,943535,0.1875
1655956413.6014903,953665,0.09375
1655956509.273086,963670,0.0
1655956607.7342868,973771,0.0625
1655956701.8335934,983780,0.09375
1655956799.2535596,993893,0.09375
