Wall time,Step,Value
1655963882.1709049,57,0.0
1655963968.9754179,10102,0.0
1655964064.30117,20146,0.0
1655964164.1029577,30189,0.0
1655964265.6350353,40229,0.1875
1655964366.80635,50248,0.0
1655964462.393794,60424,0.09375
1655964553.2408266,70467,0.09375
1655964645.6780362,80518,0.0625
1655964741.441945,90556,0.1875
1655964843.0916932,100559,0.53125
1655964951.4925747,110581,0.65625
1655965053.0055118,120617,0.1875
1655965155.0562196,130621,0.53125
1655965254.463385,140624,0.625
1655965358.705877,150641,0.53125
1655965467.4918137,160644,0.78125
1655965569.7307937,170647,0.375
1655965674.9661453,180697,0.5625
1655965778.215931,190715,0.625
1655965882.6348195,200728,0.3125
1655965989.5833333,210771,0.21875
1655966099.6927812,220799,0.3125
1655966204.7400532,230809,0.34375
1655966307.6422436,240833,0.34375
1655966413.5817266,250881,0.09375
1655966516.722574,260912,0.5
1655966625.62831,270935,0.3125
1655966726.1130278,280943,0.59375
1655966828.680281,290946,0.40625
1655966932.746153,301004,0.5
1655967032.0037012,311029,0.25
1655967140.1916037,321039,0.5
1655967238.796608,331086,0.5
1655967335.9017606,341137,0.28125
1655967437.8752964,351177,0.5
1655967536.1772926,361346,0.375
1655967635.8401396,371393,0.71875
1655967741.0746446,381520,0.4375
1655967835.632781,391573,0.5625
1655967931.1230183,401579,0.6875
1655968029.0378659,411620,0.28125
1655968127.1850398,421657,0.6875
1655968230.1582556,431698,0.8125
1655968328.145956,441747,0.78125
1655968420.6503062,451754,0.78125
1655968518.9876747,461763,0.875
1655968613.502903,471777,0.78125
1655968716.9215026,481844,0.75
1655968811.2532046,491909,0.875
1655968910.6038005,501944,0.625
1655969001.1967714,512013,0.75
1655969097.8735023,522112,0.6875
1655969196.1211617,532133,0.59375
1655969298.731553,542155,0.75
1655969394.7723668,552167,0.46875
1655969493.88547,562216,0.53125
1655969594.680364,572313,0.21875
1655969693.5292127,582372,0.53125
1655969799.758985,592431,0.40625
1655969899.6426294,602498,0.375
1655969996.2815075,612560,0.46875
1655970097.3764555,622567,0.5625
1655970195.4806921,632624,0.5
1655970300.6760259,642647,0.65625
1655970401.941045,652683,0.71875
1655970501.640064,662739,0.15625
1655970604.243411,672749,0.75
1655970710.1419594,682779,0.625
1655970816.0598934,692826,0.59375
1655970917.3392873,702883,0.75
1655971018.638046,712931,0.6875
1655971121.4658701,722954,0.59375
1655971225.864981,732968,0.6875
1655971330.8310075,743027,0.6875
1655971438.1035163,753051,0.65625
1655971543.6531584,763055,0.78125
1655971649.6369963,773065,0.65625
1655971751.991889,783121,0.59375
1655971854.3601437,793123,0.875
1655971962.9673936,803172,0.71875
1655972067.1002946,813233,0.625
1655972169.0952175,823250,0.625
1655972269.8403964,833279,0.53125
1655972373.954655,843284,0.71875
1655972483.8658693,853289,0.59375
1655972587.4322176,863299,0.78125
1655972690.6960683,873315,0.53125
1655972792.757847,883330,0.6875
1655972893.7470727,893361,0.6875
1655972994.4132962,903399,0.90625
1655973100.860481,913446,0.75
1655973201.793066,923472,0.6875
1655973304.1747832,933532,0.71875
1655973402.84205,943684,0.8125
1655973502.1129944,953735,0.71875
1655973607.9833121,963754,0.6875
1655973710.127198,973793,0.875
1655973808.28013,983855,0.875
1655973905.4582624,993882,0.84375
