Wall time,Step,Value
1655946956.8394117,115,0.0
1655947036.5890996,10174,0.0
1655947124.6582615,20229,0.0
1655947208.4379907,30233,0.0
1655947292.7816923,40238,0.0
1655947391.1747615,50245,0.78125
1655947488.3770175,60278,0.03125
1655947581.208242,70283,0.0
1655947672.338302,80314,0.03125
1655947766.4102578,90332,0.0
1655947853.5520148,100333,0.0625
1655947940.3325064,110355,0.03125
1655948025.511296,120365,0.5625
1655948108.2228904,130369,0.25
1655948189.3766146,140394,0.375
1655948275.7806625,150428,0.15625
1655948353.9052253,160437,0.25
1655948432.8156717,170442,0.09375
1655948512.7844086,180469,0.09375
1655948590.0156398,190473,0.25
1655948667.857794,200495,0.0625
1655948751.1036808,210517,0.09375
1655948826.1527493,220524,0.03125
1655948901.724825,230540,0.3125
1655948976.515648,240570,0.21875
1655949046.8132734,250599,0.65625
1655949115.6925209,260632,0.40625
1655949173.1302707,270634,0.84375
1655949232.2420006,280674,0.40625
1655949290.79333,290685,0.875
1655949349.2448647,300686,0.96875
1655949407.024207,310720,0.90625
1655949471.5457788,320760,0.59375
1655949530.0649788,330791,0.71875
1655949588.6918592,340809,0.78125
1655949647.0497718,350827,0.90625
1655949705.8143363,360854,0.90625
1655949764.235136,370885,0.90625
1655949828.9620101,380902,0.625
1655949887.628739,390907,0.96875
1655949945.5090756,400912,0.9375
1655950004.6292672,410937,0.90625
1655950062.387425,420944,0.6875
1655950120.6140206,430952,0.6875
1655950185.313214,440955,0.96875
1655950244.5834405,450973,0.5625
1655950302.7868984,461005,0.53125
1655950361.5856435,471031,1.0
1655950420.5586083,481066,0.75
1655950485.487523,491072,0.90625
1655950544.0877202,501096,0.9375
1655950603.003342,511129,1.0
1655950661.9539435,521153,0.96875
1655950720.7109416,531194,0.875
1655950779.1700451,541228,0.9375
1655950843.273499,551263,0.84375
1655950902.0897005,561265,0.8125
1655950959.5025504,571294,0.90625
1655951018.0392556,581315,1.0
1655951075.2243292,591324,0.96875
1655951133.1211863,601346,0.96875
1655951196.6745663,611357,0.9375
1655951254.7160327,621373,0.96875
1655951311.7770185,631410,1.0
1655951370.6498063,641415,0.96875
1655951429.1075332,651429,1.0
1655951487.8308866,661463,0.875
1655951551.6191287,671505,0.96875
1655951609.416865,681532,1.0
1655951668.0196767,691533,0.9375
1655951725.8854465,701572,1.0
1655951783.2143662,711594,0.9375
1655951847.0264754,721615,0.96875
1655951905.4394863,731642,0.96875
1655951964.6103237,741675,0.9375
1655952022.9481187,751699,0.96875
1655952081.197101,761737,1.0
1655952140.4244692,771755,0.9375
1655952204.8350708,781763,0.96875
1655952264.41951,791786,1.0
1655952323.0397205,801822,0.9375
1655952380.9401333,811831,0.875
1655952439.1953118,821834,0.96875
1655952497.4706159,831863,1.0
1655952562.5137432,841883,1.0
1655952620.5824823,851887,1.0
1655952679.076161,861887,1.0
1655952737.6758537,871925,0.96875
1655952796.026934,881947,1.0
1655952861.3255622,891958,0.96875
1655952919.508168,901966,1.0
1655952977.9046037,911995,1.0
1655953036.29101,922010,1.0
1655953094.6217358,932018,0.96875
1655953154.3555295,942029,0.9375
1655953219.280896,952052,1.0
1655953278.9576657,962071,0.90625
1655953338.4983222,972110,1.0
1655953398.11399,982150,0.9375
1655953457.6951108,992161,0.96875
