Wall time,Step,Value
1655905268.8163154,51,0.0
1655905478.638607,10074,0.0
1655905696.9023025,20119,0.0
1655905915.830027,30119,0.0
1655906132.512946,40146,0.0
1655906334.0222223,50219,0.4375
1655906520.6070461,60260,0.71875
1655906704.4219067,70263,0.28125
1655906895.137164,80267,0.125
1655907095.9096837,90319,0.40625
1655907291.826617,100328,0.3125
1655907507.6075945,110331,0.34375
1655907712.568938,120359,0.65625
1655907917.4998064,130363,0.46875
1655908126.627128,140473,0.125
1655908343.0094602,150489,0.125
1655908573.2383401,160502,0.15625
1655908798.3963153,170517,0.15625
1655909017.6592941,180548,0.15625
1655909237.93622,190556,0.15625
1655909457.0074675,200557,0.03125
1655909673.2037504,210585,0.03125
1655909901.6179917,220604,0.0625
1655910116.8583958,230649,0.09375
1655910332.9081433,240655,0.09375
1655910545.7537084,250705,0.0625
1655910757.7014604,260728,0.15625
1655910971.2800615,270728,0.15625
1655911179.471117,280768,0.15625
1655911392.3976738,290807,0.1875
1655911599.8438323,300843,0.21875
1655911799.9257693,310868,0.0625
1655912001.0157282,320920,0.03125
1655912218.61724,330960,0.03125
1655912405.6305373,341005,0.15625
1655912601.8560677,351033,0.125
1655912799.459137,361047,0.03125
1655912978.012389,371093,0.21875
1655913178.7151148,381138,0.125
1655913386.4079306,391158,0.15625
1655913559.137956,401205,0.28125
1655913763.0966003,411220,0.21875
1655913965.963326,421234,0.25
1655914178.0603063,431260,0.15625
1655914378.3276591,441309,0.0
1655914585.8555267,451361,0.40625
1655914789.8290036,461377,0.1875
1655914998.1332626,471407,0.0
1655915216.8518558,481421,0.125
1655915425.8103707,491543,0.375
1655915630.398701,501564,0.09375
1655915835.9307148,511708,0.0
1655916039.9135954,521744,0.0625
1655916239.7758386,531805,0.0625
1655916459.7960365,541868,0.125
1655916657.3385432,551904,0.125
1655916863.2004166,561945,0.0625
1655917064.054688,571950,0.0
1655917278.3833156,582089,0.15625
1655917500.2714016,592136,0.09375
1655917702.763537,602215,0.21875
1655917902.7557037,612221,0.0625
1655918105.5753462,622269,0.09375
1655918310.7280664,632301,0.125
1655918529.722961,642353,0.03125
1655918737.615715,652371,0.25
1655918946.63656,662402,0.15625
1655919150.4820552,672434,0.1875
1655919337.693008,682434,0.0625
1655919551.148067,692450,0.25
1655919764.3579717,702506,0.21875
1655919967.9639452,712572,0.125
1655920166.9780972,722600,0.4375
1655920383.1356952,732617,0.1875
1655920603.0615988,742659,0.125
1655920825.8049116,752714,0.0625
1655921035.7391274,762748,0.34375
1655921243.0490258,772824,0.03125
1655921455.4370148,782935,0.21875
1655921657.166245,792992,0.1875
1655921865.9745927,802995,0.15625
1655922080.2933779,813009,0.0
1655922294.0790782,823026,0.3125
1655922507.837736,833041,0.15625
1655922708.60967,843078,0.125
1655922924.792944,853089,0.21875
1655923137.9264538,863091,0.09375
1655923352.1619577,873148,0.03125
1655923540.375609,883150,0.03125
1655923738.239175,893176,0.09375
1655923952.7771592,903268,0.09375
1655924167.3916643,913293,0.0625
1655924373.5677726,923356,0.21875
1655924596.8436353,933399,0.0625
1655924812.8601642,943440,0.03125
1655925011.419245,953469,0.0
1655925233.719792,963505,0.0625
1655925443.6695392,973514,0.21875
1655925635.4976916,983556,0.15625
1655925833.8433406,993602,0.15625
