Wall time,Step,Value
1655351175.062532,34,0.0
1655351447.2296307,10034,0.0
1655351765.3147106,20047,0.0
1655352056.6621742,30047,0.0
1655352324.1595423,40053,0.0
1655352624.2965436,50066,0.0
1655352931.6062558,60086,0.0
1655353222.2940607,70095,0.0
1655353507.200409,80096,0.0
1655353788.515031,90114,0.0
1655354072.5691116,100139,0.0
1655354357.0096781,110157,0.0
1655354654.3857603,120183,0.0
1655354945.2291675,130202,0.0
1655355239.7299135,140236,0.0
1655355512.1642017,150239,0.0
1655355801.048163,160260,0.0
1655356071.7454324,170267,0.0
1655356351.9031727,180297,0.0
1655356631.6368349,190317,0.0
1655356903.7601209,200330,0.0
1655357184.1613,210334,0.1875
1655357401.5202944,220338,0.125
1655357625.0269294,230374,0.125
1655357900.2293541,240511,0.09375
1655358124.9813933,250904,0.1875
1655358356.230434,260944,0.15625
1655358581.9640665,271003,0.0
1655358835.7321405,281028,0.0625
1655359103.3197217,291066,0.03125
1655359353.3148963,301098,0.1875
1655359596.7082677,311307,0.125
1655359865.4414008,321326,0.15625
1655360119.4058626,331347,0.1875
1655360408.55836,341384,0.09375
1655360690.0383186,351609,0.0
1655360953.2965748,361796,0.0
1655361224.3301947,371807,0.03125
1655361500.2329226,381841,0.0
1655361806.4075608,392016,0.03125
1655362085.6503997,402036,0.0
1655362389.6128135,412039,0.03125
1655362669.9758255,422057,0.03125
1655362977.0484235,432060,0.0
1655363279.3877633,442197,0.0
1655363560.584703,452243,0.03125
1655363809.358019,462268,0.0
1655364019.9305701,472325,0.46875
1655364251.5799444,482447,0.46875
1655364444.4504874,492451,0.21875
1655364658.0234945,502733,0.375
1655364868.374484,512806,0.625
1655365082.9056358,522815,0.25
1655365302.1739037,532971,0.53125
1655365551.9369574,542975,0.3125
1655365752.3541203,553304,0.3125
1655365941.5585961,563387,0.375
1655366130.8651636,573729,0.4375
1655366343.9315555,583865,0.34375
1655366524.4120555,594164,0.34375
1655366714.9261026,604466,0.25
1655366901.0801601,614700,0.5
1655367104.0524185,624991,0.40625
1655367275.8612347,635091,0.46875
1655367480.8750846,645485,0.3125
1655367667.4655583,655615,0.25
1655367873.7296968,665840,0.21875
1655368050.082628,675866,0.15625
1655368256.2681684,685879,0.0
1655368462.086567,696091,0.46875
1655368678.4275506,706229,0.09375
1655368871.2752707,716554,0.40625
1655369058.772483,726682,0.6875
1655369247.32232,737049,0.5625
1655369432.2268465,747237,0.375
1655369630.9240882,757555,0.5625
1655369823.6730237,767862,0.6875
1655369998.6987145,778218,0.6875
1655370225.3084517,788241,0.09375
1655370441.9159844,798387,0.03125
1655370650.6082592,808506,0.40625
1655370851.4595351,818681,0.5
1655371078.8245022,828721,0.53125
1655371279.4649892,838898,0.46875
1655371485.1649675,848923,0.28125
1655371687.0847006,859244,0.625
1655371899.011169,869266,0.40625
1655372100.414101,879553,0.5
1655372306.9133656,889745,0.34375
1655372514.6996863,899959,0.625
1655372691.0506072,910144,0.5625
1655372926.9558249,920506,0.4375
1655373153.1232603,930752,0.46875
1655373345.3467355,940803,0.78125
1655373577.3833299,951132,0.6875
1655373814.9126577,961477,0.8125
1655374024.1828523,971557,0.8125
1655374261.517488,981942,0.75
1655374495.473724,991995,0.78125
1655374737.301505,1002280,0.71875
1655374961.893775,1012281,0.5625
1655375179.0424469,1022320,0.5625
1655375372.6591988,1032364,0.71875
1655375555.256353,1042595,0.78125
1655375759.106303,1052619,0.71875
1655375939.078071,1062637,0.75
1655376125.1726024,1072649,0.75
1655376295.9350417,1082659,0.8125
1655376532.5584965,1092801,0.65625
1655376753.892314,1102856,0.625
1655376973.5358944,1113081,0.75
1655377214.786688,1123102,0.75
1655377440.0445843,1133229,0.8125
1655377670.7450833,1143265,0.8125
1655377899.6805441,1153402,0.71875
1655378093.8515608,1163613,0.84375
1655378301.0821877,1173785,0.78125
1655378528.5361733,1183797,0.78125
1655378759.8526185,1193835,0.90625
1655378945.8501592,1203974,0.78125
1655379200.278196,1214109,0.65625
1655379424.5832868,1224504,0.71875
1655379648.263611,1234531,0.6875
1655379872.890878,1244555,0.625
1655380073.6036139,1254568,0.75
1655380290.3988907,1264907,0.75
1655380542.6669662,1275201,0.65625
1655380779.0730255,1285209,0.875
1655380967.5933774,1295246,0.84375
1655381154.216721,1305449,0.84375
1655381369.7826443,1315735,0.84375
1655381574.5450587,1325968,0.8125
1655381766.8622668,1336243,0.84375
1655381957.5492506,1346296,0.9375
1655382144.64556,1356304,0.8125
1655382349.975321,1366327,0.875
1655382558.6574433,1376582,0.875
1655382775.3903205,1386648,0.84375
1655383002.2710888,1396720,0.65625
1655383246.1922133,1406775,0.90625
1655383463.8980293,1416827,0.75
1655383680.7299771,1426885,0.84375
1655383884.540935,1437065,0.8125
1655384108.068784,1447230,0.8125
1655384332.8054852,1457439,0.5625
1655384532.960086,1467586,0.9375
1655384749.9268801,1477602,0.875
1655384948.7802396,1487726,0.8125
1655385163.0210905,1497984,0.65625
