Wall time,Step,Value
1655428973.8391685,34,0.0
1655429173.5780034,10038,0.0
1655429366.9417546,20046,0.0
1655429541.9832754,30048,0.0
1655429751.9919384,40071,0.0
1655429965.5093772,50088,0.0
1655430149.0237157,60098,0.0
1655430320.7434597,70118,0.0
1655430488.0325294,80120,0.0
1655430651.8697393,90141,0.0
1655430810.0986235,100170,0.0
1655430976.5966754,110184,0.0
1655431128.7389026,120190,0.0
1655431287.3922374,130198,0.0
1655431427.7367897,140246,0.0
1655431566.605382,150274,0.0
1655431683.5040607,160314,0.0
1655431829.8152962,170330,0.0
1655431965.7446609,180365,0.0
1655432101.5427046,190401,0.0
1655432245.3141725,200438,0.0
1655432378.9285116,210463,0.0
1655432519.617325,220466,0.0
1655432653.9293618,230572,0.0
1655432775.2236624,240727,0.0
1655432892.3393087,250804,0.0
1655433021.932673,260868,0.0
1655433155.6606598,270974,0.0
1655433301.0470178,281164,0.0
1655433438.5082042,291276,0.0
1655433574.3975377,301474,0.0
1655433697.0282254,311493,0.0
1655433839.9869366,321553,0.0
1655433976.7943277,331598,0.0
1655434114.1756582,341644,0.0
1655434258.71506,351812,0.0
1655434405.2978292,362000,0.0
1655434547.639804,372022,0.0
1655434691.6431715,382096,0.0
1655434827.728761,392293,0.0
1655434968.2459073,402381,0.0
1655435095.136645,412510,0.0
1655435208.3263304,422621,0.0
1655435332.4319224,432729,0.0
1655435456.3049,442787,0.0
1655435584.5849254,452868,0.0
1655435716.1724155,462897,0.0
1655435833.6856287,472994,0.0
1655435955.5244038,483047,0.0
1655436086.4346833,493134,0.0
1655436225.4283326,503163,0.0
1655436343.183811,513237,0.0
1655436475.4975233,523248,0.0
1655436603.112545,533435,0.0
1655436729.416135,543524,0.0
1655436873.6818898,553686,0.0
1655437007.5234134,563725,0.0
1655437145.2497303,573727,0.0
1655437330.7558491,583889,0.0
1655437518.0973566,593930,0.0
1655437689.572471,603950,0.0
1655437855.3019989,614027,0.0
1655437992.9946783,624223,0.0
1655438088.8916478,634249,0.0
1655438206.4930022,644284,0.0
1655438316.259379,654454,0.0
1655438428.8596494,664550,0.0
1655438545.9399066,674577,0.0
1655438677.8610344,684748,0.0
1655438808.4541087,694782,0.0
1655438935.9899886,704885,0.0
1655439065.9960654,714910,0.0
1655439188.8824646,724938,0.0
1655439327.9284022,734948,0.0
1655439458.9774451,744968,0.0
1655439586.8193526,755196,0.0
1655439713.6774204,765244,0.0
1655439852.5463247,775443,0.0
1655439974.988446,785530,0.0
1655440104.8507364,795599,0.0
1655440230.1846445,805742,0.0
1655440359.5753133,815757,0.0
1655440501.1083217,825966,0.0
1655440632.528044,835987,0.0
1655440757.878716,846095,0.0
1655440890.2041423,856328,0.0
1655441035.6685708,866349,0.0
1655441153.3967562,876451,0.0
1655441265.7557554,886658,0.0
1655441435.504394,896807,0.0
1655441619.7023587,906972,0.0
1655441787.4760323,917116,0.0
1655441952.4732003,927180,0.0
1655442130.121055,937259,0.0
1655442316.2820725,947409,0.0
1655442499.6631832,957483,0.0
1655442633.8298135,967524,0.0
1655442758.168373,977532,0.0
1655442896.2522752,987747,0.0
1655443024.5346782,997825,0.0
1655443160.2403924,1007985,0.0
1655443292.163263,1018118,0.0
1655443445.6734939,1028123,0.03125
1655443595.8858929,1038355,0.0
1655443743.5473478,1048523,0.0
1655443891.166018,1058631,0.0
1655444056.751664,1068851,0.03125
1655444206.3738194,1079090,0.0625
1655444340.588432,1089281,0.03125
1655444479.0243657,1099505,0.09375
1655444620.9732163,1109517,0.03125
1655444752.5046833,1119543,0.03125
1655444886.498297,1129575,0.0
1655445021.6071506,1139774,0.0
1655445174.8060498,1149781,0.09375
1655445328.6281462,1159869,0.0
1655445470.9682977,1169965,0.09375
1655445612.2275853,1180033,0.0
1655445771.9371538,1190041,0.0
1655445927.4731345,1200228,0.03125
1655446079.4712138,1210302,0.03125
1655446225.6556385,1220417,0.0
1655446373.4289718,1230546,0.03125
1655446500.9588544,1240602,0.0625
1655446632.7040927,1250713,0.125
1655446765.9431696,1260739,0.25
1655446891.7545485,1270820,0.0625
1655447012.5553384,1281035,0.0625
1655447136.542345,1291037,0.0
1655447267.4862003,1301075,0.09375
1655447419.410389,1311225,0.125
1655447561.1009238,1321381,0.09375
1655447696.9296238,1331537,0.125
1655447823.5178263,1341742,0.21875
1655447964.1201308,1351761,0.09375
1655448099.6842165,1361978,0.0625
1655448236.0157814,1372043,0.0625
1655448374.7781172,1382263,0.09375
1655448519.0089755,1392347,0.0
1655448645.2487106,1402406,0.21875
1655448784.0212605,1412594,0.1875
1655448919.6209798,1422620,0.125
1655449059.747822,1432663,0.25
1655449199.226326,1442800,0.3125
1655449337.4534986,1452952,0.09375
1655449467.8452773,1463050,0.09375
1655449606.8685658,1473058,0.25
1655449734.4838927,1483182,0.1875
1655449872.2558203,1493415,0.1875
1655450007.6235914,1503618,0.28125
1655450160.463418,1513748,0.15625
1655450308.7813706,1523885,0.09375
1655450452.0515594,1533978,0.21875
1655450601.9914274,1544157,0.28125
1655450766.5149734,1554160,0.09375
1655450922.2427018,1564407,0.28125
1655451068.8823555,1574505,0.125
1655451204.71382,1584620,0.3125
1655451356.2854228,1594771,0.25
1655451493.933566,1605018,0.1875
1655451636.403437,1615059,0.3125
1655451777.5901453,1625095,0.1875
1655451929.490495,1635146,0.25
1655452075.2598255,1645318,0.28125
1655452231.693894,1655525,0.375
1655452380.4291196,1665705,0.25
1655452529.13596,1675885,0.21875
1655452663.8053968,1685930,0.28125
1655452789.7569232,1696113,0.0625
1655452919.422693,1706291,0.21875
1655453059.3335042,1716310,0.21875
1655453196.135777,1726483,0.125
1655453334.9254854,1736638,0.09375
1655453464.8143082,1746763,0.25
1655453610.633632,1757008,0.25
1655453779.8054314,1767029,0.3125
1655453960.310225,1777048,0.375
1655454155.5867467,1787076,0.40625
1655454359.9117956,1797117,0.125
1655454545.2304373,1807119,0.46875
1655454724.9804852,1817167,0.40625
1655454906.1684892,1827368,0.28125
1655455037.8538573,1837493,0.25
1655455159.2629752,1847524,0.21875
1655455280.7735305,1857588,0.4375
1655455401.2375362,1867829,0.375
1655455529.0617256,1878058,0.25
1655455654.488399,1888094,0.28125
1655455780.2682843,1898329,0.125
1655455942.1654181,1908335,0.1875
1655456077.7083747,1918391,0.0625
1655456198.669597,1928620,0.40625
1655456320.9328992,1938637,0.40625
1655456440.2047846,1948680,0.375
1655456575.6583915,1958767,0.28125
1655456741.6105628,1968844,0.3125
1655456924.9231958,1979036,0.4375
1655457114.514185,1989068,0.59375
1655457307.4017925,1999162,0.65625
