Wall time,Step,Value
1655517221.5844357,23,0.0
1655517335.6032183,10028,0.0
1655517444.9053466,20033,0.0
1655517552.7330096,30048,0.0
1655517656.7857056,40057,0.0
1655517757.4514775,50071,0.0
1655517859.2062428,60080,0.0
1655517954.6132417,70089,0.0
1655518051.6584644,80100,0.0
1655518151.010807,90111,0.0
1655518244.177638,100115,0.0
1655518338.8711352,110125,0.0
1655518438.1384566,120128,0.0
1655518532.2072072,130129,0.0
1655518626.2247734,140133,0.0
1655518723.075304,150143,0.0
1655518820.196282,160143,0.0
1655518917.965375,170162,0.0
1655519021.934817,180168,0.0
1655519122.2483113,190187,0.0
1655519214.6916606,200197,0.0
1655519315.063332,210217,0.0
1655519417.8580751,220240,0.0
1655519519.1290896,230247,0.0
1655519625.4478793,240263,0.0
1655519733.9199734,250286,0.03125
1655519842.7385385,260287,0.03125
1655519949.6052814,270297,0.0
1655520052.65053,280316,0.0625
1655520158.3966112,290320,0.0
1655520265.5619898,300334,0.09375
1655520375.6090422,310351,0.0
1655520480.67288,320371,0.03125
1655520582.8912768,330373,0.03125
1655520686.5232599,340378,0.0625
1655520789.5528677,350378,0.09375
1655520890.8776002,360393,0.03125
1655520996.907573,370407,0.0625
1655521089.1136556,380412,0.0
1655521184.1375113,390479,0.03125
1655521277.3648384,400506,0.1875
1655521370.768344,410516,0.03125
1655521465.3093104,420516,0.0625
1655521559.7439537,430526,0.03125
1655521655.6178596,440538,0.25
1655521753.4363022,450547,0.15625
1655521850.047955,460563,0.09375
1655521946.579017,470566,0.21875
1655522042.74433,480576,0.0
1655522140.186571,490595,0.34375
1655522236.8570428,500607,0.0625
1655522338.3771985,510611,0.09375
1655522437.581848,520616,0.03125
1655522536.2614608,530628,0.5625
1655522632.8288872,540632,0.28125
1655522736.9630544,550642,0.34375
1655522834.8060753,560655,0.4375
1655522932.6997597,570680,0.3125
1655523029.043696,580690,0.3125
1655523122.1568944,590691,0.28125
1655523225.2277496,600708,0.3125
1655523321.428163,610731,0.375
1655523413.4824603,620783,0.28125
1655523511.8667014,630805,0.25
1655523611.001459,640807,0.375
1655523711.2365549,650812,0.21875
1655523817.6353064,660824,0.34375
1655523919.2621515,670831,0.375
1655524020.0632217,680846,0.4375
1655524120.514137,690849,0.46875
1655524218.0006146,700852,0.4375
1655524322.8872213,710860,0.4375
1655524436.1019642,720877,0.375
1655524540.4529765,730900,0.59375
1655524641.8647606,740912,0.5625
1655524745.273184,750936,0.5625
1655524850.3275108,760953,0.4375
1655524954.5875807,770961,0.5
1655525065.4113908,780985,0.53125
1655525174.0688004,790986,0.5625
1655525280.056413,800991,0.59375
1655525389.6655793,810991,0.53125
1655525492.1745975,821019,0.5625
1655525600.4720402,831030,0.5625
1655525705.4644697,841047,0.46875
1655525811.6032987,851054,0.71875
1655525916.0525074,861069,0.5
1655526023.0432239,871099,0.5625
1655526130.1484642,881113,0.59375
1655526238.781963,891121,0.65625
1655526346.3282022,901142,0.59375
1655526449.168445,911167,0.6875
1655526551.875856,921230,0.59375
1655526651.3660612,931284,0.375
1655526754.9019656,941325,0.4375
1655526860.450505,951339,0.59375
1655526970.493863,961363,0.71875
1655527071.8555484,971372,0.53125
1655527177.918529,981377,0.5625
1655527280.8146803,991404,0.375
1655527385.630703,1001413,0.4375
1655527493.8186755,1011420,0.46875
1655527607.662407,1021438,0.46875
1655527715.7662776,1031444,0.65625
1655527825.3943284,1041453,0.34375
1655527927.5689268,1051454,0.6875
1655528035.455099,1061462,0.65625
1655528144.6218493,1071470,0.71875
1655528260.443124,1081493,0.4375
1655528373.1173553,1091509,0.6875
1655528480.8125622,1101542,0.625
1655528588.2269313,1111551,0.5625
1655528696.8216035,1121609,0.75
1655528807.7395797,1131619,0.46875
1655528918.8489752,1141625,0.5625
1655529029.6816974,1151630,0.59375
1655529139.8153403,1161640,0.53125
1655529255.9433143,1171645,0.6875
1655529373.3869333,1181656,0.65625
1655529487.1878262,1191697,0.625
1655529605.3732035,1201725,0.71875
1655529716.9472792,1211744,0.75
1655529832.6791062,1221766,0.5625
1655529951.874454,1231768,0.75
1655530072.1825294,1241780,0.65625
1655530188.5663602,1251796,0.65625
1655530309.334096,1261813,0.59375
1655530423.6927445,1271817,0.5
1655530538.9373906,1281842,0.6875
1655530652.4810286,1291863,0.625
1655530764.3089907,1301892,0.6875
1655530877.6677818,1311901,0.59375
1655530998.391425,1321916,0.78125
1655531110.0559707,1331931,0.71875
1655531220.7792413,1341946,0.6875
1655531333.285852,1351959,0.75
1655531442.0186455,1361969,0.71875
1655531554.8937626,1371992,0.78125
1655531673.3305635,1382005,0.78125
1655531786.77566,1392017,0.625
1655531900.7633867,1402021,0.6875
1655532011.9018328,1412042,0.625
1655532124.7663696,1422062,0.65625
1655532235.137019,1432062,0.5
1655532352.246318,1442076,0.75
1655532460.7495272,1452077,0.65625
1655532567.9817708,1462097,0.6875
1655532677.1691682,1472115,0.6875
1655532783.367339,1482123,0.71875
1655532888.9922485,1492127,0.5625
