Wall time,Step,Value
1655885738.4887385,23,0.34375
1655885941.1586268,10043,0.5625
1655886168.2710774,20051,0.53125
1655886372.3310328,30059,0.4375
1655886537.853645,40059,0.28125
1655886691.9223,50172,0.21875
1655886860.682216,60218,0.375
1655887033.6714478,70415,0.5
1655887221.656814,80421,0.53125
1655887401.20481,90522,0.53125
1655887571.8964806,100650,0.5
1655887790.228421,110681,0.21875
1655888009.006674,120701,0.3125
1655888213.6354573,130738,0.21875
1655888406.3170145,140851,0.21875
1655888599.8848865,150862,0.1875
1655888811.076339,160869,0.28125
1655889011.362197,170870,0.15625
1655889176.3006089,180890,0.375
1655889336.640459,190954,0.34375
1655889491.9839578,200977,0.09375
1655889681.5508697,210983,0.53125
1655889871.5594828,221011,0.34375
1655890078.8496323,231060,0.3125
1655890309.0563114,241064,0.34375
1655890476.793372,251120,0.59375
1655890665.9099197,261126,0.8125
1655890876.8005598,271177,0.375
1655891101.4005446,281349,0.4375
1655891302.5544403,291362,0.53125
1655891490.8584244,301366,0.59375
1655891676.9111652,311535,0.8125
1655891861.0444946,321550,0.71875
1655892019.6601162,331561,0.5625
1655892163.235902,341720,0.40625
1655892317.6260157,351728,0.34375
1655892478.4667096,361737,0.21875
1655892639.9708333,371746,0.28125
1655892817.9749644,381765,0.5625
1655892992.4805334,391774,0.5
1655893152.170239,401918,0.375
1655893301.056507,412079,0.875
1655893443.0421617,422161,0.53125
1655893589.840301,432320,0.125
1655893735.2423844,442412,0.1875
1655893899.5853317,452548,0.15625
1655894054.4224398,462592,0.125
1655894220.835243,472674,0.0
1655894377.499094,482714,0.03125
1655894542.2672505,492790,0.03125
1655894692.9084806,502979,0.15625
1655894848.4378269,513114,0.0
1655894990.7479684,523192,0.375
1655895137.5837922,533200,0.09375
1655895288.8657818,543229,0.125
1655895441.2123168,553389,0.21875
1655895599.063457,563581,0.03125
1655895745.9347928,573703,0.6875
1655895908.2925575,583709,0.96875
1655896052.578614,593799,0.84375
1655896218.5543408,603803,0.71875
1655896430.3818753,613811,0.625
1655896648.1461642,623897,0.46875
1655896887.516942,633905,0.40625
1655897175.5276282,643908,0.625
1655897399.231918,653934,0.5625
1655897633.0211718,663945,0.3125
1655897850.437025,673957,0.46875
1655898082.0524325,683962,0.59375
1655898276.270834,693982,0.71875
1655898464.622367,704006,0.71875
1655898653.9099214,714061,0.625
1655898839.5353613,724121,0.5625
1655899035.178263,734138,0.53125
1655899257.5568278,744141,0.59375
1655899483.5783315,754149,0.65625
1655899720.6752372,764165,0.78125
1655899936.9789054,774172,0.90625
1655900162.0252445,784194,0.75
1655900382.0649004,794195,0.96875
1655900583.4015656,804203,0.78125
1655900819.521339,814229,0.90625
1655901034.2636523,824238,0.625
1655901229.0731807,834241,0.625
1655901409.7265732,844261,0.59375
1655901616.204599,854267,0.65625
1655901829.4496486,864290,0.8125
1655902065.3660982,874293,0.9375
1655902317.26884,884301,0.90625
1655902552.418166,894302,0.875
1655902798.1109076,904303,1.0
1655903030.4221745,914306,0.8125
1655903253.7396498,924309,0.875
1655903481.2986784,934310,0.96875
1655903734.5615554,944334,0.90625
1655903960.5412514,954350,0.78125
1655904180.2377422,964358,0.90625
1655904403.8586862,974361,1.0
1655904626.4524734,984365,0.9375
1655904865.2463763,994373,0.96875
1655905075.2842865,1004387,0.875
1655905315.7803817,1014392,0.96875
1655905559.6650667,1024394,0.9375
1655905818.8444278,1034396,1.0
1655906095.0950274,1044405,1.0
1655906381.2790139,1054411,0.9375
1655906637.1929579,1064414,1.0
1655906887.086212,1074422,1.0
1655907125.9214542,1084433,0.90625
1655907378.9395192,1094435,0.9375
1655907618.7679963,1104438,1.0
1655907855.377333,1114440,1.0
1655908081.5235941,1124448,0.9375
1655908307.176106,1134458,1.0
1655908536.4867077,1144568,0.8125
1655908759.0599687,1154569,1.0
1655909018.4339366,1164571,1.0
1655909254.081666,1174629,1.0
1655909528.1260161,1184660,0.90625
1655909770.138653,1194660,0.96875
1655910025.0144215,1204660,1.0
