Wall time,Step,Value
1654411358.9237604,66,0.0
1654411524.3887541,10086,0.0
1654411700.7085094,20089,0.0
1654411885.7481937,30109,0.0
1654412065.9760847,40109,0.0
1654412239.9225018,50143,0.0
1654412417.8224437,60316,0.0
1654412572.0180275,70338,0.0
1654412754.6745322,80495,0.0
1654412932.5891209,90510,0.0
1654413106.9572742,100513,0.0
1654413289.7080352,110537,0.0
1654413482.0002484,120570,0.0
1654413670.3302584,130576,0.0
1654413856.608318,140618,0.0
1654414031.0161438,150670,0.0
1654414212.2190895,160701,0.0
1654414393.4140823,170745,0.0
1654414576.446394,180778,0.0
1654414753.3891675,190779,0.0
1654414939.1753151,200806,0.0
1654415110.3698077,210835,0.0
1654415303.8811257,220983,0.0
1654415480.373961,231010,0.0
1654415658.2155151,241013,0.0
1654415851.6943552,251028,0.0
1654416042.3202698,261036,0.0
1654416214.0956056,271045,0.0
1654416422.4072318,281208,0.0
1654416612.1793942,291214,0.0
1654416808.6049695,301248,0.0
1654417007.2508266,311367,0.0
1654417220.8288836,321403,0.0
1654417412.2434752,331403,0.0
1654417639.33279,341426,0.0
1654417846.6679406,351432,0.0
1654418064.7990036,361446,0.0
1654418275.1076727,371451,0.0
1654418491.4498158,381480,0.0
1654418705.027405,391518,0.0
1654418923.5299525,401534,0.0
1654419121.6179984,411581,0.0
1654419310.0053022,421587,0.0
1654419486.378266,431600,0.0
1654419679.7694862,441614,0.0
1654419877.265188,451658,0.0
1654420052.3862095,461696,0.0
1654420239.740707,471714,0.0
1654420432.333715,481714,0.03125
1654420609.1409254,491754,0.0
1654420789.3860674,501779,0.03125
1654420971.4648027,511812,0.0
1654421147.0442255,521858,0.0
1654421323.8943102,531965,0.0
1654421500.0324,542011,0.0
1654421678.2100303,552020,0.0
1654421860.4768095,562044,0.0
1654422033.0304987,572052,0.0
1654422207.884374,582078,0.0
1654422374.8433568,592111,0.0
1654422552.3435616,602116,0.0
1654422733.1539521,612123,0.0
1654422913.8839161,622146,0.0
1654423091.4367309,632181,0.03125
1654423282.6183553,642220,0.03125
1654423470.6189904,652244,0.03125
1654423648.156677,662254,0.0
1654423832.3823779,672262,0.0
1654424006.4513636,682277,0.0
1654424179.852766,692300,0.0
1654424352.6392334,702319,0.0
1654424533.4754407,712349,0.0
1654424711.4298859,722399,0.03125
1654424890.2850864,732418,0.0
1654425078.327204,742424,0.03125
1654425248.2727237,752447,0.03125
1654425428.0758753,762476,0.03125
1654425622.17364,772492,0.0
1654425812.4436264,782515,0.0
1654425997.6802518,792539,0.0
1654426194.501365,802564,0.03125
1654426388.4228182,812586,0.0
1654426579.4110599,822587,0.03125
1654426776.0435321,832605,0.0
1654426964.725751,842627,0.0
1654427164.1023557,852661,0.0
1654427361.3291593,862775,0.0
1654427558.8142033,872791,0.03125
1654427761.1819189,882819,0.0
1654427948.3402977,892819,0.0
1654428132.7528985,902849,0.0
1654428309.263882,912859,0.0
1654428487.9207616,922965,0.03125
1654428658.0883455,932977,0.0
1654428837.9721038,942987,0.0
1654429001.9460244,953071,0.0
1654429173.130872,963110,0.03125
1654429330.8306603,973248,0.03125
1654429479.58955,983291,0.0
1654429640.757406,993382,0.0
1654429792.3038995,1003447,0.03125
1654429942.7394989,1013461,0.0
1654430085.1020598,1023633,0.0
1654430237.6739984,1033731,0.0
1654430398.0882545,1043905,0.0
1654430551.2873023,1053942,0.0625
1654430701.3946462,1064070,0.03125
1654430856.4968596,1074077,0.0
1654431010.9280002,1084227,0.03125
1654431164.484811,1094301,0.0
1654431316.7151575,1104328,0.0625
1654431467.8774343,1114336,0.0625
1654431627.7380795,1124515,0.0
1654431783.7268844,1134589,0.03125
1654431941.276495,1144722,0.0
1654432109.6589806,1154800,0.0
1654432265.7308257,1164819,0.03125
1654432420.8022916,1174857,0.0
1654432583.504511,1184923,0.0
1654432733.6564233,1194923,0.0625
1654432883.4064178,1204942,0.09375
1654433035.509915,1214970,0.0
1654433183.9244301,1225039,0.0625
1654433342.843991,1235164,0.03125
1654433490.5855322,1245174,0.0625
1654433645.977241,1255179,0.0
1654433792.619707,1265239,0.0
1654433946.6853204,1275258,0.0625
1654434117.6838298,1285339,0.0
1654434271.3645399,1295344,0.0
1654434431.0666008,1305383,0.0
1654434592.4350243,1315389,0.09375
1654434750.9692748,1325415,0.09375
1654434930.1503813,1335450,0.0
1654435095.9515936,1345565,0.125
1654435249.4158397,1355591,0.09375
1654435409.8044236,1365697,0.0625
1654435566.574676,1375740,0.09375
1654435736.0440454,1385793,0.03125
1654435886.605419,1395818,0.03125
1654436034.888632,1405858,0.0
1654436189.6757421,1415898,0.03125
1654436344.3248188,1426021,0.15625
1654436512.1238124,1436049,0.125
1654436666.620574,1446061,0.09375
1654436833.000343,1456100,0.0625
1654436991.690219,1466226,0.09375
1654437157.896069,1476369,0.09375
1654437316.506111,1486425,0.21875
1654437476.0055673,1496518,0.09375
1654437636.4701567,1506616,0.125
1654437791.7186544,1516657,0.03125
1654437954.3544247,1526767,0.09375
1654438121.010746,1536857,0.03125
1654438279.0690868,1546908,0.15625
1654438439.5551906,1556968,0.15625
1654438601.2711565,1566991,0.15625
1654438776.9535217,1577057,0.0
1654438939.668792,1587191,0.15625
1654439093.94231,1597210,0.15625
1654439255.5609224,1607294,0.0
1654439417.4075913,1617385,0.09375
1654439585.907727,1627409,0.15625
1654439736.4674058,1637494,0.125
1654439887.8447864,1647536,0.3125
1654440042.7056444,1657558,0.28125
1654440197.854573,1667582,0.1875
1654440365.007147,1677595,0.09375
1654440538.6531465,1687626,0.125
1654440694.7104888,1697715,0.34375
1654440839.485591,1707729,0.4375
1654440998.411249,1717756,0.09375
1654441156.1677537,1727930,0.25
1654441326.1331806,1737993,0.1875
1654441484.8690257,1748045,0.25
1654441639.1181486,1758102,0.40625
1654441802.9687076,1768125,0.25
1654441966.3900523,1778184,0.40625
1654442141.635818,1788344,0.375
1654442306.083373,1798348,0.21875
1654442476.146215,1808398,0.46875
1654442639.8910537,1818523,0.4375
1654442801.078324,1828630,0.5625
1654442980.3443444,1838690,0.34375
1654443141.9144444,1848691,0.25
1654443303.655287,1858751,0.125
1654443461.5702324,1868790,0.53125
1654443639.7736747,1878917,0.28125
1654443807.1662674,1889086,0.125
1654443969.5400326,1899091,0.03125
1654444135.6118114,1909179,0.09375
1654444297.7626557,1919288,0.375
1654444457.2274754,1929409,0.21875
1654444621.6011922,1939455,0.125
1654444772.334662,1949456,0.375
1654444940.67403,1959551,0.4375
1654445098.3813066,1969555,0.28125
1654445248.0768886,1979589,0.5625
1654445421.5671248,1989651,0.40625
1654445582.1396918,1999690,0.53125
1654445744.9418957,2009804,0.125
1654445898.9047694,2019956,0.375
1654446064.3202293,2030095,0.28125
1654446244.1340585,2040271,0.40625
1654446407.1297245,2050394,0.34375
1654446577.5008643,2060565,0.5
1654446744.1423652,2070590,0.46875
1654446906.8969998,2080616,0.5625
1654447091.0410361,2090638,0.25
1654447253.8240054,2100744,0.5
1654447428.3315055,2110775,0.4375
1654447590.0068352,2120823,0.34375
