Wall time,Step,Value
1654269873.946956,33,0.0
1654270082.6861277,10037,0.0
1654270286.54382,20070,0.0
1654270496.5750167,30089,0.0
1654270703.688562,40123,0.0
1654270899.9490445,50143,0.0
1654271093.247561,60170,0.0
1654271306.8930793,70181,0.0
1654271510.5754914,80193,0.0
1654271688.9718816,90216,0.0
1654271892.4079494,100227,0.0
1654272073.424081,110261,0.0
1654272279.2450807,120271,0.0
1654272484.4890974,130298,0.0
1654272678.434021,140322,0.0
1654272894.1293025,150344,0.0
1654273102.4595644,160364,0.0
1654273311.8401272,170397,0.0
1654273536.4538226,180411,0.0
1654273751.9275582,190447,0.0
1654273954.6297007,200466,0.0
1654274169.260271,210495,0.0
1654274400.2855484,220511,0.0
1654274642.4721243,230527,0.0
1654274874.933416,240555,0.0
1654275091.0481977,250580,0.0
1654275313.3557312,260585,0.0
1654275531.5072532,270954,0.0
1654275738.171971,280964,0.0
1654275941.7592318,290996,0.0
1654276112.0240562,301013,0.0
1654276320.8657591,311019,0.0
1654276518.7364957,321041,0.0
1654276720.0322845,331052,0.0
1654276946.8919737,341280,0.0
1654277164.6480947,351292,0.0
1654277382.268637,361309,0.0
1654277590.4667866,371359,0.0
1654277822.0827925,381403,0.0
1654278031.7432475,391462,0.0
1654278243.5882754,401464,0.0
1654278447.032717,411477,0.0
1654278632.3582945,421479,0.0
1654278846.0503438,431870,0.0
1654279062.0156205,441904,0.0
1654279264.0022929,451907,0.0
1654279489.6733186,461907,0.0
1654279713.9339125,471939,0.0
1654279912.4627914,481979,0.0
1654280125.8069816,492176,0.0
1654280360.4625938,502259,0.0
1654280592.2439172,512285,0.0
1654280816.1771107,522295,0.0
1654281052.3175433,532534,0.0
1654281253.0836287,542807,0.0
1654281472.4447505,552823,0.0
1654281717.6360674,563199,0.0
1654281947.8020177,573586,0.0
1654282130.4150758,583593,0.0
1654282338.4582167,593626,0.0
1654282547.5939693,603933,0.0
1654282765.851868,614027,0.0
1654282973.867527,624271,0.0
1654283164.5552616,634469,0.0
1654283345.213304,644603,0.0
1654283517.5480945,654822,0.0
1654283704.9749513,664943,0.0
1654283903.285701,675128,0.0
1654284088.2778323,685171,0.0
1654284277.9898062,695249,0.0
1654284484.6548312,705272,0.0
1654284667.3638053,715305,0.0
1654284844.9883585,725316,0.0
1654285046.444754,735351,0.0
1654285237.9667954,745363,0.0
1654285453.1574776,755522,0.0
1654285658.1704965,765549,0.0
1654285859.9778903,775868,0.0
1654286049.6414464,785939,0.0
1654286256.6297436,796170,0.0
1654286451.398274,806200,0.0
1654286643.8754795,816584,0.0
1654286863.4076948,826585,0.0
1654287063.0065703,836592,0.0
1654287272.0662985,846670,0.0
1654287486.220494,856684,0.0
1654287698.6873438,866898,0.0
1654287913.1549945,876914,0.0
1654288109.2881012,886923,0.0
1654288312.436966,897202,0.0
1654288522.877721,907577,0.0
1654288752.3681018,917774,0.0
1654288970.4531891,927801,0.0
1654289182.3319044,938105,0.0
1654289410.9598067,948464,0.0
1654289612.3181005,958733,0.0
1654289853.1964931,968928,0.0
1654290041.6515737,979247,0.0
1654290231.7890522,989413,0.0
1654290458.4107914,999458,0.0
1654290655.6259613,1009538,0.0
1654290859.7858129,1019925,0.0
1654291084.1926904,1030245,0.0
1654291311.496539,1040441,0.0
1654291518.9635692,1050545,0.0
1654291751.10124,1060580,0.0
1654291918.3008754,1070715,0.0
1654292126.2611003,1080904,0.0
1654292318.321813,1091209,0.0
1654292519.4122052,1101511,0.0
1654292742.9507563,1111750,0.0
1654292930.7078288,1121786,0.0
1654293141.6838565,1132049,0.0
1654293342.2875912,1142141,0.0
1654293546.8542519,1152227,0.0
1654293770.921039,1162272,0.0
1654293973.6175468,1172610,0.0
1654294167.9833531,1182900,0.0
1654294390.0952196,1193167,0.0
1654294603.4947207,1203280,0.0
1654294837.5293615,1213309,0.0
1654295041.6567113,1223545,0.0
1654295228.1173348,1233873,0.0
1654295427.26675,1243930,0.0
1654295670.2487273,1254320,0.0
1654295886.9615538,1264556,0.0
1654296103.6569452,1274584,0.0
1654296304.039155,1284882,0.0
1654296491.6969275,1294915,0.0
1654296736.0322804,1304950,0.0
1654296978.335209,1314953,0.0
1654297214.1864693,1324963,0.0
1654297473.210938,1335013,0.0
1654297726.8262558,1345030,0.0
1654297980.2696843,1355146,0.0
1654298225.167413,1365156,0.0
1654298489.844733,1375190,0.0
1654298754.7961025,1385201,0.0
1654299017.466271,1395260,0.0
1654299249.7350762,1405286,0.0
1654299506.0521617,1415560,0.0
1654299752.3205981,1425569,0.0
1654299997.6610806,1435694,0.0
1654300259.7778616,1445802,0.0
1654300525.5517015,1455925,0.0
1654300778.5069702,1465975,0.0
1654301014.2481108,1476050,0.0
1654301272.2733955,1486382,0.0
1654301500.2564597,1496714,0.0
1654301729.6074162,1506723,0.0
1654301975.16409,1516753,0.0
1654302260.2308059,1526771,0.0
1654302521.367816,1536783,0.0
1654302745.5726457,1546804,0.0
1654302976.084403,1556868,0.0
1654303191.9082754,1566922,0.0
1654303436.0006437,1577299,0.0
1654303661.6332123,1587425,0.0
1654303868.2691774,1597515,0.0
1654304102.2394774,1607597,0.0
1654304327.6440399,1617606,0.0
1654304539.7276735,1627784,0.0
1654304775.621226,1637956,0.0
1654304983.9152012,1648208,0.0
1654305211.8239625,1658358,0.0
1654305418.6513352,1668553,0.0
1654305637.7059467,1678587,0.0
1654305864.9798446,1688612,0.0
1654306073.0330079,1698659,0.0
1654306282.8874197,1708786,0.0
1654306501.6752434,1718803,0.0
1654306715.819475,1728817,0.0
1654306907.2498734,1738941,0.0
1654307117.1873786,1749042,0.0
1654307330.8718998,1759238,0.0
1654307513.4215198,1769352,0.0
1654307720.9076757,1779520,0.0
1654307906.560728,1789563,0.0
1654308089.8190534,1799625,0.0
1654308262.329824,1809911,0.0
1654308464.4845288,1820017,0.0
1654308666.2160707,1830370,0.0
1654308855.0725632,1840517,0.0
1654309070.326317,1850767,0.0
1654309274.0534935,1861078,0.0
1654309479.1754391,1871187,0.0
1654309698.407727,1881401,0.0
1654309897.4150674,1891553,0.0
1654310069.6090126,1901686,0.0
1654310266.9383245,1911902,0.0
1654310463.3472297,1922099,0.0
1654310666.2378547,1932172,0.0
1654310837.2644043,1942182,0.0
1654311022.5442424,1952316,0.0
1654311202.7975085,1962466,0.0
1654311417.869404,1972500,0.0
1654311601.2479875,1982753,0.0
1654311781.0216694,1992833,0.0
1654311971.619821,2002882,0.0
1654312183.7026052,2013077,0.0
1654312371.1078582,2023469,0.0
1654312588.3217876,2033488,0.0
1654312794.9471722,2043779,0.0
1654312999.5533736,2053921,0.0
1654313237.2052293,2064108,0.0
1654313416.2399015,2074238,0.0
1654313602.9544573,2084243,0.0
1654313786.386163,2094539,0.0
1654313969.6247914,2104805,0.0
1654314146.0049345,2115030,0.0
1654314328.466295,2125239,0.0
