Wall time,Step,Value
1655345108.6186674,63,0.0
1655345270.977583,10071,0.0
1655345444.157506,20077,0.03125
1655345625.5126948,30090,0.0
1655345802.5055501,40090,0.0
1655345972.320824,50112,0.0
1655346137.8720043,60131,0.0
1655346299.2453845,70131,0.0
1655346459.216895,80133,0.03125
1655346618.1213918,90137,0.0
1655346782.210636,100144,0.0
1655346912.536542,110293,0.0
1655347042.1547344,120308,0.0
1655347165.568997,130316,0.0
1655347289.8043716,140342,0.0
1655347430.539064,150361,0.0
1655347551.9530208,160392,0.0
1655347685.3017466,170491,0.0
1655347810.6734285,180626,0.0
1655347953.474151,190683,0.0
1655348086.8707926,200787,0.0
1655348216.7610166,210926,0.0
1655348352.8304827,220957,0.03125
1655348498.9528646,230977,0.0
1655348642.6748314,241045,0.0
1655348842.7572057,251096,0.0
1655349067.130025,261122,0.0
1655349290.2022855,271124,0.0625
1655349519.4368927,281136,0.125
1655349735.6916451,291157,0.125
1655349946.2983468,301173,0.0625
1655350157.5143676,311187,0.03125
1655350374.1698537,321189,0.125
1655350588.1497931,331199,0.0625
1655350804.478862,341208,0.40625
1655351005.3107257,351218,0.09375
1655351196.8057563,361238,0.34375
1655351368.123581,371261,0.3125
1655351518.5305974,381278,0.375
1655351673.7009225,391294,0.3125
1655351837.2200875,401320,0.46875
1655351987.7985706,411338,0.46875
1655352143.1203265,421343,0.5625
1655352303.2427065,431361,0.3125
1655352465.5988503,441373,0.46875
1655352623.3166883,451403,0.25
1655352787.6083422,461427,0.5
1655352955.4503517,471451,0.1875
1655353126.415829,481474,0.5625
1655353296.6155922,491481,0.46875
1655353475.0963101,501511,0.71875
1655353648.8569121,511531,0.59375
1655353822.5074952,521531,0.375
1655353995.7029474,531546,0.71875
1655354164.2284482,541576,0.9375
1655354337.7764459,551600,0.78125
1655354513.4423583,561611,0.8125
1655354683.3052027,571620,0.6875
1655354858.2628026,581631,0.9375
1655355027.1514595,591647,0.8125
1655355193.829674,601650,0.875
1655355354.7148328,611668,0.9375
1655355517.3190615,621679,0.9375
1655355678.347678,631680,0.875
1655355843.8077857,641680,1.0
1655356007.1864831,651708,1.0
1655356167.589626,661714,0.96875
1655356333.4467728,671714,0.90625
1655356494.7319067,681729,0.96875
1655356659.7294972,691737,0.96875
1655356830.3793285,701747,0.90625
1655356993.4137862,711779,1.0
1655357159.8121715,721788,0.9375
1655357319.7074487,731818,1.0
1655357485.810121,741834,1.0
1655357662.770822,751843,0.90625
1655357825.5570323,761867,1.0
1655357983.6066551,771890,1.0
1655358142.3561594,781908,1.0
1655358307.7217977,791924,1.0
1655358470.1482651,801945,1.0
1655358638.8594747,811968,0.9375
1655358804.6252742,821996,0.96875
1655358968.6950448,831998,0.96875
1655359137.3830683,842018,1.0
1655359306.3171318,852020,1.0
1655359476.2367218,862036,0.96875
1655359650.662143,872037,1.0
1655359819.473132,882048,1.0
1655359986.7733195,892064,0.9375
1655360155.2875204,902082,0.96875
1655360323.459069,912124,0.96875
1655360490.2607608,922134,1.0
1655360659.9594066,932146,0.9375
1655360826.9330132,942162,1.0
1655360987.546535,952178,1.0
1655361150.9617288,962202,1.0
1655361315.6554718,972209,0.96875
1655361478.832736,982209,0.96875
1655361651.9122508,992212,0.96875
