Wall time,Step,Value
1655394557.9327347,52,0.0
1655394843.502569,10083,0.03125
1655395123.3505752,20103,0.0
1655395417.565329,30113,0.625
1655395719.0584795,40151,0.25
1655395987.873621,50234,0.15625
1655396234.0116975,60367,0.28125
1655396498.6753974,70487,0.4375
1655396763.581912,80507,0.65625
1655397041.0297754,90531,0.375
1655397328.418169,100538,0.59375
1655397626.5208485,110643,0.5625
1655397914.9019969,120745,0.84375
1655398226.3077796,130802,0.625
1655398549.2899938,140805,0.71875
1655398879.2818286,150823,0.71875
1655399207.1019096,160825,0.625
1655399535.283088,170855,0.9375
1655399856.719704,181014,0.84375
1655400186.869578,191027,0.78125
1655400529.5941277,201030,1.0
1655400881.6011963,211062,0.96875
1655401217.145037,221064,0.8125
1655401553.6706932,231079,0.5625
1655401895.2309637,241127,0.84375
1655402228.7002103,251145,0.8125
1655402570.4648147,261208,0.8125
1655402918.1888704,271244,0.90625
1655403250.7987943,281292,0.96875
1655403588.693619,291299,0.96875
1655403926.6138282,301312,0.96875
1655404253.8106778,311348,0.90625
1655404601.316425,321350,0.875
1655404942.7695622,331365,0.96875
1655405264.6281183,341420,0.9375
1655405570.1327455,351459,0.90625
1655405882.7073226,361517,0.9375
1655406188.7224536,371518,0.9375
1655406499.3260417,381549,0.84375
1655406782.3583155,391555,0.75
1655407077.0490549,401596,0.75
1655407377.6740804,411610,0.96875
1655407678.7156525,421636,0.84375
1655407984.4026132,431636,0.96875
1655408294.881339,441642,0.96875
1655408597.8785093,451670,0.90625
1655408895.3089776,461694,1.0
1655409209.9906123,471736,0.90625
1655409514.0817363,481775,1.0
1655409824.1225991,491820,0.9375
1655410130.1825078,501867,1.0
1655410429.361888,511869,0.875
1655410726.8354676,521878,0.9375
1655411031.6838202,531921,0.9375
1655411327.1879938,541947,0.9375
1655411635.3504148,551988,0.96875
1655411914.3920414,562001,0.9375
1655412195.4458551,572021,1.0
1655412494.368466,582051,1.0
1655412799.0974343,592077,1.0
1655413102.0069816,602086,1.0
1655413404.834136,612095,1.0
1655413704.6662042,622098,0.90625
1655414007.1652708,632191,1.0
1655414305.263888,642201,0.9375
1655414618.0627909,652239,1.0
1655414928.787944,662252,0.9375
1655415226.9769046,672262,1.0
1655415542.8943994,682284,1.0
1655415853.1845362,692303,1.0
1655416168.5648658,702312,1.0
1655416477.522413,712347,1.0
1655416798.6601067,722369,0.84375
1655417110.8991318,732381,1.0
1655417419.0624125,742419,1.0
1655417721.6427414,752442,0.9375
1655418026.8821855,762450,0.9375
1655418334.623839,772451,1.0
1655418640.2907755,782488,1.0
1655418940.985923,792524,0.96875
1655419249.89922,802565,1.0
1655419572.2739985,812599,1.0
1655419874.6693795,822661,1.0
1655420164.174979,832684,0.90625
1655420455.9372854,842780,0.90625
1655420753.9927218,852788,0.9375
1655421071.2805483,862823,1.0
1655421385.6700397,872861,1.0
1655421699.6170237,882864,1.0
1655422016.3953648,892900,1.0
1655422341.6214309,902935,1.0
1655422660.6402788,912948,1.0
1655422979.4580002,922953,1.0
1655423295.86807,932988,1.0
1655423614.5849843,942995,0.96875
1655423943.4220767,953007,1.0
1655424270.092452,963015,1.0
1655424584.6502168,973030,1.0
1655424906.4059224,983042,0.96875
1655425222.0995195,993053,0.96875
