Wall time,Step,Value
1655302613.259572,60,0.0
1655302752.1195142,10060,0.0
1655302890.230715,20097,0.09375
1655303033.9535186,30133,0.25
1655303173.8511786,40145,0.09375
1655303311.7137728,50154,0.125
1655303455.3984745,60185,0.09375
1655303593.785655,70236,0.0
1655303736.806145,80270,0.0
1655303879.6989622,90276,0.09375
1655304019.8242948,100308,0.0
1655304164.303937,110342,0.84375
1655304301.525153,120394,0.0
1655304434.5702581,130415,0.9375
1655304574.1782112,140456,0.8125
1655304716.0692034,150493,0.875
1655304855.9823754,160503,0.15625
1655305002.2085283,170513,0.40625
1655305139.6705534,180514,0.1875
1655305281.8271656,190578,0.875
1655305416.615655,200613,0.9375
1655305552.8134553,210654,0.9375
1655305686.1521697,220686,0.96875
1655305827.2799895,230688,0.34375
1655305966.0067475,240731,0.96875
1655306103.612784,250738,0.78125
1655306242.1825795,260747,0.96875
1655306379.27775,270818,0.9375
1655306521.1664875,280840,0.9375
1655306655.8761654,290868,1.0
1655306794.9667156,300869,0.9375
1655306933.5431967,310913,1.0
1655307073.7290823,320934,0.96875
1655307212.111527,330947,0.9375
1655307358.527283,340959,0.9375
1655307498.1352057,350978,0.9375
1655307637.0024655,361018,0.75
1655307774.5214343,371068,0.90625
1655307913.6029682,381100,0.9375
1655308054.3401303,391124,1.0
1655308204.3254156,401139,1.0
1655308342.687137,411192,1.0
1655308482.416979,421192,1.0
1655308618.2885432,431219,1.0
1655308757.6383271,441228,1.0
1655308907.6691833,451235,0.96875
1655309045.9174082,461269,1.0
1655309180.7195299,471314,1.0
1655309320.6007977,481324,1.0
1655309461.2300243,491357,1.0
1655309600.0217848,501364,1.0
1655309751.248591,511374,1.0
1655309884.8686562,521400,1.0
1655310020.916388,531417,1.0
1655310159.5887694,541445,1.0
1655310298.4551198,551490,0.96875
1655310431.4573145,561498,0.90625
1655310577.259278,571544,1.0
1655310718.4676876,581573,1.0
1655310857.3151963,591605,1.0
1655310995.9802039,601621,1.0
1655311136.8639772,611628,0.9375
1655311285.3088498,621655,1.0
1655311427.9836314,631694,1.0
1655311570.9412076,641723,1.0
1655311718.0316062,651759,1.0
1655311860.6830711,661784,1.0
1655312004.0431886,671817,1.0
1655312153.1788697,681829,1.0
1655312292.2270386,691871,1.0
1655312439.6433723,701887,1.0
1655312583.457864,711903,1.0
1655312727.4263785,721917,1.0
1655312868.3771813,731920,1.0
1655313021.4806054,741962,1.0
1655313162.3870645,751991,1.0
1655313299.2858417,762027,1.0
1655313436.6825504,772045,0.96875
1655313577.7541468,782085,1.0
1655313723.8170521,792129,0.96875
1655313872.5345252,802130,1.0
1655314009.6391737,812136,1.0
1655314148.990855,822136,1.0
1655314290.9789755,832169,1.0
1655314430.9478824,842209,1.0
1655314577.1184213,852239,1.0
1655314714.524874,862258,1.0
1655314855.7806666,872301,1.0
1655314995.4557848,882303,1.0
1655315134.866464,892328,1.0
1655315273.518993,902370,0.96875
1655315421.3660784,912392,1.0
1655315560.3698342,922423,1.0
1655315703.3466332,932434,1.0
1655315843.707221,942444,1.0
1655315982.0176148,952463,1.0
1655316123.8011045,962496,1.0
1655316270.6538231,972538,1.0
1655316414.3628674,982561,1.0
1655316550.5648496,992598,1.0
