Wall time,Step,Value
1655363856.5000162,55,0.0
1655363984.685488,10326,0.0
1655364127.6571064,20346,0.0
1655364275.2135692,30546,0.0
1655364429.599358,40597,0.0
1655364584.5118024,50797,0.0
1655364725.6286397,60921,0.0
1655364867.0003066,71135,0.0
1655365000.925149,81348,0.0
1655365143.4934459,91475,0.0
1655365288.0530133,101675,0.0
1655365426.1518726,111877,0.0
1655365628.7630143,121903,0.0
1655365796.9505794,131996,0.0
1655365987.5210297,142031,0.0
1655366219.075813,152073,0.09375
1655366443.115781,162088,0.125
1655366670.8591495,172118,0.53125
1655366899.6393497,182158,0.0
1655367116.7305663,192176,0.0
1655367333.7744298,202182,0.03125
1655367553.1891422,212224,0.0
1655367770.5094554,222236,0.0
1655367989.9987695,232236,0.0
1655368206.0667274,242237,0.0
1655368433.7444832,252272,0.0
1655368660.3334453,262307,0.0625
1655368889.7288296,272326,0.625
1655369111.1201487,282351,0.5625
1655369337.292123,292386,0.40625
1655369557.797012,302405,0.40625
1655369768.7146485,312434,0.4375
1655369988.4036806,322446,0.875
1655370201.4808545,332486,0.0625
1655370376.6780436,342500,0.0
1655370500.804436,352532,0.0
1655370619.512577,362574,0.0
1655370732.7925308,372595,0.03125
1655370851.0440998,382600,0.65625
1655370966.8854005,392637,0.21875
1655371080.2433963,402656,0.3125
1655371197.3792322,412658,0.0
1655371314.041053,422675,0.0
1655371432.198828,432694,0.1875
1655371555.326407,442696,0.53125
1655371671.8878698,452731,0.0
1655371788.8042865,462751,0.03125
1655371905.2168903,472759,0.0
1655372025.4022794,482759,0.0
1655372147.7641132,492787,0.0
1655372263.7636142,502808,0.3125
1655372377.7044516,512849,0.0625
1655372489.3161995,522866,0.0
1655372596.9090626,532908,0.34375
1655372712.4474697,542948,0.34375
1655372833.9189565,552993,0.3125
1655372950.2604778,563035,0.5
1655373066.375357,573051,0.59375
1655373181.974948,583062,0.0625
1655373299.3737688,593106,0.40625
1655373416.766395,603126,0.59375
1655373540.3572323,613136,0.4375
1655373655.9364073,623149,0.0
1655373776.1597965,633162,0.28125
1655373895.5862188,643185,0.09375
1655374015.4420896,653201,0.0
1655374137.8102643,663220,0.40625
1655374257.3734484,673247,0.46875
1655374375.4641073,683254,0.15625
1655374492.3320694,693276,0.5625
1655374613.021355,703288,0.625
1655374726.130971,713315,0.25
1655374849.6394367,723342,0.59375
1655374963.9814363,733370,0.4375
1655375082.3069458,743398,0.4375
1655375200.7583735,753430,0.46875
1655375319.659345,763439,0.5
1655375438.587431,773445,0.78125
1655375565.69274,783457,0.0
1655375683.5897212,793460,0.5
1655375806.0699587,803493,0.375
1655375924.08358,813519,0.28125
1655376043.7275765,823556,0.46875
1655376165.27193,833560,0.6875
1655376291.3706193,843573,0.78125
1655376413.11183,853599,0.84375
1655376534.1076717,863618,0.90625
1655376659.4869542,873624,0.875
1655376783.1801898,883624,0.96875
1655376913.0626297,893647,1.0
1655377033.4202693,903668,0.9375
1655377155.0079668,913681,0.96875
1655377277.1676393,923709,0.90625
1655377399.822847,933720,0.6875
1655377519.5468373,943744,1.0
1655377648.8960505,953752,0.875
1655377772.8935542,963796,0.96875
1655377892.2090163,973825,1.0
1655378010.1776884,983832,0.96875
1655378126.374118,993846,1.0
