Wall time,Step,Value
1654917726.8123472,38,0.0
1654918002.7285912,10058,0.0
1654918279.776847,20079,0.0
1654918552.0419965,30085,0.0
1654918826.3888772,40089,0.0
1654919097.9294028,50118,0.0
1654919383.0364468,60152,0.0
1654919649.003937,70186,0.0
1654919914.2655876,80198,0.0
1654920179.2238157,90209,0.0
1654920449.5052924,100222,0.0
1654920721.3214512,110230,0.0
1654920999.096846,120239,0.0
1654921267.7835674,130240,0.0
1654921537.2195687,140273,0.0
1654921800.8073914,150297,0.0
1654922066.1363373,160313,0.0
1654922336.0969634,170351,0.0
1654922616.3833237,180391,0.0
1654922857.4234757,190430,0.0
1654923126.0762312,200435,0.0
1654923407.331068,210462,0.0
1654923683.7241814,220465,0.0
1654923961.7394075,230469,0.0
1654924242.698946,240501,0.0
1654924513.43847,250531,0.0
1654924802.9630172,260566,0.0
1654925097.991085,270576,0.0
1654925387.5260239,280611,0.0
1654925687.8805876,290631,0.0
1654925968.490983,300674,0.0
1654926261.3008907,310712,0.0
1654926549.1261475,320722,0.0
1654926833.373338,330732,0.0
1654927124.7270882,340774,0.0
1654927411.644057,350805,0.0
1654927684.0587091,360833,0.0
1654927951.1509674,370874,0.0
1654928221.3123326,380874,0.0
1654928494.3542485,390883,0.0
1654928763.2365372,400895,0.0
1654929022.03681,410905,0.0
1654929260.293161,420959,0.0625
1654929476.9113574,430981,0.0625
1654929726.9168103,441039,0.03125
1654930006.1327348,451066,0.03125
1654930273.1178782,461122,0.03125
1654930513.9739285,471168,0.03125
1654930760.5912352,481355,0.03125
1654931020.3207169,491386,0.0
1654931308.6752422,501410,0.0625
1654931572.4992912,511444,0.0
1654931860.1254346,521479,0.03125
1654932134.650441,531481,0.0
1654932403.5441287,541597,0.0
1654932701.889486,551605,0.0
1654932985.0951147,561623,0.0
1654933301.0963979,571669,0.0625
1654933571.9311767,582023,0.65625
1654933793.4147854,592040,0.59375
1654934044.6528187,602350,0.625
1654934296.7393384,612368,0.6875
1654934560.8586416,622372,0.625
1654934818.8605556,632402,0.71875
1654935090.058848,642451,0.65625
1654935364.909404,652486,0.65625
1654935652.8543708,662497,0.75
1654935933.7105112,672519,0.53125
1654936209.5151052,682532,0.84375
1654936490.0626671,692577,0.84375
1654936755.0280557,702601,0.8125
1654937016.2832487,712654,0.84375
1654937289.8409708,722665,0.6875
1654937551.7278068,732718,0.75
1654937825.2440805,742739,0.84375
1654938122.0111923,752789,0.96875
1654938384.2242413,762826,0.96875
1654938680.8864057,772827,0.75
1654938986.0123491,782881,0.8125
1654939276.194902,792905,0.96875
1654939568.7109256,802929,0.875
1654939866.584501,812933,0.65625
1654940146.6266034,823220,0.84375
1654940427.9321053,833253,0.625
1654940719.1271822,843497,0.84375
1654940988.3970313,853550,0.65625
1654941273.9921556,863566,0.875
1654941556.7278647,873622,0.75
1654941823.1300511,883626,0.875
1654942096.2260933,893667,0.90625
1654942377.9275484,903686,0.9375
1654942655.8405757,913720,0.875
1654942918.9436505,923734,0.9375
1654943203.3589582,933748,0.75
1654943485.55801,943754,0.84375
1654943752.734306,953788,0.78125
1654944022.0669134,963815,0.96875
1654944297.23425,973828,0.90625
1654944555.7735796,983880,0.875
1654944830.193643,993895,0.84375
1654945088.956988,1004118,0.90625
1654945353.4268584,1014131,0.9375
1654945611.5802624,1024166,0.875
1654945880.4888475,1034175,0.875
1654946131.571381,1044220,1.0
1654946391.991949,1054242,0.90625
1654946660.3290188,1064261,0.875
1654946915.0408106,1074264,0.90625
1654947173.4240713,1084325,0.90625
1654947426.6157007,1094339,0.9375
1654947670.570098,1104345,0.96875
1654947932.0546415,1114362,0.96875
1654948189.3085985,1124405,0.9375
1654948434.8364995,1134413,0.9375
1654948684.225517,1144454,1.0
1654948931.9104784,1154484,1.0
1654949189.7439404,1164530,0.9375
1654949433.1549933,1174561,0.875
1654949695.377077,1184574,1.0
1654949946.3961308,1194621,0.9375
1654950182.255996,1204632,1.0
1654950433.3596604,1214652,0.875
1654950676.1475604,1224661,0.96875
1654950930.322011,1234679,0.96875
1654951181.0049624,1244694,0.9375
1654951440.5125015,1254738,1.0
1654951673.9940348,1264738,1.0
1654951924.554884,1274765,1.0
1654952179.8504593,1284804,0.96875
1654952427.3656092,1294831,0.96875
1654952677.7449641,1304887,1.0
1654952926.6881986,1314928,1.0
1654953173.5823689,1324960,1.0
1654953422.4893386,1334999,1.0
1654953686.850174,1345009,1.0
1654953920.8708432,1355033,1.0
1654954169.7038777,1365086,0.96875
1654954419.362139,1375106,1.0
1654954676.4281301,1385123,0.96875
1654954914.0183008,1395127,0.96875
1654955172.1472719,1405129,0.96875
1654955423.4392984,1415154,1.0
1654955675.0121472,1425188,1.0
1654955903.4137056,1435224,1.0
1654956156.0497975,1445271,0.96875
1654956408.1913896,1455306,0.9375
1654956661.607528,1465343,1.0
1654956924.2691607,1475348,0.875
1654957158.7970235,1485384,0.96875
1654957402.1106303,1495400,1.0
