Wall time,Step,Value
1655000568.1651833,46,0.0
1655000743.6157784,10180,0.0
1655000907.3173776,20206,0.0
1655001086.26315,30231,0.0
1655001253.2175703,40232,0.0
1655001415.2810237,50242,0.0
1655001561.6735258,60260,0.0
1655001703.1412535,70267,0.0
1655001837.2237113,80284,0.0
1655001967.6249187,90292,0.0
1655002099.4537077,100298,0.0
1655002229.1913803,110325,0.0
1655002349.6241603,120349,0.0
1655002469.3541887,130375,0.0
1655002581.5926623,140388,0.0
1655002706.43867,150406,0.0
1655002822.5936618,160426,0.0
1655002943.3814275,170439,0.0
1655003049.0280685,180469,0.0
1655003149.7551196,190488,0.0
1655003305.8542929,200488,0.0
1655003410.8586035,210513,0.0
1655003533.8824449,220523,0.0
1655003677.5798535,230541,0.0
1655003811.4120283,240561,0.0
1655003944.4628243,250578,0.0
1655004078.207219,260607,0.0
1655004238.4678433,270625,0.0
1655004401.8587565,280625,0.0
1655004559.9372337,290635,0.0
1655004717.2990522,300657,0.0
1655004865.0509014,310679,0.0
1655005019.7748137,320923,0.0
1655005177.288614,330929,0.0
1655005324.9385133,340974,0.0
1655005476.9575746,350988,0.0
1655005624.188728,360990,0.0
1655005774.2777202,371037,0.0
1655005925.067642,381081,0.0
1655006086.795489,391278,0.0
1655006228.7162876,401459,0.0
1655006374.8933678,411703,0.0
1655006535.2953434,421735,0.0
1655006690.4462605,431757,0.0
1655006863.5928433,441826,0.0
1655007017.9969003,451834,0.0
1655007171.1908455,461890,0.0
1655007313.0682256,471904,0.0
1655007453.9258733,481924,0.0
1655007604.991053,492090,0.0
1655007735.2759678,502142,0.0
1655007859.7094395,512152,0.0
1655008009.8718307,522208,0.0
1655008149.033025,532397,0.0
1655008279.7467268,542479,0.0
1655008415.8444157,552518,0.0
1655008557.345003,562534,0.0
1655008692.5483732,572599,0.0
1655008834.8478978,582711,0.0
1655008991.6733499,592785,0.0
1655009126.0742128,602792,0.0
1655009279.519132,613022,0.0
1655009414.305632,623075,0.0
1655009573.9618793,633182,0.0
1655009726.874281,643303,0.0
1655009871.189091,653328,0.0
1655010009.763953,663391,0.0
1655010151.166205,673627,0.0
1655010294.341858,683691,0.0
1655010450.4339032,693695,0.0
1655010599.6218312,703889,0.0
1655010742.675975,713896,0.0
1655010887.8276637,723992,0.0
1655011048.8498144,734029,0.0
1655011195.815188,744067,0.0
1655011333.7608228,754214,0.0
1655011465.0447369,764238,0.0
1655011625.2705312,774266,0.0
1655011778.0763638,784342,0.0
1655011939.6182826,794529,0.0
1655012082.824701,804617,0.0
1655012236.9680724,814653,0.0
1655012382.4854445,824694,0.0
1655012526.235037,834729,0.0
1655012670.1125755,844766,0.0
1655012822.8553772,854839,0.0
1655012973.878472,864858,0.0
1655013132.9137049,874864,0.0
1655013283.8654115,884996,0.0
1655013430.714274,895138,0.0
1655013582.096105,905175,0.0
1655013745.460378,915205,0.0
1655013895.2654934,925241,0.0
1655014057.6747084,935353,0.0
1655014219.5532315,945408,0.0
1655014365.199284,955485,0.0
1655014524.5466871,965628,0.0
1655014680.653294,975698,0.0
1655014831.402115,985727,0.0
1655014983.4185338,995941,0.0
1655015142.6073306,1006132,0.0
1655015300.7105932,1016153,0.0
1655015459.6978462,1026356,0.0625
1655015625.5849485,1036513,0.03125
1655015794.6657033,1046693,0.0
1655015951.0068517,1056730,0.0625
1655016114.510896,1066909,0.0625
1655016271.5872598,1077036,0.125
1655016437.7954822,1087189,0.0
1655016598.9172626,1097229,0.0
1655016765.147299,1107476,0.0625
1655016933.1149955,1117501,0.0625
1655017093.2011037,1127634,0.0625
1655017252.1975493,1137782,0.0
1655017408.7068744,1147809,0.0625
1655017573.4063673,1157897,0.0
1655017732.5284667,1168059,0.09375
1655017886.371528,1178299,0.0
1655018048.1168065,1188377,0.0
1655018212.420122,1198598,0.0625
1655018361.8707197,1208683,0.03125
1655018518.800195,1218709,0.0625
1655018682.474487,1228901,0.0625
1655018845.891584,1238988,0.15625
1655019001.0732253,1249155,0.15625
1655019159.2318537,1259236,0.125
1655019311.8008447,1269272,0.0625
1655019471.8539245,1279295,0.03125
1655019629.9385827,1289361,0.1875
1655019788.7570968,1299458,0.125
1655019936.536125,1309566,0.0625
1655020103.667956,1319705,0.1875
1655020256.925699,1329807,0.21875
1655020409.7855268,1339981,0.03125
1655020563.859004,1350141,0.34375
1655020728.5655282,1360148,0.1875
1655020887.2532842,1370276,0.28125
1655021039.6574903,1380369,0.28125
1655021193.3576045,1390400,0.34375
1655021354.475148,1400407,0.40625
1655021503.4760587,1410488,0.375
1655021653.5749524,1420516,0.53125
1655021814.2679818,1430639,0.5
1655021973.2652907,1440663,0.375
1655022118.03734,1450743,0.3125
1655022275.8159826,1460959,0.34375
1655022429.2507179,1471155,0.25
1655022587.6799238,1481346,0.21875
1655022734.8192053,1491440,0.15625
1655022879.0171163,1501501,0.21875
1655023028.794105,1511557,0.15625
1655023188.9475305,1521619,0.125
1655023342.4765697,1531652,0.3125
1655023495.451923,1541681,0.21875
1655023642.5811248,1551743,0.375
1655023804.8135684,1561759,0.28125
1655023959.8936853,1571879,0.4375
1655024106.5087519,1581924,0.1875
1655024265.8012996,1591990,0.3125
1655024428.4142253,1602165,0.375
1655024582.9587765,1612333,0.40625
1655024735.0653183,1622397,0.46875
1655024889.6281974,1632561,0.25
1655025049.415221,1642806,0.125
1655025193.1896775,1652926,0.21875
1655025340.8012016,1663171,0.15625
1655025490.9986367,1673400,0.125
1655025648.3260071,1683475,0.09375
1655025798.1737497,1693653,0.15625
