Wall time,Step,Value
1655173019.5724704,24,0.9375
1655173343.0484748,10037,0.5625
1655173684.3433852,20041,0.34375
1655174007.358904,30046,0.0
1655174242.9548655,40069,0.78125
1655174510.4353995,50158,0.5
1655174767.8485615,60339,0.25
1655174970.6902006,70479,0.15625
1655175183.213093,80514,0.3125
1655175376.0970733,90705,0.15625
1655175562.608981,100719,0.71875
1655175772.077403,110849,0.75
1655175990.1432898,121000,0.3125
1655176217.5564897,131010,0.0625
1655176422.091196,141119,0.09375
1655176636.4317517,151157,0.1875
1655176841.1257253,161344,0.09375
1655177046.8369982,171493,0.03125
1655177256.6868372,181652,0.03125
1655177462.2663438,191787,0.125
1655177653.1361747,201917,0.3125
1655177859.4317749,212103,0.0625
1655178074.9974635,222148,0.0
1655178282.6186588,232215,0.03125
1655178487.790903,242311,0.1875
1655178692.71208,252488,0.09375
1655178880.3778942,262504,0.375
1655179071.2687068,272563,0.25
1655179286.24249,282705,0.0
1655179484.3703585,292819,0.09375
1655179681.5579317,302833,0.125
1655179891.2448962,312890,0.0
1655180106.8672056,322890,0.0
1655180312.618336,333046,0.0
1655180527.0021524,343168,0.03125
1655180734.1673136,353226,0.0625
1655180944.3226733,363236,0.09375
1655181162.3207488,373238,0.0625
1655181347.1047137,383268,0.3125
1655181572.2099895,393287,0.0
1655181783.391071,403457,0.28125
1655181999.5141642,413637,0.0625
1655182210.8214457,423743,0.09375
1655182422.0000076,433846,0.0
1655182651.7507834,443914,0.0
1655182876.7212489,453963,0.0
1655183109.8017645,464140,0.0
1655183330.286159,474224,0.03125
1655183560.5237968,484410,0.03125
1655183760.140389,494590,0.34375
1655183974.788746,504668,0.09375
1655184193.3672612,514799,0.0625
1655184422.7145445,524818,0.09375
1655184637.300732,534899,0.15625
1655184859.3433702,545025,0.0625
1655185073.98537,555028,0.09375
1655185311.7700357,565161,0.03125
1655185525.8137085,575253,0.1875
1655185741.6539497,585262,0.125
1655185968.3677459,595311,0.125
1655186183.2993097,605474,0.0625
1655186414.9709132,615666,0.0
1655186644.6709852,625672,0.03125
1655186871.1259322,635823,0.03125
1655187108.3506224,645961,0.0
1655187354.30492,656021,0.0
1655187599.322509,666106,0.0
1655187819.9415932,676119,0.09375
1655188070.5040474,686167,0.0
1655188298.5706773,696174,0.03125
1655188548.5151289,706303,0.03125
1655188758.4175267,716392,0.46875
1655188987.9610438,726494,0.0
1655189212.9813073,736578,0.125
1655189419.778545,746642,0.40625
1655189649.4653513,756662,0.0625
1655189889.5337887,766800,0.03125
1655190153.804331,776808,0.0
1655190378.3961961,786928,0.0625
1655190610.7628703,796945,0.0625
1655190853.4937782,806999,0.0625
1655191111.9987175,817070,0.0
1655191345.8071148,827203,0.03125
1655191574.0149536,837320,0.09375
1655191790.897311,847334,0.09375
1655192017.361221,857371,0.15625
1655192241.9567654,867529,0.0625
1655192475.637398,877672,0.0625
1655192711.0377355,887864,0.0
1655192967.4775476,897953,0.0
1655193207.2404015,908066,0.0
1655193454.996405,918254,0.03125
1655193684.021574,928298,0.0625
1655193924.2773495,938471,0.0
1655194146.0117686,948492,0.0625
1655194378.7705507,958687,0.0
1655194604.3208265,968739,0.03125
1655194818.3256466,978754,0.125
1655195025.7772043,988794,0.375
1655195255.2238572,998935,0.0
1655195501.4241335,1008972,0.25
1655195767.2147033,1019017,0.1875
1655196056.4542165,1029025,0.09375
1655196350.760397,1039190,0.0
1655196627.5757918,1049365,0.09375
1655196899.001442,1059414,0.125
1655197156.617881,1069438,0.15625
1655197409.8487146,1079570,0.125
1655197701.6979835,1089644,0.03125
1655197991.290535,1099834,0.03125
1655198282.6494758,1109965,0.0
1655198582.816644,1119994,0.09375
1655198878.3514366,1130159,0.09375
1655199164.73643,1140200,0.0625
1655199434.3706217,1150333,0.09375
1655199720.3303819,1160483,0.15625
1655200010.2794101,1170596,0.0625
1655200266.835333,1180677,0.25
1655200535.752692,1190765,0.125
1655200799.4943488,1200814,0.15625
1655201048.9745998,1210932,0.125
1655201321.1392899,1221093,0.0625
1655201577.0950897,1231184,0.15625
1655201849.3763943,1241251,0.46875
1655202125.9378753,1251257,0.5
1655202396.709925,1261405,0.875
1655202686.279475,1271450,0.71875
1655202971.6456552,1281513,0.5
1655203256.6709373,1291616,0.125
1655203524.9235928,1301789,0.59375
1655203812.961977,1311854,0.0625
1655204101.8636794,1321986,0.125
1655204399.9018724,1332057,0.0
1655204660.3957543,1342119,0.3125
1655204936.7901864,1352188,0.125
1655205200.3959622,1362277,0.0
1655205476.2255445,1372311,0.3125
1655205778.6986856,1382406,0.03125
1655206048.214171,1392452,0.25
1655206325.0330992,1402599,0.15625
1655206619.4036772,1412658,0.1875
1655206878.9174352,1422691,0.46875
1655207189.8546011,1432746,0.65625
1655207493.3833864,1442841,0.21875
1655207785.4141626,1452844,0.75
1655208075.3608282,1462882,0.1875
1655208360.9986985,1472897,0.15625
1655208639.952659,1482966,0.71875
1655208945.7864065,1492991,0.71875
1655209273.135834,1503137,0.65625
1655209616.64832,1513177,0.65625
1655209967.2955844,1523331,0.625
1655210307.3219113,1533469,0.53125
1655210639.0214112,1543541,0.59375
1655210957.617126,1553674,0.59375
1655211379.3981407,1563716,0.125
1655211730.8630137,1573832,0.46875
1655212114.5318427,1583839,0.3125
1655212538.3993526,1593884,0.0
1655212884.0716298,1603978,0.1875
1655213261.7829835,1614028,0.03125
1655213635.2974732,1624054,0.0625
1655213924.422243,1634058,0.5625
1655214205.4282615,1644060,0.46875
1655214502.235381,1654229,0.5625
1655214767.1069553,1664420,0.6875
1655215042.2994478,1674431,0.21875
1655215311.338182,1684520,0.46875
1655215599.606473,1694608,0.46875
1655215884.5325606,1704735,0.53125
1655216178.5024333,1714850,0.3125
1655216438.0567768,1724867,0.59375
1655216696.4899929,1734911,0.65625
1655216953.009961,1744976,0.8125
1655217214.6173005,1755143,0.625
1655217449.5771313,1765192,0.75
1655217720.0817928,1775330,0.40625
1655217945.2769597,1785436,0.8125
1655218202.8457072,1795497,0.78125
1655218448.4360743,1805516,0.46875
1655218715.577441,1815528,0.28125
1655218952.55839,1825673,0.71875
1655219201.5968957,1835676,0.78125
1655219471.5909977,1845701,0.34375
1655219709.2047203,1855750,0.71875
1655219943.8237257,1865819,0.6875
1655220208.9851468,1875866,0.5
1655220474.635677,1886021,0.59375
1655220733.209972,1896022,0.78125
1655220972.9848142,1906050,0.5625
1655221241.3252084,1916200,0.21875
1655221479.3833196,1926212,0.6875
1655221742.3760154,1936289,0.59375
1655222017.18619,1946424,0.5625
1655222271.7564301,1956503,0.625
1655222557.2355537,1966599,0.4375
1655222826.142511,1976655,0.28125
1655223114.6143312,1986665,0.5
1655223393.7451842,1996753,0.71875
