Wall time,Step,Value
1653031479.64004,25,0.0
1653031748.2989964,10037,0.0
1653032047.8647945,20049,0.0
1653032350.1361754,30057,0.0
1653032691.177268,40064,0.0
1653033046.2807903,50087,0.0
1653033289.6688926,60097,0.0
1653033554.5017939,70101,0.0
1653033851.408411,80103,0.0
1653034139.0193734,90104,0.0
1653034432.3820915,100108,0.0
1653034728.244778,110108,0.0
1653035016.0888038,120117,0.0
1653035297.7385738,130137,0.0
1653035563.4748497,140138,0.0
1653035823.5779085,150139,0.0
1653036089.9557207,160148,0.0
1653036330.692328,170170,0.03125
1653036587.3532593,180185,0.0
1653036842.7221622,190198,0.0
1653037060.018738,200208,0.0
1653037318.1348941,210214,0.0
1653037568.2923484,220230,0.03125
1653037808.2891319,230232,0.0
1653038064.7414603,240244,0.09375
1653038329.7445998,250244,0.25
1653038570.4007795,260268,0.0625
1653038797.7100115,270287,0.1875
1653039053.2546496,280295,0.125
1653039287.2630277,290305,0.125
1653039564.2054565,300325,0.09375
1653039812.8320906,310344,0.15625
1653040076.263458,320344,0.1875
1653040310.0625799,330356,0.21875
1653040569.1574442,340364,0.28125
1653040823.8105886,350376,0.34375
1653041084.4663723,360393,0.3125
1653041344.224377,370410,0.28125
1653041616.6022387,380415,0.40625
1653041876.192985,390415,0.40625
1653042129.1940475,400430,0.375
1653042396.8731227,410446,0.59375
1653042663.0506594,420458,0.65625
1653042929.9797075,430470,0.375
1653043188.6141117,440493,0.625
1653043453.285294,450512,0.59375
1653043716.4490166,460534,0.71875
1653043959.5383608,470563,0.71875
1653044219.368511,480570,0.75
1653044474.6788187,490587,0.625
1653044731.0426676,500606,0.65625
1653044964.9770546,510612,0.71875
1653045214.070283,520638,0.75
1653045465.5880768,530658,0.71875
1653045728.7406557,540672,0.71875
1653045979.081947,550684,0.9375
1653046239.938937,560699,0.5
1653046500.2198312,570710,0.9375
1653046751.256976,580724,0.65625
1653047009.3419151,590737,0.8125
1653047286.9319494,600757,0.8125
1653047545.7648098,610767,0.6875
1653047798.761948,620770,0.8125
1653048064.0378253,630774,0.3125
1653048325.6426897,640787,0.65625
1653048587.4278824,650810,0.71875
1653048858.0904682,660837,0.6875
1653049128.5703015,670848,0.90625
1653049396.9254613,680866,0.6875
1653049662.554703,690866,0.75
1653049898.8678,700877,0.65625
1653050164.7805798,710894,0.78125
1653050437.2740116,720910,0.875
1653050689.6960402,730918,0.75
1653050940.6260283,740922,0.78125
1653051182.990769,750938,0.875
1653051444.6175897,760953,0.78125
1653051692.8582547,770961,0.90625
1653051937.1590931,780978,0.8125
1653052202.059001,790985,0.84375
1653052437.469911,800999,0.8125
1653052675.480999,811022,0.8125
1653052940.8899984,821032,0.90625
1653053190.558318,831054,0.875
1653053436.2945395,841058,0.84375
1653053697.958028,851072,0.84375
1653053950.137711,861089,0.8125
1653054199.469004,871104,0.875
1653054455.9161353,881116,0.84375
1653054722.7297173,891142,0.8125
1653054988.1283383,901148,0.75
1653055247.3000727,911169,0.875
1653055508.988785,921182,0.78125
1653055776.875165,931203,0.875
1653056041.0282812,941212,0.875
1653056291.4619498,951229,0.9375
1653056567.353192,961253,0.875
1653056814.7745125,971274,0.84375
1653057047.581192,981280,0.875
1653057304.2326581,991297,0.96875
1653057567.6066802,1001306,0.8125
1653057784.3502913,1011322,0.90625
1653058032.7645166,1021338,0.8125
1653058282.062406,1031358,0.84375
1653058503.1214993,1041370,0.84375
1653058768.3905635,1051385,0.875
1653059024.8114665,1061406,0.8125
1653059283.0200398,1071409,0.71875
1653059542.6612132,1081423,0.9375
1653059800.4034748,1091423,0.75
1653060056.4816425,1101445,0.9375
1653060322.495688,1111464,0.875
1653060576.279216,1121465,0.84375
1653060829.7227614,1131482,0.96875
1653061086.478959,1141488,1.0
1653061294.9421406,1151514,0.875
1653061559.933264,1161536,0.9375
1653061819.0736334,1171536,0.90625
1653062083.3887515,1181598,0.84375
1653062337.0473952,1191601,0.8125
1653062595.8346307,1201606,0.8125
1653062862.4583678,1211614,0.875
1653063106.89966,1221640,0.84375
1653063370.0063963,1231657,0.90625
1653063641.3291035,1241681,0.75
1653063909.3056617,1251692,0.875
1653064192.3691287,1261721,0.875
1653064461.3175325,1271723,0.875
1653064736.8943622,1281733,0.8125
1653065016.732026,1291747,0.9375
1653065281.5018902,1301752,0.875
1653065541.6991196,1311779,0.875
1653065822.295399,1321786,0.9375
1653066095.6373956,1331789,0.71875
1653066370.8065372,1341813,0.84375
1653066644.3904555,1351833,0.8125
1653066905.7879708,1361836,0.84375
1653067175.5707927,1371839,0.8125
1653067453.1199157,1381860,0.8125
1653067723.5564978,1391866,0.9375
1653067990.3385437,1401885,0.875
1653068254.928258,1411905,0.875
1653068507.4764764,1421912,0.96875
1653068761.5462956,1431915,0.84375
1653069045.5790954,1441933,0.9375
1653069305.9932053,1451941,0.96875
1653069571.9696825,1461951,0.9375
1653069838.1056254,1471968,0.90625
1653070114.5404887,1481980,0.90625
1653070376.670772,1491982,0.875
