Wall time,Step,Value
1654567067.1727128,33,0.0
1654567380.8408463,10050,0.0
1654567722.0692554,20061,0.0
1654568080.8298323,30080,0.0
1654568443.1597946,40087,0.0
1654568802.1459944,50091,0.0
1654569145.202186,60117,0.0
1654569485.8461065,70128,0.0
1654569806.546707,80136,0.0
1654570154.9520538,90136,0.0
1654570489.542121,100184,0.0
1654570839.9831786,110185,0.0
1654571178.5632634,120208,0.0
1654571519.8429873,130226,0.0
1654571841.2406595,140260,0.0
1654572133.9412365,150321,0.0
1654572486.8549383,160339,0.0
1654572839.508832,170364,0.0
1654573201.6225822,180365,0.0
1654573562.749303,190376,0.0
1654573914.2544014,200399,0.0
1654574284.9048843,210401,0.0
1654574663.5251904,220406,0.0
1654574992.4306726,230429,0.0
1654575311.9896374,240441,0.0
1654575626.0971787,250460,0.0
1654575906.6723578,260624,0.0
1654576189.4185236,270791,0.0
1654576477.301393,280802,0.0
1654576788.8843138,290817,0.0
1654577056.9292362,300871,0.0
1654577349.5570774,310896,0.0
1654577636.24093,321046,0.03125
1654577916.5473974,331151,0.0
1654578182.0916781,341152,0.0
1654578476.2552795,351177,0.0
1654578739.480548,361314,0.0
1654579034.9347186,371384,0.0
1654579290.432332,381427,0.0
1654579571.07756,391485,0.0
1654579834.7668788,401488,0.03125
1654580132.9480424,411515,0.0
1654580439.838083,421518,0.0
1654580740.132126,431521,0.0
1654581050.8918424,441575,0.0
1654581412.3823192,451659,0.03125
1654581741.7664006,461678,0.0
1654582080.0441527,471730,0.0
1654582455.356424,481748,0.0
1654582847.6114714,491778,0.0
1654583218.176878,501788,0.0625
1654583580.2393765,511788,0.0
1654583946.2854543,521814,0.0
1654584259.1964583,531956,0.0
1654584551.6366384,541970,0.0
1654584848.7336957,552077,0.0
1654585109.852753,562083,0.03125
1654585368.6507585,572093,0.0
1654585630.1749039,582094,0.03125
1654585864.1847048,592129,0.03125
1654586117.543316,602133,0.0
1654586360.9543219,612289,0.0
1654586641.4389687,622309,0.0
1654586936.8907292,632371,0.03125
1654587234.4128585,642389,0.0
1654587501.4013393,652432,0.0
1654587799.1373096,662441,0.0
1654588152.3060803,672461,0.0
1654588471.052173,682497,0.0625
1654588860.3774898,692504,0.03125
1654589210.5275187,702511,0.0625
1654589547.4190726,712522,0.21875
1654589882.4406416,722569,0.125
1654590246.8564184,732582,0.0625
1654590598.356541,742708,0.0625
1654590962.8844798,752727,0.0625
1654591353.122631,762759,0.03125
1654591735.0955522,772787,0.0625
1654592106.3074963,782813,0.1875
1654592478.0036228,792827,0.0625
1654592856.1704965,802848,0.09375
1654593257.5171943,812858,0.15625
1654593645.029356,822868,0.125
1654594022.488435,832894,0.1875
1654594407.3318117,842897,0.125
1654594782.0378177,852911,0.125
1654595155.306241,862919,0.3125
1654595535.9825313,872953,0.15625
1654595907.0377016,882968,0.28125
1654596263.5231466,892977,0.125
1654596622.4826157,903006,0.34375
1654596961.1707633,913010,0.3125
1654597309.6726625,923047,0.375
1654597647.0920014,933063,0.25
1654597988.9584541,943069,0.09375
1654598298.060736,953085,0.21875
1654598631.7358806,963089,0.21875
1654598976.001361,973120,0.125
1654599311.6727633,983126,0.28125
1654599655.070635,993139,0.3125
1654599971.152501,1003155,0.25
1654600291.6181333,1013183,0.15625
1654600620.5298731,1023210,0.125
1654600952.4972646,1033211,0.34375
1654601289.909332,1043239,0.28125
1654601618.0401485,1053250,0.5
1654601943.0189266,1063260,0.3125
1654602271.1537404,1073292,0.4375
1654602614.2392244,1083305,0.46875
1654602950.8143973,1093321,0.1875
1654603301.978903,1103351,0.34375
1654603653.9761937,1113368,0.34375
1654604001.1311529,1123377,0.28125
1654604356.4939754,1133402,0.53125
1654604692.8486524,1143418,0.40625
1654605010.0047786,1153443,0.3125
1654605346.009975,1163444,0.25
1654605685.13371,1173452,0.1875
1654606013.720524,1183475,0.28125
1654606355.7215111,1193495,0.1875
1654606681.8569005,1203512,0.28125
1654607011.1442115,1213516,0.40625
1654607356.05151,1223524,0.25
1654607703.3026707,1233542,0.4375
1654608045.8747852,1243562,0.59375
1654608374.702201,1253565,0.28125
1654608724.259225,1263593,0.59375
1654609066.484976,1273600,0.53125
1654609420.634914,1283633,0.40625
1654609752.5790906,1293646,0.5
1654610105.5405211,1303678,0.34375
1654610449.8651786,1313714,0.4375
1654610796.875975,1323731,0.625
1654611144.2782395,1333739,0.6875
1654611507.9916785,1343755,0.5
1654611858.8930526,1353761,0.71875
1654612210.7333386,1363800,0.625
1654612541.4336991,1373819,0.5625
1654612872.2406774,1383834,0.4375
1654613193.855078,1393838,0.59375
1654613552.6902974,1403863,0.625
1654613873.2033572,1413877,0.40625
1654614175.2040436,1423887,0.25
1654614513.9698927,1433894,0.5625
1654614835.059648,1443916,0.625
1654615178.1730964,1453944,0.5625
1654615498.2753754,1463955,0.375
1654615800.862293,1473960,0.53125
1654616127.713941,1483972,0.5
1654616448.2543967,1494004,0.53125
1654616772.055342,1504015,0.65625
1654617103.0389597,1514155,0.71875
1654617438.369563,1524177,0.8125
1654617786.84322,1534178,0.625
1654618144.9899607,1544191,0.75
1654618506.7363007,1554211,0.53125
1654618871.6539145,1564316,0.8125
1654619242.0929403,1574343,0.71875
1654619605.6679478,1584350,0.71875
1654619978.2399874,1594374,0.6875
1654620337.7315772,1604401,0.71875
1654620698.5561447,1614401,0.84375
1654621070.5174525,1624409,0.8125
1654621422.622964,1634422,0.5
1654621790.809067,1644437,0.65625
1654622144.9200444,1654437,0.46875
1654622506.495825,1664444,0.59375
1654622863.4095287,1674525,0.5625
1654623226.5606172,1684541,0.6875
1654623561.1583345,1694559,0.5625
1654623892.5632153,1704572,0.5625
1654624229.8925872,1714584,0.75
1654624559.0186157,1724608,0.71875
1654624906.8948545,1734638,0.5
1654625260.7659886,1744650,0.8125
1654625593.5987053,1754651,0.9375
1654625942.1955454,1764680,0.71875
1654626281.1499026,1774688,0.59375
1654626620.3924956,1784721,0.75
1654626967.0449123,1794736,0.75
1654627318.4122488,1804740,0.9375
1654627664.4890969,1814776,0.78125
1654628003.429305,1824810,0.71875
1654628348.1929429,1834832,0.78125
1654628685.2652235,1844855,0.875
1654629037.022956,1854876,0.78125
1654629380.4825342,1864983,0.75
1654629735.2845,1875009,0.8125
1654630076.4258096,1885011,0.78125
1654630413.8284194,1895041,0.59375
1654630791.4742134,1905077,0.65625
1654631217.065967,1915082,0.625
1654631594.4627833,1925090,0.5625
1654632026.5478628,1935105,0.6875
1654632434.7379444,1945131,0.75
1654632871.9277184,1955147,0.8125
1654633312.018537,1965152,0.6875
1654633721.1997597,1975170,0.875
1654634138.6610641,1985199,0.65625
1654634541.301785,1995230,0.46875
1654634968.3865638,2005234,0.625
1654635377.2311594,2015251,0.8125
1654635802.260006,2025252,0.875
1654636212.299449,2035287,0.9375
1654636627.1341128,2045304,0.84375
1654637030.7830913,2055308,0.75
1654637433.9208043,2065352,0.75
1654637853.9717913,2075390,0.9375
1654638261.6976101,2085407,0.96875
1654638647.0887103,2095437,0.75
1654639073.6317573,2105456,0.78125
1654639482.9098818,2115468,0.6875
1654639875.2096643,2125482,0.6875
1654640268.3445728,2135582,0.875
1654640676.3243597,2145687,0.71875
1654641084.5425203,2155716,0.75
1654641496.6783369,2165749,0.90625
1654641908.3097725,2175752,0.8125
1654642315.1927636,2185761,0.9375
1654642716.367864,2195779,0.84375
1654643128.6037512,2205784,0.875
1654643529.1318061,2215795,0.90625
1654643940.9787302,2225798,0.84375
1654644334.6769242,2235834,0.875
1654644748.135665,2245858,0.96875
1654645141.016661,2255884,0.8125
1654645566.8917928,2265897,0.84375
1654645971.1646905,2275908,0.90625
1654646361.2571,2285919,0.90625
1654646779.2596822,2295945,0.75
1654647165.7705095,2305966,0.9375
1654647582.2579165,2315995,0.75
1654647991.7625365,2326012,0.875
1654648382.6173775,2336037,0.875
1654648794.3039887,2346076,0.90625
1654649178.9542584,2356096,0.8125
1654649591.4000177,2366112,0.90625
1654649987.7715662,2376148,1.0
1654650424.609806,2386149,0.96875
1654650815.8844988,2396152,0.9375
1654651232.940035,2406176,0.96875
1654651636.155093,2416196,1.0
1654652030.0521076,2426196,0.8125
1654652442.3691983,2436231,0.96875
1654652864.5688772,2446236,0.90625
1654653270.99874,2456250,0.84375
1654653671.5069766,2466271,0.84375
1654654076.449796,2476279,0.96875
1654654499.548633,2486311,0.96875
1654654859.7027814,2496314,0.9375
1654655213.4495027,2506315,0.90625
1654655557.372034,2516346,1.0
1654655911.6749284,2526364,0.9375
1654656282.3238788,2536376,1.0
1654656646.5512612,2546403,0.96875
1654657013.7149582,2556433,0.9375
1654657378.8121767,2566441,0.9375
1654657727.8329947,2576457,0.875
1654658073.9575305,2586485,0.96875
1654658434.0723083,2596501,0.90625
1654658781.1416018,2606526,0.96875
1654659144.8528867,2616555,0.96875
1654659490.9622476,2626585,0.9375
1654659837.9383342,2636617,0.90625
1654660209.1642852,2646623,1.0
1654660556.0292358,2656632,0.9375
1654660908.2166457,2666640,0.90625
1654661281.2072864,2676668,0.875
1654661630.9783876,2686699,0.9375
1654661994.3294454,2696711,1.0
1654662344.9529786,2706713,0.90625
1654662690.848296,2716746,0.96875
1654663058.2196257,2726766,0.9375
1654663414.9835734,2736772,0.875
1654663757.557899,2746780,0.96875
1654664093.8001134,2756785,0.96875
1654664444.2528257,2766806,0.90625
1654664782.6685789,2776820,0.90625
1654665137.3001869,2786835,0.9375
1654665493.1065898,2796870,1.0
1654665840.0330229,2806888,0.96875
1654666202.2542639,2816914,1.0
1654666551.0040152,2826923,0.875
1654666894.2756546,2836926,1.0
1654667246.3109856,2846931,0.875
1654667575.0014994,2856933,0.9375
1654667914.4412353,2866949,0.9375
1654668261.9699664,2876976,1.0
1654668607.1986055,2886978,0.96875
1654668950.3179617,2896999,1.0
1654669290.999544,2907079,0.96875
1654669627.5690463,2917113,1.0
1654669984.9141924,2927139,0.90625
1654670317.86645,2937155,0.90625
1654670651.7837684,2947161,0.90625
1654670997.4263225,2957197,0.96875
1654671362.8547826,2967217,0.96875
1654671704.7449086,2977229,0.96875
1654672039.247008,2987251,0.90625
1654672357.712263,2997258,0.96875
1654672685.9251442,3007408,0.96875
1654673018.436237,3017410,0.96875
1654673380.2594602,3027427,1.0
1654673734.7265568,3037439,0.90625
1654674078.642232,3047454,1.0
1654674438.5751247,3057468,0.96875
1654674782.218541,3067578,0.875
1654675149.7608976,3077598,0.96875
1654675502.4776385,3087605,0.96875
1654675863.5018997,3097606,0.96875
1654676240.9121034,3107633,0.875
1654676598.9386687,3117661,0.9375
1654676973.162683,3127768,0.9375
1654677323.1710775,3137797,0.96875
1654677693.364942,3147963,0.90625
1654678044.9128497,3157991,0.9375
1654678413.2089307,3168022,1.0
1654678770.046546,3178047,0.875
1654679116.9032905,3188049,0.9375
1654679468.4274843,3198053,0.90625
1654679824.8014565,3208192,1.0
1654680193.4832935,3218219,0.875
1654680557.7254682,3228237,1.0
1654680915.9660158,3238251,0.96875
1654681287.2743328,3248265,0.9375
1654681658.3094418,3258302,0.96875
1654682019.474642,3268311,0.9375
1654682393.8511746,3278329,0.96875
1654682753.3565664,3288336,0.9375
1654683139.6129093,3298356,0.96875
1654683511.3677957,3308500,1.0
1654683893.7542548,3318503,0.96875
1654684244.7280674,3328525,1.0
1654684622.848933,3338547,0.96875
1654684976.2790322,3348559,0.9375
1654685312.9801571,3358572,1.0
1654685651.2140787,3368603,0.90625
1654686030.8936617,3378770,1.0
1654686383.672263,3388898,0.96875
1654686728.9344242,3398958,0.9375
1654687030.5788298,3408960,1.0
1654687342.077667,3419098,0.90625
1654687673.7420979,3429104,0.90625
1654687992.1759527,3439117,0.96875
1654688326.7830827,3449118,0.9375
1654688685.2550683,3459123,0.90625
1654689053.9657745,3469130,1.0
1654689410.151478,3479293,0.9375
1654689770.4542603,3489328,1.0
1654690143.8879282,3499358,1.0
1654690482.3432293,3509386,0.96875
1654690850.5345886,3519387,1.0
1654691206.190539,3529393,0.96875
1654691581.4331534,3539409,0.9375
1654691959.7309022,3549462,0.9375
1654692348.1398616,3559476,0.90625
1654692720.478844,3569607,0.9375
1654693084.6949775,3579608,0.9375
1654693458.904756,3589634,0.96875
1654693824.8377945,3599665,0.96875
1654694201.5970643,3609682,0.875
1654694570.7721734,3619712,0.90625
1654694961.1209357,3629734,0.90625
1654695315.101978,3639754,0.9375
1654695699.2031784,3649754,0.90625
1654696060.7634857,3659857,0.90625
1654696442.9982855,3669880,1.0
1654696817.2794888,3679912,1.0
1654697203.4059954,3689922,0.9375
1654697575.8942928,3699960,0.9375
1654697944.278593,3710038,0.9375
1654698292.2454858,3720048,0.96875
1654698675.1657043,3730074,0.96875
1654699022.1855898,3740098,1.0
1654699365.3447485,3750108,0.96875
1654699721.119945,3760118,0.90625
1654700101.9865801,3770251,0.96875
1654700449.0716693,3780270,0.96875
1654700812.8041322,3790287,0.9375
1654701176.4816825,3800305,1.0
1654701532.4588907,3810337,0.96875
1654701893.6621573,3820461,1.0
1654702254.7245657,3830522,0.9375
1654702599.135529,3840526,0.96875
1654702943.916876,3850678,0.96875
1654703285.0637195,3860702,0.9375
1654703635.4037948,3870729,0.96875
1654703972.02557,3880732,0.9375
1654704376.8385143,3890765,0.9375
1654704853.5206375,3900898,1.0
1654705226.321406,3910899,0.96875
1654705603.117057,3920918,0.8125
1654705980.0022986,3930933,0.9375
1654706359.1238031,3940943,0.9375
1654706706.1070862,3950955,0.9375
1654707090.843476,3960979,1.0
1654707448.845476,3971095,1.0
1654707797.9771206,3981125,0.96875
1654708160.488664,3991140,0.96875
1654708513.7468545,4001180,0.90625
1654708886.4881692,4011213,0.9375
1654709244.93639,4021230,0.9375
1654709625.9135013,4031237,0.9375
1654709999.8285267,4041244,0.875
1654710373.7916174,4051330,0.90625
1654710750.9387095,4061366,0.96875
1654711106.0759406,4071386,0.96875
1654711474.4751203,4081396,0.875
1654711801.2184365,4091429,0.96875
1654712147.6428304,4101493,0.9375
1654712484.2466404,4111497,0.9375
1654712809.8356814,4121501,1.0
1654713162.1177733,4131648,0.875
1654713494.9855125,4141700,0.84375
1654713852.3736694,4151706,0.875
1654714205.1385963,4161720,0.875
1654714550.4584343,4171741,0.96875
1654714904.35057,4181760,0.9375
1654715269.747379,4191780,1.0
1654715631.86344,4201806,0.90625
1654715980.7550116,4211832,0.90625
1654716326.5338547,4221837,0.96875
1654716689.9828143,4231869,0.90625
1654717068.497133,4241891,1.0
1654717440.2684252,4251894,0.96875
1654717800.346538,4261896,0.96875
1654718184.430261,4271925,0.84375
1654718559.9185755,4281932,0.96875
1654718924.3027961,4291946,0.96875
1654719323.1043656,4301956,0.875
1654719722.340062,4311967,1.0
1654720066.9384332,4322050,0.8125
1654720442.4335494,4332208,0.90625
1654720809.6300876,4342211,1.0
1654721183.059535,4352222,0.96875
1654721551.3169165,4362249,0.9375
1654721911.0029032,4372300,0.9375
1654722223.8595703,4382304,0.9375
1654722596.043072,4392447,0.96875
1654722953.7556808,4402566,0.96875
1654723298.7716613,4412572,1.0
1654723673.4984279,4422626,1.0
1654724026.8026593,4432662,0.96875
1654724386.1689377,4442674,0.96875
1654724737.677355,4452681,1.0
1654725098.7414577,4462689,0.96875
1654725462.8346353,4472699,1.0
1654725854.6374369,4482712,0.96875
1654726239.6380146,4492715,0.9375
1654726588.0935762,4502808,0.96875
1654726940.805033,4512815,0.96875
1654727287.0339267,4522924,0.96875
1654727641.4900706,4532925,0.78125
1654727983.4256086,4542929,1.0
1654728335.30208,4552949,0.875
1654728698.5387278,4562968,0.90625
1654729053.7765574,4572993,0.84375
1654729410.8913538,4583024,0.8125
1654729769.8384051,4593038,0.9375
1654730147.8050272,4603038,0.9375
1654730530.73893,4613047,0.875
1654730890.173669,4623068,0.71875
1654731250.6950595,4633082,0.96875
1654731598.7588205,4643090,0.9375
1654731952.4549346,4653110,0.84375
1654732322.2761605,4663121,0.71875
1654732671.55628,4673144,0.84375
1654733022.0979202,4683168,0.84375
1654733361.9632177,4693193,0.875
1654733700.4751005,4703203,0.90625
1654734061.4388514,4713217,0.8125
1654734414.4277306,4723229,0.875
1654734759.9891024,4733229,1.0
1654735114.07537,4743230,0.96875
1654735478.648271,4753252,1.0
1654735841.3469808,4763287,0.875
1654736214.4668684,4773301,0.9375
1654736578.219502,4783338,0.75
1654736903.4281623,4793348,0.96875
1654737249.0966136,4803481,0.84375
1654737569.784339,4813545,0.875
1654737913.9162383,4823564,0.96875
1654738238.7695146,4833741,0.96875
1654738589.9953654,4843765,0.96875
1654738923.2829597,4853798,0.84375
1654739265.7049415,4863961,0.90625
1654739558.595896,4874088,0.875
1654739911.2902956,4884111,0.78125
1654740223.1155748,4894171,0.9375
1654740565.3248315,4904195,0.8125
1654740902.8264596,4914207,0.875
1654741246.7316148,4924216,0.90625
1654741595.6403463,4934238,0.90625
1654741938.2238393,4944350,0.84375
1654742297.5964031,4954452,0.8125
1654742638.0289218,4964456,0.96875
1654742968.2904608,4974488,0.9375
1654743306.4518895,4984507,0.9375
1654743641.191098,4994534,0.90625
