Wall time,Step,Value
1654164309.3000808,43,0.0
1654164482.9731,10073,0.0
1654164644.7398953,20099,0.0
1654164815.1836326,30126,0.0
1654164988.226902,40161,0.0
1654165153.2191257,50164,0.0
1654165321.3770344,60203,0.0
1654165483.6331782,70222,0.03125
1654165646.5465176,80247,0.0
1654165807.9328098,90263,0.0
1654165967.7593505,100278,0.0
1654166142.167737,110286,0.0
1654166302.3082633,120300,0.0
1654166467.2986677,130339,0.0
1654166627.968789,140377,0.0
1654166789.9371755,150412,0.0
1654166952.4438071,160421,0.0
1654167121.2989287,170434,0.0
1654167281.7241294,180468,0.03125
1654167442.7427921,190487,0.0
1654167604.2398257,200495,0.0
1654167763.7116597,210520,0.0
1654167921.3952367,220527,0.0
1654168090.2858293,230550,0.0
1654168245.1675909,240572,0.0
1654168402.6208646,250588,0.0
1654168561.6788228,260624,0.0
1654168721.8793676,270658,0.0
1654168892.3400123,280677,0.0
1654169053.9491913,290693,0.0
1654169211.8291771,300724,0.0
1654169367.2374687,310745,0.0
1654169527.0286055,320753,0.0
1654169682.7633657,330783,0.0
1654169848.4740856,340811,0.0
1654170008.2282264,350822,0.0
1654170169.6610715,360855,0.0
1654170326.6565502,370892,0.0
1654170482.1757784,380906,0.0
1654170636.6985474,390938,0.0
1654170798.9785168,400952,0.0
1654170972.0006542,410969,0.0
1654171137.7458684,420986,0.0
1654171308.5930345,431014,0.0
1654171470.1949997,441048,0.0
1654171643.391084,451060,0.0
1654171807.6960678,461073,0.0
1654171978.7810824,471117,0.0
1654172146.8887308,481155,0.0
1654172323.2120626,491185,0.03125
1654172496.3706443,501191,0.0
1654172673.6972075,511204,0.0
1654172848.7283344,521249,0.0
1654173017.5455792,531267,0.03125
1654173183.285619,541278,0.0
1654173358.435329,551297,0.03125
1654173536.3475757,561321,0.0
1654173716.1340575,571326,0.0
1654173889.0715148,581349,0.0
1654174060.774959,591365,0.0
1654174236.8046567,601394,0.0
1654174405.3527646,611433,0.0625
1654174574.6079557,621445,0.0
1654174738.6956897,631464,0.0
1654174905.334688,641468,0.03125
1654175070.353032,651500,0.03125
1654175241.405063,661526,0.0
1654175407.2440526,671546,0.0
1654175575.7627504,681583,0.0
1654175746.2898684,691621,0.0
1654175908.697429,701639,0.03125
1654176076.5657706,711655,0.0625
1654176243.8227935,721689,0.03125
1654176417.3694239,731701,0.0
1654176583.1275432,741736,0.09375
1654176749.3123333,751747,0.0
1654176916.5744388,761770,0.0
1654177086.854587,771779,0.0
1654177257.7571347,781816,0.0
1654177434.4402068,791822,0.0
1654177600.5333405,801865,0.0
1654177763.3390446,811898,0.0
1654177931.7967253,821905,0.0
1654178097.311406,831926,0.0
1654178270.9331062,841973,0.03125
1654178439.539408,851997,0.03125
1654178606.166148,861998,0.0
1654178773.9831572,872038,0.0
1654178937.862278,882069,0.0625
1654179106.543986,892088,0.03125
1654179281.513531,902128,0.0
1654179445.190826,912138,0.0
1654179608.5081577,922148,0.0
1654179782.5550644,932176,0.0
1654179945.8428087,942208,0.09375
1654180109.5206318,952241,0.0625
1654180279.6595356,962251,0.0625
1654180444.7891371,972288,0.0
1654180612.408623,982324,0.03125
1654180769.8027952,992339,0.0625
1654180930.183317,1002396,0.0
1654181088.3611057,1012409,0.03125
1654181258.8227499,1022412,0.0
1654181424.5245483,1032419,0.0625
1654181592.8620179,1042420,0.0
1654181763.681982,1052460,0.03125
1654181933.2661142,1062484,0.03125
1654182107.9492428,1072498,0.03125
1654182277.527639,1082527,0.0625
1654182446.3891451,1092553,0.03125
1654182614.7918825,1102557,0.03125
1654182784.0073922,1112558,0.0
1654182956.6901283,1122561,0.03125
1654183140.869516,1132579,0.0
1654183308.5569234,1142621,0.0
1654183483.4737766,1152634,0.03125
1654183657.5828028,1162639,0.03125
1654183836.811302,1172735,0.03125
1654184015.121659,1182747,0.0
1654184182.3769202,1192782,0.0
1654184367.2710004,1202792,0.0
1654184546.2163882,1212831,0.0
1654184719.0356665,1222958,0.0
1654184905.1721964,1232959,0.0
1654185084.4600413,1242983,0.0625
1654185257.34124,1252983,0.09375
1654185438.868298,1263035,0.0625
1654185625.0661016,1273068,0.03125
1654185807.3116844,1283080,0.0
1654186001.2574947,1293113,0.0
1654186181.4161916,1303120,0.0625
1654186364.8055565,1313147,0.0625
1654186545.935513,1323197,0.125
1654186719.2865527,1333221,0.03125
1654186899.9792461,1343270,0.0
1654187078.8257327,1353277,0.0
1654187258.033854,1363316,0.0625
1654187431.4615264,1373332,0.0
1654187609.4246993,1383376,0.03125
1654187791.9007876,1393390,0.03125
1654187963.8365107,1403411,0.0
1654188134.536273,1413471,0.0
1654188308.2659416,1423483,0.0
1654188474.7318652,1433519,0.03125
1654188647.0872257,1443567,0.0
1654188818.9818664,1453664,0.03125
1654188993.8014655,1463743,0.03125
1654189173.243073,1473754,0.15625
1654189333.6991706,1483772,0.03125
1654189505.1660194,1493780,0.03125
1654189663.706712,1503879,0.03125
1654189832.294662,1514013,0.0625
1654189998.9951303,1524023,0.03125
1654190171.354527,1534036,0.0
1654190340.3177805,1544078,0.03125
1654190504.9060557,1554081,0.0
1654190666.007679,1564114,0.03125
1654190832.4796493,1574149,0.0
1654191010.7732801,1584259,0.03125
1654191173.1053677,1594351,0.0
1654191336.338977,1604366,0.0
1654191501.3364341,1614388,0.0
1654191659.7942338,1624445,0.0
1654191825.2847466,1634548,0.0
1654191978.8990676,1644631,0.0625
1654192135.335389,1654659,0.03125
1654192291.1532543,1664813,0.0
1654192449.9682531,1674902,0.0
1654192615.5451214,1685010,0.0
1654192774.336598,1695033,0.0
1654192938.3185167,1705201,0.0
1654193095.7234793,1715289,0.0
1654193258.6764045,1725372,0.03125
1654193412.4352999,1735453,0.03125
1654193575.0925927,1745473,0.0625
1654193732.809888,1755642,0.0
1654193898.790581,1765742,0.0
1654194059.134601,1775789,0.0
1654194220.0671802,1785791,0.03125
1654194381.1155536,1795921,0.0
1654194537.2471735,1805988,0.0
1654194699.670081,1815992,0.0
1654194856.6644971,1826024,0.0
1654195012.5672083,1836109,0.0
1654195169.4805827,1846232,0.0
1654195333.1817188,1856240,0.03125
