Wall time,Step,Value
1654746943.6457727,22,0.0
1654747081.8363042,10029,0.0
1654747224.555988,20041,0.0
1654747365.9894397,30049,0.0
1654747511.7881594,40055,0.0
1654747654.9195254,50070,0.0
1654747803.4538572,60074,0.0
1654747943.0542758,70090,0.0
1654748084.3901436,80097,0.0
1654748226.7963667,90106,0.0
1654748371.0293002,100115,0.0
1654748516.7155223,110124,0.0
1654748666.7728424,120140,0.0
1654748810.739908,130160,0.0
1654748956.615718,140174,0.0
1654749103.2005732,150182,0.0
1654749246.7364733,160193,0.0
1654749394.7753146,170195,0.0
1654749548.5515208,180207,0.0
1654749692.9503033,190208,0.0
1654749836.2093902,200218,0.0
1654749982.1424894,210220,0.0
1654750129.885105,220236,0.0
1654750280.1498299,230245,0.0
1654750439.5488076,240247,0.0
1654750584.6418755,250247,0.0
1654750735.2357347,260250,0.0
1654750883.4368732,270270,0.0
1654751037.1252153,280285,0.0
1654751182.9177861,290299,0.0
1654751340.1643178,300300,0.0
1654751489.5595784,310310,0.0
1654751641.0496736,320318,0.0
1654751794.3878374,330344,0.0
1654751946.782972,340354,0.0
1654752100.658242,350372,0.0
1654752263.102933,360391,0.0
1654752417.6423922,370399,0.0
1654752565.6777966,380406,0.0
1654752716.4795206,390414,0.0
1654752869.1200097,400419,0.0
1654753027.6615553,410429,0.0
1654753189.101482,420451,0.0
1654753342.8224425,430453,0.0
1654753495.21517,440470,0.03125
1654753645.8551912,450476,0.0
1654753798.53527,460480,0.0
1654753953.7476935,470488,0.0
1654754116.6012816,480501,0.0
1654754271.5046809,490525,0.0
1654754428.4625156,500538,0.03125
1654754581.2588806,510563,0.0
1654754735.7340596,520563,0.0
1654754888.2918653,530581,0.0
1654755053.1751273,540581,0.0
1654755207.3299057,550592,0.0
1654755364.5957768,560609,0.0
1654755516.8162718,570625,0.03125
1654755670.933989,580642,0.03125
1654755828.9177089,590651,0.0
1654755991.6487637,600666,0.0
1654756143.2451975,610680,0.03125
1654756297.5809004,620699,0.0
1654756455.5350542,630727,0.03125
1654756611.0315325,640744,0.0
1654756771.2661836,650751,0.0
1654756934.5598755,660775,0.0
1654757090.5590158,670779,0.0625
1654757248.1711123,680792,0.03125
1654757406.0566757,690794,0.0
1654757560.2091649,700804,0.0
1654757719.4483416,710820,0.03125
1654757884.1124258,720836,0.03125
1654758039.230359,730836,0.03125
1654758197.6830003,740857,0.0
1654758353.4919233,750872,0.0
1654758510.7980742,760894,0.0
1654758669.1935227,770918,0.0
1654758885.5132022,780921,0.0
1654759148.5545256,790933,0.03125
1654759408.1568305,800940,0.0625
1654759579.3376157,810945,0.0
1654759738.9886425,820971,0.0
1654759902.0488746,830971,0.0
1654760060.564993,840990,0.0
1654760217.0040548,850996,0.0
1654760373.9377708,861015,0.0
1654760531.014538,871040,0.0
1654760694.5490937,881064,0.0
1654760854.456726,891073,0.03125
1654761021.697678,901099,0.0
1654761181.7112412,911107,0.03125
1654761336.2261503,921127,0.0
1654761495.1967611,931142,0.0
1654761656.1484194,941145,0.03125
1654761813.6961956,951155,0.0625
1654761979.7225888,961178,0.03125
1654762139.9226694,971193,0.03125
1654762303.528969,981194,0.03125
1654762464.7775316,991200,0.03125
1654762622.2464986,1001212,0.0
1654762782.7846503,1011220,0.03125
1654762950.9980748,1021246,0.0
1654763112.3441174,1031251,0.0625
1654763272.51022,1041272,0.03125
1654763436.269766,1051284,0.09375
1654763601.691527,1061297,0.03125
1654763763.9620788,1071304,0.03125
1654763925.5333412,1081333,0.03125
1654764082.2566235,1091345,0.03125
1654764244.4899528,1101358,0.0
1654764408.4814496,1111370,0.0
1654764564.2695515,1121388,0.0625
1654764730.770319,1131409,0.0625
1654764915.5101628,1141416,0.0625
1654765144.697435,1151416,0.03125
1654765367.2418387,1161430,0.0
1654765599.212389,1171447,0.0
1654765823.7810779,1181456,0.0
1654766060.553809,1191462,0.03125
1654766281.0316586,1201467,0.03125
1654766510.608163,1211470,0.03125
1654766734.57225,1221476,0.0
1654766965.5341718,1231478,0.0
1654767192.5741591,1241481,0.03125
1654767433.1910079,1251493,0.0
1654767659.9059772,1261500,0.0
1654767891.9712262,1271521,0.0
1654768062.5190055,1281538,0.03125
1654768219.5696228,1291560,0.0625
1654768378.1724124,1301575,0.03125
1654768545.2385836,1311576,0.09375
1654768706.3773704,1321586,0.03125
1654768866.7493362,1331612,0.03125
1654769026.7734833,1341617,0.03125
1654769187.599585,1351634,0.03125
1654769343.6185544,1361646,0.0625
1654769510.102472,1371671,0.03125
1654769672.0658143,1381687,0.03125
1654769836.0088217,1391691,0.03125
1654769997.3104873,1401716,0.0
1654770161.2456596,1411733,0.0625
1654770325.4446888,1421742,0.0
1654770497.5847673,1431765,0.0
1654770659.170905,1441780,0.0625
1654770820.454962,1451790,0.03125
1654770981.0697622,1461822,0.03125
1654771140.5185921,1471840,0.0
1654771299.408961,1481852,0.03125
1654771463.5063384,1491855,0.0
1654771624.1204941,1501870,0.0
1654771787.489553,1511883,0.0
1654771951.979402,1521890,0.0625
1654772111.9219983,1531910,0.0
1654772271.3848088,1541935,0.03125
1654772441.0913386,1551941,0.0625
1654772600.9605205,1561942,0.03125
1654772758.1096153,1571960,0.03125
1654772919.4092262,1581992,0.0625
1654773081.7418156,1592008,0.03125
1654773238.4448442,1602016,0.0
1654773408.1752398,1612042,0.0625
1654773567.0916958,1622058,0.0625
1654773734.056166,1632075,0.03125
1654773894.4399648,1642075,0.0625
1654774058.7334476,1652082,0.0
1654774227.1553924,1662100,0.0
1654774399.3019328,1672105,0.0
1654774564.8972242,1682119,0.0
1654774728.279133,1692128,0.03125
1654774887.1396096,1702128,0.03125
1654775050.8293412,1712145,0.09375
1654775210.9702075,1722147,0.0625
1654775377.3816128,1732162,0.0625
1654775538.0639145,1742187,0.0625
1654775702.6056354,1752202,0.03125
1654775866.2879407,1762205,0.03125
1654776029.2125137,1772212,0.0625
1654776194.4135118,1782240,0.03125
1654776363.2298243,1792259,0.0
1654776525.344581,1802272,0.0
1654776689.363754,1812299,0.0625
1654776853.7659817,1822323,0.03125
1654777017.4215577,1832329,0.0625
1654777183.1201692,1842350,0.0
1654777353.647632,1852356,0.03125
1654777515.0325813,1862367,0.0625
1654777678.1501937,1872375,0.0
1654777840.612031,1882376,0.125
1654778005.082555,1892379,0.0
1654778179.7374089,1902382,0.03125
1654778338.6760147,1912388,0.0625
1654778502.3800795,1922416,0.0
1654778662.770283,1932439,0.0
1654778827.4574075,1942441,0.0
1654778988.5202432,1952457,0.0
1654779162.1142359,1962460,0.03125
1654779326.2079842,1972460,0.0
1654779490.1572874,1982468,0.03125
1654779651.5943432,1992471,0.09375
1654779812.6292214,2002483,0.0625
1654779975.21542,2012509,0.03125
1654780142.819236,2022527,0.0625
1654780303.964988,2032528,0.03125
1654780466.4792411,2042529,0.03125
1654780631.6820753,2052544,0.09375
1654780792.3348022,2062556,0.0625
1654780960.8118556,2072577,0.0
1654781131.4446442,2082596,0.03125
1654781298.3720458,2092619,0.0
1654781458.147658,2102631,0.0
1654781623.4721353,2112641,0.0625
1654781785.8159842,2122659,0.0625
1654781947.354836,2132682,0.03125
1654782119.0980866,2142685,0.0
1654782281.0791562,2152710,0.09375
1654782444.8783534,2162731,0.0
1654782603.2665727,2172746,0.03125
1654782765.7970936,2182752,0.0
1654782928.259595,2192769,0.09375
1654783094.6279573,2202792,0.03125
1654783260.5662305,2212809,0.03125
1654783421.2250798,2222830,0.0
1654783586.1007323,2232844,0.03125
1654783750.603076,2242871,0.0
1654783918.2365408,2252881,0.09375
1654784087.8606572,2262893,0.03125
1654784254.182965,2272893,0.0
1654784424.6538165,2282910,0.0625
1654784592.2648158,2292926,0.03125
1654784758.9661129,2302936,0.0625
1654784926.8279564,2312944,0.09375
1654785100.2967234,2322949,0.09375
1654785266.164824,2332957,0.0
1654785432.0506132,2342986,0.03125
1654785599.8305044,2352988,0.03125
1654785775.7937205,2362997,0.09375
1654785943.314603,2373007,0.03125
1654786121.9290054,2383026,0.0
1654786285.8312867,2393029,0.03125
1654786449.1695695,2403047,0.03125
1654786617.1755283,2413064,0.0
1654786785.1769164,2423064,0.03125
1654786959.7119853,2433082,0.03125
1654787122.3571775,2443093,0.0625
1654787286.0094814,2453111,0.03125
1654787448.6721964,2463118,0.03125
1654787612.8282766,2473119,0.03125
1654787775.984771,2483132,0.09375
1654787951.119924,2493136,0.03125
1654788114.0141325,2503156,0.0
1654788278.280588,2513190,0.03125
1654788442.2433853,2523196,0.0
1654788613.3058786,2533209,0.0
1654788782.391704,2543221,0.03125
1654788955.8635464,2553229,0.0625
1654789121.081994,2563231,0.03125
1654789281.5361824,2573256,0.0
1654789450.2182145,2583265,0.125
1654789613.1712658,2593281,0.0625
1654789781.121712,2603283,0.03125
1654789947.8464582,2613283,0.0
1654790114.018929,2623287,0.03125
1654790278.52607,2633289,0.0
1654790445.5671177,2643289,0.15625
1654790613.3228471,2653315,0.03125
1654790779.3787348,2663315,0.03125
1654790957.2294583,2673336,0.15625
1654791117.4093213,2683342,0.0
1654791285.8799517,2693348,0.03125
1654791450.9867694,2703359,0.0625
1654791617.204743,2713362,0.09375
1654791781.8686113,2723366,0.0625
1654791955.7890103,2733381,0.03125
1654792122.6422598,2743393,0.0625
1654792290.939613,2753424,0.03125
1654792452.9061365,2763443,0.0625
1654792612.5066755,2773449,0.03125
1654792781.9570503,2783457,0.03125
1654792954.551246,2793470,0.0
1654793121.2029955,2803488,0.09375
1654793291.5769773,2813505,0.09375
1654793462.4199998,2823514,0.09375
1654793634.6829808,2833539,0.03125
1654793799.6691382,2843567,0.03125
1654793972.0275116,2853568,0.03125
1654794136.885096,2863576,0.03125
1654794299.56818,2873590,0.0
1654794467.7989118,2883603,0.03125
1654794641.2441099,2893613,0.0
1654794810.452654,2903629,0.0625
1654794981.9567366,2913650,0.125
1654795148.6917794,2923664,0.0
1654795317.8117082,2933688,0.125
1654795483.5058248,2943698,0.0625
1654795648.169276,2953707,0.03125
1654795818.0621822,2963726,0.03125
1654795993.7589345,2973745,0.09375
1654796160.5184476,2983772,0.0
1654796328.9622703,2993772,0.0625
1654796492.6752958,3003787,0.03125
1654796656.676228,3013788,0.0625
1654796829.3955302,3023801,0.03125
1654796995.240364,3033830,0.03125
1654797160.3384938,3043843,0.09375
1654797323.895854,3053870,0.0
1654797490.1105628,3063895,0.03125
1654797656.4206457,3073918,0.0
1654797829.5210195,3083925,0.0625
1654797995.088636,3093932,0.03125
1654798163.569464,3103954,0.03125
1654798327.0454586,3113974,0.09375
1654798496.219361,3123981,0.03125
1654798666.1443067,3134005,0.0625
1654798840.882635,3144024,0.03125
1654799007.5428681,3154028,0.0
1654799169.6928504,3164039,0.09375
1654799338.9448075,3174061,0.0
1654799502.8677874,3184066,0.03125
1654799672.209663,3194085,0.0
1654799840.5884707,3204101,0.03125
1654800004.5823734,3214128,0.0
1654800177.6602702,3224150,0.0
1654800344.378654,3234166,0.03125
1654800513.0701253,3244184,0.03125
1654800678.8841784,3254203,0.0625
1654800853.438557,3264231,0.0
1654801014.1451013,3274251,0.0
1654801179.9962618,3284264,0.0625
1654801349.8247108,3294280,0.0
1654801518.3418343,3304292,0.03125
1654801686.6899903,3314301,0.0625
1654801863.9630435,3324313,0.0
1654802031.842164,3334319,0.09375
1654802197.0886037,3344346,0.0
1654802361.8866172,3354370,0.0625
1654802528.2782054,3364393,0.03125
1654802696.014606,3374418,0.0625
1654802869.4312224,3384422,0.0
1654803036.3610618,3394439,0.03125
1654803205.672483,3404449,0.0
1654803375.7362022,3414469,0.03125
1654803545.1175506,3424491,0.03125
1654803713.670447,3434504,0.0
1654803890.639245,3444522,0.03125
1654804058.5638967,3454537,0.0625
1654804223.8400924,3464546,0.03125
1654804390.4850738,3474553,0.0625
1654804557.202631,3484571,0.03125
1654804727.2137413,3494601,0.03125
1654804902.9227438,3504624,0.03125
1654805069.8226647,3514647,0.0625
1654805233.5813622,3524677,0.0625
1654805399.1840625,3534679,0.03125
1654805567.9758766,3544703,0.0
1654805734.0556862,3554716,0.03125
1654805908.1067977,3564721,0.0625
1654806071.1247413,3574727,0.0
1654806240.2806861,3584729,0.03125
1654806411.0513604,3594743,0.03125
1654806582.1820512,3604768,0.03125
1654806752.5227585,3614795,0.03125
1654806916.3956172,3624816,0.03125
1654807085.8389666,3634822,0.03125
1654807260.4627478,3644825,0.03125
1654807429.123237,3654841,0.09375
1654807598.998892,3664859,0.03125
1654807778.0352974,3674878,0.0
1654807945.9736156,3684896,0.03125
1654808113.9074836,3694907,0.0625
1654808280.3259518,3704909,0.03125
1654808446.6770937,3714916,0.03125
1654808612.9491076,3724921,0.03125
1654808782.857424,3734943,0.0
1654808950.9842782,3744952,0.03125
1654809116.4488773,3754972,0.0625
1654809280.606857,3764992,0.0
1654809448.2027411,3774998,0.0
1654809618.0901475,3785004,0.0625
1654809798.7834961,3795021,0.03125
1654809963.686796,3805035,0.0
1654810133.1129503,3815051,0.15625
1654810300.1106398,3825079,0.0625
1654810466.9869869,3835101,0.0625
1654810632.0811784,3845128,0.0
1654810806.3294969,3855153,0.0
1654810975.848901,3865172,0.0625
1654811138.7247999,3875195,0.03125
1654811305.0283902,3885208,0.03125
1654811473.784914,3895235,0.03125
1654811642.6119733,3905242,0.09375
1654811818.2321928,3915259,0.15625
1654811987.4888976,3925269,0.0625
1654812154.0947251,3935285,0.0625
1654812322.8096683,3945293,0.0
1654812490.5510862,3955317,0.03125
1654812658.678086,3965325,0.0625
1654812835.0361307,3975353,0.0
1654813005.0167809,3985379,0.03125
1654813169.8869956,3995387,0.0625
1654813341.9816122,4005398,0.09375
1654813514.2434149,4015424,0.03125
1654813680.0234654,4025435,0.1875
1654813854.4556725,4035456,0.03125
1654814023.6264307,4045483,0.0625
1654814189.310543,4055508,0.03125
1654814359.8497128,4065513,0.125
1654814527.9207306,4075528,0.03125
1654814699.321519,4085528,0.0
1654814876.5851333,4095542,0.03125
1654815041.765729,4105549,0.0
1654815209.047811,4115572,0.0625
1654815381.5515926,4125580,0.03125
1654815553.7031562,4135589,0.03125
1654815735.7914898,4145614,0.0625
1654815900.0972736,4155634,0.03125
1654816071.059358,4165637,0.0625
1654816238.2841303,4175641,0.03125
1654816410.3607445,4185652,0.09375
1654816582.5996017,4195656,0.0
1654816761.166499,4205680,0.0
1654816929.4276586,4215698,0.03125
1654817103.0360737,4225723,0.0
1654817271.9730241,4235728,0.03125
1654817439.9790087,4245748,0.0
1654817610.5857992,4255755,0.0
1654817788.6152604,4265758,0.125
1654817957.0952632,4275762,0.0
1654818124.6574798,4285789,0.03125
1654818296.4510586,4295801,0.0
1654818467.7064667,4305821,0.125
1654818644.3729491,4315847,0.03125
1654818823.0997334,4325862,0.125
1654818997.970833,4335877,0.03125
1654819167.0622478,4345898,0.03125
1654819335.817906,4355916,0.0
1654819506.7167568,4365918,0.09375
1654819676.6468642,4375929,0.0625
1654819854.2318854,4385933,0.0
1654820022.8979836,4395944,0.03125
1654820193.3436222,4405975,0.09375
1654820367.2847686,4416012,0.03125
1654820546.0006967,4426019,0.125
1654820713.5861728,4436036,0.03125
1654820894.8507915,4446057,0.0
1654821063.372286,4456062,0.0625
1654821229.1127124,4466074,0.0
1654821400.786934,4476097,0.03125
1654821570.608713,4486132,0.0625
1654821741.8315003,4496144,0.03125
1654821921.4719903,4506156,0.03125
1654822090.0059767,4516183,0.03125
1654822256.561811,4526207,0.0
