Wall time,Step,Value
1654412586.8837013,33,0.0
1654412764.8281167,10047,0.0
1654412943.5350025,20058,0.0
1654413129.8496134,30059,0.0
1654413326.1129346,40072,0.0
1654413516.961949,50078,0.0
1654413712.7454653,60094,0.0
1654413888.2163367,70226,0.0
1654414059.8643181,80255,0.0625
1654414245.1483295,90263,0.0
1654414429.6952302,100267,0.0
1654414621.3512843,110288,0.0
1654414819.139487,120312,0.0
1654415016.3999686,130320,0.0
1654415200.037557,140341,0.0
1654415403.412162,150359,0.0
1654415589.5425,160365,0.0
1654415786.572646,170394,0.0
1654415970.2435918,180402,0.0
1654416152.0694911,190439,0.125
1654416335.2877905,200463,0.03125
1654416528.0127938,210477,0.03125
1654416715.659207,220518,0.125
1654416915.9862716,230520,0.15625
1654417103.0064626,240554,0.03125
1654417293.6035836,250558,0.34375
1654417478.2275357,260558,0.25
1654417660.2262304,270590,0.125
1654417838.3444111,280595,0.40625
1654418021.9349935,290608,0.28125
1654418198.6407282,300705,0.25
1654418378.4178398,310717,0.03125
1654418562.2685947,320718,0.0
1654418748.3672006,330781,0.0625
1654418930.2725763,340899,0.0625
1654419126.048936,350907,0.09375
1654419305.55185,360926,0.15625
1654419482.8889494,370939,0.46875
1654419651.8520532,380974,0.46875
1654419825.619587,390977,0.28125
1654420009.3833008,401016,0.5625
1654420182.4566157,411156,0.53125
1654420337.6736927,421169,0.5
1654420523.7222066,431175,0.5625
1654420706.2519736,441189,0.375
1654420889.7761073,451198,0.5625
1654421086.4169533,461228,0.5
1654421272.40269,471238,0.4375
1654421461.2001846,481249,0.40625
1654421646.3900452,491380,0.59375
1654421840.5865011,501409,0.5625
1654422037.7591,511411,0.4375
1654422227.1084442,521443,0.6875
1654422428.2167945,531444,0.8125
1654422619.4077725,541485,0.78125
1654422808.0050704,551485,0.875
1654423002.6275575,561486,0.6875
1654423204.5855186,571530,0.8125
1654423403.4832656,581543,0.71875
1654423607.9925737,591581,0.84375
1654423805.9774196,601612,0.6875
1654423995.162462,611621,0.46875
1654424182.6072884,621629,0.78125
1654424378.2884784,631668,0.84375
