Wall time,Step,Value
1654270787.4037127,34,0.0
1654270993.3757932,10047,0.0
1654271197.6088965,20077,0.0
1654271388.5001378,30106,0.0
1654271582.8726454,40120,0.0
1654271779.7635431,50150,0.0
1654271983.3030605,60271,0.0
1654272175.9646535,70277,0.0
1654272375.7257454,80303,0.0
1654272574.2250972,90436,0.0
1654272792.3463244,100465,0.0
1654273001.058658,110472,0.0
1654273196.0779831,120472,0.0
1654273388.4724565,130491,0.0
1654273598.2835293,140512,0.0
1654273801.2694829,150540,0.0
1654274002.6993105,160550,0.0
1654274215.4033532,170571,0.0
1654274447.327448,180585,0.0
1654274653.8567662,190909,0.0
1654274864.7113245,200935,0.0
1654275055.859353,210970,0.0
1654275276.2838993,220994,0.0
1654275503.5145435,231016,0.0
1654275720.809842,241055,0.0
1654275940.7574625,251083,0.0
1654276150.969837,261119,0.0
1654276372.2378159,271132,0.0
1654276581.4386244,281136,0.0
1654276816.6494434,291163,0.0
1654277027.4997718,301168,0.0
1654277242.1636453,311181,0.0
1654277472.5272136,321202,0.0
1654277684.921006,331342,0.0
1654277898.313941,341346,0.0
1654278111.6827862,351431,0.0
1654278331.2480328,361442,0.0
1654278565.405198,371451,0.0
1654278818.6500776,381468,0.0
1654279054.530315,391474,0.0
1654279286.5392654,401498,0.0
1654279492.812562,411513,0.0
1654279716.4047484,421543,0.0
1654279941.5025277,431672,0.0
1654280191.6341934,441697,0.0
1654280418.2102878,451703,0.0
1654280652.35387,461736,0.0
1654280879.6713696,471762,0.0
1654281103.8516307,481779,0.0
1654281333.9214857,491799,0.0
1654281581.1411626,502136,0.0
1654281824.1972492,512522,0.0
1654282036.5037124,522554,0.0
1654282279.6386085,532940,0.0
1654282520.4921517,542968,0.0
1654282771.9028769,552970,0.0
1654283011.3566566,562975,0.0
1654283276.458829,572990,0.0
1654283524.663119,583016,0.0
1654283785.4100852,593035,0.0
1654284044.5855527,603043,0.0
1654284355.1675706,613066,0.0
1654284615.8129442,623075,0.0
1654284916.6848676,633102,0.0
1654285197.2935066,643103,0.0
1654285459.6891723,653115,0.0
1654285738.9608777,663140,0.0
1654286022.5774498,673152,0.0
1654286320.3320203,683179,0.0
1654286580.4348497,693369,0.0
1654286877.7246017,703403,0.0
1654287145.6251671,713412,0.0
1654287415.3244069,723439,0.0
1654287689.752976,733563,0.0
1654287972.0038118,743583,0.0
1654288263.358182,753641,0.0
1654288572.9296744,763650,0.0
1654288843.2599385,773651,0.0
1654289138.9901552,783680,0.0
1654289428.595517,793696,0.0
1654289708.648783,803714,0.0
1654289970.6327083,813982,0.0
1654290235.8856964,823987,0.0
1654290515.2808506,833987,0.0
1654290810.3591263,844297,0.0
1654291083.0666142,854311,0.0
1654291356.408331,864356,0.0
1654291615.2730896,874375,0.0
1654291869.8563235,884398,0.0
1654292176.4800801,894409,0.0
1654292460.5277643,904424,0.0
1654292731.7614279,914433,0.0
1654293015.5630643,924454,0.0
1654293296.4216034,934466,0.0
1654293587.1486816,944500,0.0
1654293869.9935625,954843,0.0
1654294155.2061958,964866,0.0
1654294436.6236005,974874,0.0
1654294731.8553293,984903,0.0
1654295006.4325867,995176,0.0
1654295331.2572138,1005185,0.0
1654295631.6062727,1015188,0.0
1654295920.1560583,1025188,0.0
1654296205.5987797,1035200,0.0
1654296521.4807656,1045353,0.0
1654296809.3732474,1055354,0.0
1654297115.346244,1065370,0.0
1654297394.1181772,1075396,0.0
1654297690.3867884,1085400,0.0
1654297989.366078,1095741,0.0
1654298281.5580006,1105751,0.0
1654298563.9531243,1115753,0.0
1654298851.9517243,1125940,0.0
1654299122.5438402,1136013,0.0
1654299406.5700042,1146368,0.0
1654299688.713071,1156378,0.0
1654299979.4268012,1166393,0.0
1654300278.108401,1176406,0.0
1654300566.4776542,1186431,0.0
1654300836.79694,1196443,0.0
1654301109.2553787,1206470,0.0
1654301403.6488135,1216500,0.0
1654301670.6916926,1226501,0.0
1654301962.7947993,1236758,0.0
1654302238.9553256,1246767,0.0
1654302516.6886678,1256782,0.0
1654302817.2852757,1266797,0.0
1654303082.4879603,1276827,0.0
1654303369.384017,1286827,0.0
1654303654.966039,1296852,0.0
1654303909.423561,1306873,0.0
1654304184.087381,1316875,0.0
1654304444.676963,1326898,0.0
1654304712.1136703,1336962,0.0
1654304986.9268324,1346975,0.0
1654305265.0805025,1357002,0.0
1654305534.9871216,1367011,0.03125
1654305808.468173,1377049,0.0
1654306068.733061,1387049,0.0
1654306346.9614148,1397061,0.0
1654306620.4127772,1407061,0.0
1654306894.3036482,1417075,0.0
1654307162.3724833,1427080,0.0
1654307449.5551455,1437086,0.0
1654307728.3299468,1447116,0.0
1654308006.2286513,1457124,0.0
1654308291.748381,1467154,0.0
1654308578.937489,1477187,0.0
1654308878.235207,1487202,0.03125
1654309158.88479,1497212,0.0
1654309424.8437836,1507330,0.0625
1654309711.9791954,1517344,0.0
1654309983.2997246,1527367,0.03125
1654310277.1183052,1537395,0.03125
1654310539.7220879,1547400,0.0
1654310830.7264848,1557700,0.0
1654311128.5576763,1567732,0.0
1654311414.3559725,1577827,0.0
1654311711.659163,1588005,0.0
1654311999.040952,1598033,0.0
1654312299.443765,1608039,0.0
1654312614.003036,1618185,0.0
1654312923.0222971,1628213,0.0
1654313219.630735,1638253,0.03125
1654313518.7486188,1648269,0.0
1654313822.9988768,1658288,0.0
1654314103.0692992,1668323,0.0
