Wall time,Step,Value
1655815042.4810843,32,0.0
1655815159.079816,10038,0.0
1655815274.9601035,20049,0.0
1655815401.0399244,30062,0.0
1655815539.1710103,40070,0.0625
1655815667.5494978,50076,0.03125
1655815793.3487575,60090,0.0625
1655815914.246084,70105,0.125
1655816033.2784538,80115,0.03125
1655816151.7053394,90136,0.09375
1655816269.8944488,100150,0.0625
1655816385.6665125,110163,0.0
1655816510.6944032,120168,0.03125
1655816624.1190352,130191,0.03125
1655816737.9321098,140194,0.0
1655816851.7231643,150198,0.03125
1655816966.3814712,160217,0.03125
1655817081.7108004,170238,0.1875
1655817202.6861737,180260,0.09375
1655817317.8581145,190263,0.125
1655817431.3179047,200285,0.03125
1655817544.8224523,210293,0.0
1655817654.4511826,220311,0.0625
1655817762.6822119,230314,0.03125
1655817875.6089818,240363,0.03125
1655817986.5848439,250422,0.0625
1655818094.16161,260425,0.0
1655818200.584306,270427,0.0
1655818309.0487533,280440,0.03125
1655818419.2410731,290454,0.03125
1655818532.5546248,300461,0.03125
1655818649.4747047,310588,0.0
1655818762.3234303,320648,0.03125
1655818876.5061636,330691,0.125
1655818978.1902332,340753,0.125
1655819097.3380697,350771,0.09375
1655819225.0068023,360778,0.0625
1655819353.0321035,370810,0.15625
1655819474.7304306,380877,0.21875
1655819599.6375732,390896,0.0625
1655819726.327779,400902,0.0625
1655819863.5674288,410923,0.34375
1655819987.979806,420937,0.3125
1655820120.5260832,431067,0.28125
1655820244.076016,441084,0.375
1655820360.506496,451098,0.40625
1655820480.0429387,461223,0.34375
1655820609.2246294,471248,0.3125
1655820736.0875711,481272,0.4375
1655820865.6661773,491285,0.5
1655820995.4255545,501344,0.5625
1655821122.7136757,511360,0.28125
1655821249.2999363,521361,0.59375
1655821382.1060214,531366,0.46875
1655821505.2134337,541366,0.34375
1655821631.2654946,551448,0.46875
1655821760.391775,561467,0.5625
1655821883.8816214,571490,0.5625
1655822003.8950043,581508,0.5625
1655822132.2030041,591519,0.625
1655822258.1787963,601537,0.5
1655822388.5624816,611559,0.65625
1655822517.5577395,621570,0.625
1655822641.8017309,631586,0.625
1655822778.659973,641608,0.46875
1655822911.5206566,651608,0.71875
1655823045.9765108,661619,0.59375
1655823173.4919362,671636,0.75
1655823299.6699126,681655,0.6875
1655823417.2179124,691674,0.8125
1655823555.781181,701674,0.875
1655823684.508495,711786,0.78125
1655823815.9239402,721798,0.8125
1655823940.1286926,731922,0.75
1655824073.2013288,741936,0.90625
1655824204.739994,751938,0.90625
1655824337.2501743,762019,0.8125
1655824456.8230052,772021,0.6875
1655824582.628285,782039,0.8125
1655824709.498506,792053,0.78125
1655824841.8940566,802071,1.0
1655824975.888704,812095,0.9375
1655825110.5315313,822120,0.84375
1655825243.699845,832120,0.8125
1655825372.2219234,842131,0.6875
1655825493.5369859,852151,0.9375
1655825621.29394,862170,0.78125
1655825741.6094136,872187,0.84375
1655825880.453964,882203,0.84375
1655826019.3200886,892207,0.84375
1655826150.5883229,902336,0.78125
1655826282.990823,912347,0.875
1655826419.0294867,922354,0.90625
1655826563.4721158,932361,0.6875
1655826709.4935224,942384,0.96875
1655826846.2415965,952414,0.9375
1655826984.0083547,962420,0.90625
1655827117.2630308,972420,0.90625
1655827253.23578,982436,0.96875
1655827388.399608,992463,0.96875
