Wall time,Step,Value
1655871775.0551827,52,0.0
1655871878.5023437,10117,0.0
1655871987.4117124,20193,0.125
1655872087.8234777,30251,0.4375
1655872203.461511,40280,0.15625
1655872323.8227205,50293,0.0625
1655872418.6494834,60389,0.09375
1655872511.2756257,70439,0.09375
1655872606.9826078,80475,0.125
1655872701.455013,90502,0.1875
1655872806.0335474,100543,0.3125
1655872904.7554712,110630,0.1875
1655873012.660372,120649,0.125
1655873115.9867728,130681,0.0625
1655873214.330562,140711,0.5625
1655873339.2166858,150745,0.78125
1655873452.967143,160750,0.46875
1655873573.5779467,170788,0.75
1655873695.8865652,180809,0.71875
1655873822.9680815,190851,0.90625
1655873962.8474197,200869,0.96875
1655874091.8432913,210897,1.0
1655874224.582933,220900,0.96875
1655874354.0173414,230911,0.90625
1655874480.296988,240959,0.90625
1655874611.9918923,250959,1.0
1655874752.442304,260976,0.78125
1655874885.743121,271023,0.9375
1655875019.3960662,281040,0.8125
1655875152.421492,291074,0.96875
1655875282.908864,301135,0.9375
1655875419.8229346,311136,0.9375
1655875547.7179735,321179,0.9375
1655875681.4271467,331221,0.875
1655875813.9750135,341257,1.0
1655875953.5686193,351279,0.96875
1655876089.1198673,361308,1.0
1655876227.974829,371326,0.96875
1655876358.7044826,381327,0.90625
1655876468.3205938,391370,0.84375
1655876584.092996,401435,0.90625
1655876707.1766849,411458,0.875
1655876829.2909153,421464,0.9375
1655876953.8454256,431516,0.96875
1655877075.3140483,441523,0.9375
1655877192.673309,451555,0.9375
1655877305.473847,461564,0.96875
1655877424.6889398,471607,0.96875
1655877552.052465,481647,1.0
1655877673.6657853,491657,0.9375
1655877798.7970228,501667,1.0
1655877919.7493315,511698,1.0
1655878043.8983722,521701,0.96875
1655878167.1038065,531748,0.96875
1655878294.8018544,541776,0.96875
1655878415.11231,551800,1.0
1655878528.998963,561843,1.0
1655878648.609277,571881,0.96875
1655878772.3140788,581922,0.90625
1655878894.5100224,591941,0.96875
1655879024.4287243,601981,0.96875
1655879144.335491,612020,1.0
1655879269.5663877,622043,0.96875
1655879388.6573198,632045,1.0
1655879509.3106236,642051,1.0
1655879636.4708498,652070,1.0
1655879756.1390946,662074,1.0
1655879876.5016499,672105,0.90625
1655879996.8192468,682127,0.9375
1655880113.863947,692150,1.0
1655880233.7176087,702158,1.0
1655880357.3538249,712198,1.0
1655880473.9951947,722204,0.96875
1655880592.4494693,732227,1.0
1655880706.934395,742239,0.96875
1655880815.963571,752250,1.0
1655880933.699216,762276,1.0
1655881057.3674731,772304,1.0
1655881173.709319,782311,1.0
1655881291.0056918,792317,1.0
1655881406.437261,802320,1.0
1655881526.2892919,812336,1.0
1655881650.2373643,822378,0.96875
1655881769.025134,832382,0.96875
1655881886.3078408,842420,1.0
1655882003.3775887,852463,1.0
1655882125.5100007,862517,1.0
1655882248.1480603,872528,1.0
1655882375.8828464,882537,1.0
1655882490.5348816,892573,1.0
1655882606.0964756,902584,0.96875
1655882726.4912355,912602,1.0
1655882847.0777597,922630,1.0
1655882967.5397437,932644,1.0
1655883092.4832547,942673,1.0
1655883212.91493,952673,1.0
1655883331.1031299,962692,1.0
1655883447.3645332,972701,1.0
1655883567.8382685,982731,1.0
1655883683.2336593,992759,1.0
