Wall time,Step,Value
1655862835.875688,300,0.0
1655862904.4030597,10346,0.0
1655862983.9685807,20512,0.0
1655863071.9823496,30712,0.0
1655863156.445805,40912,0.0
1655863244.6828675,51112,0.0
1655863330.9380136,61312,0.0
1655863416.8221319,71567,0.0
1655863495.4418125,81581,0.0
1655863575.2627058,91617,0.0
1655863663.8630965,101620,0.0
1655863742.3948407,111828,0.0
1655863837.2023616,121867,0.0
1655863964.1826644,131872,0.0
1655864091.5686164,141895,0.0
1655864221.3451705,151929,0.0
1655864346.6251082,161967,0.0
1655864471.8268335,172009,0.0
1655864586.1538637,182027,0.0
1655864710.9325533,192027,0.0
1655864838.8973343,202044,0.0
1655864962.30354,212056,0.0
1655865082.5868742,222075,0.0
1655865206.1751363,232105,0.0
1655865330.0409338,242119,0.0
1655865450.9422414,252120,0.0
1655865578.0338378,262152,0.0
1655865697.1262152,272178,0.0
1655865819.2013345,282205,0.0
1655865939.226005,292221,0.0
1655866062.105463,302261,0.0
1655866174.1522145,312302,0.0
1655866303.04045,322338,0.0
1655866417.031859,332377,0.0
1655866498.4976797,342402,0.0
1655866565.5573752,352419,0.0
1655866635.0630832,362427,0.0
1655866710.952035,372432,0.0
1655866776.5403712,382441,0.0
1655866845.9517663,392459,0.0
1655866913.0936317,402476,0.0
1655866984.293696,412491,0.0
1655867051.4093904,422503,0.0
1655867128.601765,432517,0.0
1655867194.2209547,442560,0.0
1655867281.4428377,452575,0.0
1655867362.2236743,462601,0.0
1655867443.1100898,472633,0.0
1655867526.485915,482650,0.0
1655867616.296436,492658,0.0
1655867695.28288,502668,0.0
1655867777.7176664,512674,0.1875
1655867863.781861,522707,0.3125
1655867945.1927552,532738,0.125
1655868028.1419122,542747,0.28125
1655868110.0519693,552769,0.15625
1655868190.5594718,562776,0.0625
1655868273.060856,572790,0.34375
1655868355.0973759,582805,0.125
1655868441.4166174,592839,0.34375
1655868528.8185203,602868,0.09375
1655868609.6964746,612893,0.625
1655868695.555063,622895,0.53125
1655868774.5947912,632905,0.21875
1655868855.129702,642913,0.34375
1655868933.5788722,652952,0.3125
1655869013.7358449,662962,0.25
1655869086.7393115,672988,0.25
1655869157.29714,682998,0.3125
1655869231.4283996,693029,0.0
1655869303.1806655,703041,0.34375
1655869372.933771,713081,0.25
1655869432.6218257,723095,0.5625
1655869495.4688447,733097,0.46875
1655869560.0617952,743123,0.34375
1655869622.9798033,753166,0.84375
1655869685.395001,763187,0.71875
1655869755.7741764,773217,0.4375
1655869819.2937553,783225,0.59375
1655869880.105063,793238,0.71875
1655869944.469722,803261,0.40625
1655870008.0303373,813265,0.9375
1655870069.6338844,823302,0.75
1655870138.5214446,833320,0.65625
1655870202.4612796,843357,0.71875
1655870264.796528,853372,0.46875
1655870325.8265178,863374,0.78125
1655870390.4659953,873410,0.78125
1655870460.0715196,883446,0.90625
1655870519.968658,893450,0.84375
1655870583.4396582,903469,0.90625
1655870647.641417,913499,0.875
1655870710.3545954,923511,0.9375
1655870774.058952,933534,1.0
1655870845.3081667,943566,0.9375
1655870909.2371547,953583,0.90625
1655870970.2836614,963621,1.0
1655871034.4007862,973626,1.0
1655871099.0222313,983651,0.78125
1655871160.268374,993687,1.0
