Wall time,Step,Value
1655774570.1770709,47,0.0
1655774753.4882598,10092,0.0
1655774939.1260726,20093,0.03125
1655775125.5964837,30120,0.0625
1655775313.9734142,40156,0.0625
1655775482.6092002,50176,0.4375
1655775661.1995275,60255,0.75
1655775828.9341528,70256,0.875
1655775999.7322874,80273,1.0
1655776179.4425533,90301,0.78125
1655776359.492487,100326,0.3125
1655776549.0428483,110329,0.21875
1655776735.952579,120359,0.3125
1655776927.4452295,130394,0.4375
1655777114.8595116,140395,0.09375
1655777296.1743042,150435,0.3125
1655777478.5477252,160476,0.40625
1655777668.859341,170618,0.125
1655777861.3438392,180621,0.3125
1655778051.1151311,190666,0.1875
1655778233.0326552,200675,0.375
1655778411.6830795,210699,0.53125
1655778602.1438086,220706,0.59375
1655778782.9963377,230763,0.71875
1655778972.0394306,240791,0.65625
1655779164.2354462,250812,0.5625
1655779349.7811062,260832,0.71875
1655779547.534978,270858,0.59375
1655779740.6442468,280909,0.875
1655779926.4123676,290928,0.625
1655780112.9409907,300942,0.5625
1655780301.1254213,310945,0.84375
1655780488.9908292,320966,0.6875
1655780685.018873,330987,0.875
1655780871.4818337,341026,0.78125
1655781056.2096999,351057,0.8125
1655781240.6904354,361087,0.8125
1655781423.2408519,371136,0.75
1655781606.753375,381142,0.53125
1655781804.6671681,391160,0.625
1655781993.5728683,401163,0.78125
1655782177.2285526,411214,0.875
1655782363.061439,421240,0.96875
1655782550.1740224,431270,0.96875
1655782747.9874017,441295,0.9375
1655782934.1070704,451325,0.875
1655783120.6556964,461347,0.9375
1655783307.2181683,471386,0.96875
1655783495.3402705,481413,0.96875
1655783681.4114778,491468,0.9375
1655783874.9428608,501508,0.875
1655784059.4076374,511536,1.0
1655784244.3633518,521598,0.84375
1655784426.0966914,531632,0.96875
1655784611.967969,541654,1.0
1655784802.6882956,551667,0.90625
1655784984.3299193,561694,0.96875
1655785169.842178,571754,0.96875
1655785353.1708887,581765,0.9375
1655785536.3831823,591770,0.96875
1655785715.4842823,601815,0.96875
1655785901.0320308,611815,0.96875
1655786080.7790177,621840,0.875
1655786264.7832692,631863,0.9375
1655786449.3491228,641870,1.0
1655786628.9601688,651907,0.9375
1655786818.7244904,661951,0.9375
1655787003.7529933,672020,0.96875
1655787186.202251,682062,1.0
1655787370.4568632,692087,0.9375
1655787554.9226875,702107,1.0
1655787740.1731474,712148,1.0
1655787934.1618047,722179,1.0
1655788120.0488238,732204,0.96875
1655788306.3228397,742229,0.96875
1655788489.8055108,752236,0.90625
1655788675.1554408,762280,0.9375
1655788868.2305467,772283,0.9375
1655789058.2182586,782325,1.0
1655789247.7600505,792328,1.0
1655789434.9153006,802372,1.0
1655789619.8821597,812394,0.96875
1655789800.105301,822399,0.96875
1655789993.91493,832445,0.96875
1655790177.0646994,842471,1.0
1655790364.2272902,852527,1.0
1655790544.9849865,862553,1.0
1655790728.1066716,872563,1.0
1655790908.1424541,882565,0.96875
1655791099.7579408,892617,1.0
1655791285.1273794,902619,0.90625
1655791469.0442314,912632,1.0
1655791653.7136152,922645,0.9375
1655791838.2144628,932648,0.9375
1655792029.083568,942667,1.0
1655792211.387346,952682,1.0
1655792391.5333855,962717,0.96875
1655792579.5204127,972752,1.0
1655792758.7525933,982798,1.0
1655792937.168027,992833,1.0
