Wall time,Step,Value
1655430408.491806,35,0.0
1655430703.9660954,10040,0.0
1655430991.9846468,20045,0.0
1655431289.713914,30066,0.0
1655431594.797595,40079,0.0
1655431883.5148094,50087,0.0
1655432184.9700363,60113,0.0
1655432470.8529716,70122,0.0
1655432768.5225723,80125,0.0
1655433058.2440991,90141,0.0
1655433344.7070756,100145,0.0
1655433626.0915947,110155,0.0
1655433929.8003416,120160,0.0
1655434219.7362502,130178,0.0
1655434501.8893192,140190,0.0
1655434793.378168,150215,0.03125
1655435079.719993,160216,0.0
1655435367.5564916,170236,0.0
1655435655.6439993,180260,0.03125
1655435936.6598883,190276,0.0
1655436208.039847,200301,0.0625
1655436481.1928823,210336,0.0625
1655436756.409929,220364,0.09375
1655437028.8856905,230395,0.09375
1655437310.531703,240431,0.09375
1655437585.6871839,250450,0.21875
1655437856.979394,260455,0.15625
1655438128.5145128,270497,0.15625
1655438408.1451359,280536,0.15625
1655438683.2016354,290568,0.34375
1655438965.4936574,300604,0.15625
1655439237.3133326,310612,0.21875
1655439498.427954,320632,0.1875
1655439778.503303,330681,0.03125
1655440031.82115,340683,0.1875
1655440302.411117,350773,0.21875
1655440570.07995,360779,0.21875
1655440827.6334453,370780,0.21875
1655441102.0430553,380809,0.25
1655441358.467783,390852,0.25
1655441632.2084167,400870,0.28125
1655441893.9271371,410886,0.3125
1655442161.0556672,420903,0.375
1655442442.9450688,430914,0.34375
1655442736.5037065,440927,0.375
1655443011.8999798,450970,0.53125
1655443291.1897402,461001,0.4375
1655443565.3608887,471146,0.375
1655443846.7149496,481158,0.375
1655444121.2207782,491192,0.375
1655444374.4637954,501226,0.375
1655444633.083541,511595,0.5
1655444905.0785131,521597,0.40625
1655445187.7104936,531640,0.5625
1655445464.352432,541660,0.3125
1655445744.7633054,551693,0.625
1655446023.2766058,561999,0.5
1655446311.8863437,572326,0.40625
1655446558.0439014,582330,0.59375
1655446812.9398549,592540,0.5
1655447054.229625,602760,0.5625
1655447295.885173,612791,0.59375
1655447543.884539,622815,0.6875
1655447760.3602383,632984,0.53125
1655448020.603988,643017,0.71875
1655448252.1679611,653327,0.6875
1655448547.5906322,663362,0.78125
1655448812.9788053,673411,0.8125
1655449063.8791032,683432,0.8125
1655449331.3046296,693478,0.90625
1655449631.7837288,703501,0.78125
1655449937.9676309,713521,0.75
1655450229.459175,723546,0.8125
1655450545.6618586,733596,0.875
1655450841.278708,743606,0.90625
1655451121.117385,753628,0.8125
1655451419.7388196,763631,0.875
1655451748.5013618,773672,0.9375
1655452059.092868,783698,0.9375
1655452378.7236996,793715,0.875
1655452674.020573,803733,0.90625
1655452995.3130612,813751,0.9375
1655453308.975132,823778,1.0
1655453617.6037986,833792,1.0
1655453926.8807464,843846,0.96875
1655454234.3634088,853865,0.90625
1655454544.353633,863906,0.9375
1655454868.7867234,873945,0.96875
1655455183.3237746,883990,0.9375
1655455483.8893735,894028,0.9375
1655455775.2467687,904041,0.90625
1655456083.0249825,914070,0.96875
1655456367.93737,924106,0.84375
1655456668.9210413,934122,0.96875
1655456954.3000133,944168,0.9375
1655457234.2136903,954179,0.75
1655457506.962801,964196,0.9375
1655457779.3143291,974219,0.96875
1655458052.7047799,984267,0.96875
1655458327.5369608,994288,0.96875
1655458589.046932,1004301,0.96875
1655458864.2525938,1014326,1.0
1655459130.1031878,1024342,0.96875
1655459404.6781743,1034356,0.9375
1655459681.3589528,1044395,0.9375
1655459949.933913,1054436,0.9375
1655460225.058259,1064485,0.9375
1655460495.5070002,1074529,0.9375
1655460752.3834279,1084530,1.0
1655461018.386992,1094538,0.90625
1655461294.6877668,1104543,1.0
1655461555.2817976,1114553,0.90625
1655461815.6365077,1124570,0.96875
1655462079.9832025,1134603,0.96875
1655462335.9846814,1144640,0.96875
1655462592.6621804,1154665,1.0
1655462859.106124,1164683,0.96875
1655463128.7746704,1174727,1.0
1655463392.7441537,1184750,0.96875
1655463655.8116,1194759,0.96875
1655463922.9400012,1204763,1.0
1655464202.1994638,1214793,0.96875
1655464463.0857334,1224809,0.96875
1655464728.5918992,1234839,0.96875
1655464994.3381493,1244881,0.96875
1655465260.5142121,1254891,0.9375
1655465525.2292454,1264892,0.96875
1655465803.394422,1274900,1.0
1655466070.8663216,1284932,0.96875
1655466345.9779406,1294975,1.0
1655466601.8804388,1305009,1.0
1655466878.550258,1315050,1.0
1655467145.1387134,1325092,0.96875
1655467382.5410302,1335121,0.96875
1655467642.7090328,1345129,0.9375
1655467913.3476493,1355171,0.96875
1655468175.162593,1365199,0.96875
1655468438.5830607,1375242,0.96875
1655468714.4012887,1385266,1.0
1655468985.090027,1395280,1.0
1655469255.2434704,1405283,1.0
1655469525.7205758,1415283,1.0
1655469790.328957,1425322,0.96875
1655470062.9220872,1435328,0.96875
1655470303.094496,1445365,0.9375
1655470560.0106778,1455376,1.0
1655470826.6915472,1465398,0.96875
1655471088.6032634,1475423,1.0
1655471352.9104505,1485456,1.0
1655471624.930919,1495465,0.96875
