Wall time,Step,Value
1655518945.0156054,33,0.0
1655519138.472329,10046,0.0
1655519313.2989852,20065,0.0
1655519515.7750893,30086,0.0
1655519727.9596112,40086,0.0
1655519936.5930095,50100,0.0
1655520127.776843,60102,0.0
1655520313.6109054,70111,0.0
1655520487.4138522,80123,0.0
1655520666.39557,90132,0.0
1655520837.5923784,100147,0.0
1655521009.664617,110148,0.0
1655521174.2602322,120167,0.0
1655521335.0892222,130190,0.0
1655521491.8509624,140209,0.0
1655521647.8629825,150248,0.0
1655521799.4693708,160252,0.0
1655521945.6471708,170258,0.0
1655522077.305838,180268,0.0
1655522218.315394,190280,0.0
1655522362.207009,200287,0.0
1655522507.0815673,210316,0.0
1655522697.5641289,220460,0.0
1655522838.4321475,230487,0.0
1655522987.22136,240494,0.0
1655523148.9272587,250518,0.0
1655523300.5484548,260547,0.0
1655523447.255079,270569,0.0
1655523598.4174356,280592,0.0
1655523745.4979606,290666,0.0
1655523891.2509997,300667,0.0
1655524042.9014382,310680,0.0
1655524192.6232731,320713,0.0
1655524338.4459994,330904,0.0
1655524495.425703,340920,0.0
1655524645.740319,350930,0.0
1655524782.9921057,360933,0.0
1655524933.316319,370943,0.0
1655525089.2237124,380964,0.0
1655525235.176645,390966,0.0
1655525397.1220906,400969,0.0
1655525555.1949098,410997,0.0
1655525716.0302386,420999,0.0
1655525880.0365107,431027,0.0
1655526039.091804,441053,0.0
1655526205.3503,451073,0.0
1655526357.889572,461074,0.0
1655526520.161879,471103,0.0
1655526673.6305926,481120,0.0
1655526826.9502072,491162,0.0
1655526989.2720754,501196,0.0
1655527145.43844,511222,0.0
1655527293.525338,521258,0.0
1655527438.567345,531276,0.0
1655527603.8111134,541278,0.0
1655527749.932733,551289,0.0
1655527911.3718834,561323,0.0
1655528083.9821925,571333,0.0
1655528234.7444544,581365,0.0
1655528398.9653656,591383,0.0
1655528566.9446864,601383,0.0
1655528721.967885,611415,0.0
1655528899.5817769,621444,0.0
1655529073.7661166,631478,0.0
1655529230.782114,641511,0.0
1655529400.8887873,651535,0.0
1655529560.974527,661571,0.0
1655529715.1956193,671622,0.0
1655529877.088247,681660,0.0
1655530038.5882273,691673,0.0
1655530193.687166,701702,0.0
1655530362.2413082,711758,0.0
1655530519.1835344,721775,0.0
1655530691.316301,731811,0.0
1655530855.0555263,741825,0.0
1655531018.6180494,751870,0.0
1655531169.3624344,761889,0.0
1655531346.2627666,771947,0.0
1655531518.772162,781947,0.0
1655531673.8645175,792079,0.0
1655531844.741475,802081,0.0
1655532015.25269,812118,0.0
1655532183.567193,822174,0.0
1655532349.3412433,832178,0.0
1655532533.1561372,842189,0.0
1655532702.807944,852242,0.0
1655532869.8300064,862371,0.0
1655533037.434663,872372,0.0
1655533205.2755847,882388,0.0
1655533383.9730654,892428,0.0
1655533555.882246,902620,0.0
1655533716.84335,912673,0.0
1655533890.0922706,922784,0.0
1655534054.1434038,932806,0.0
1655534238.4424427,942821,0.0
1655534407.9614353,952876,0.0
1655534575.8771555,962900,0.0
1655534746.4667954,972903,0.0
1655534918.7264614,982942,0.0
1655535087.5428443,992953,0.0
1655535264.27357,1002964,0.0
1655535426.5495589,1013020,0.0
1655535599.882396,1023086,0.0
1655535767.4448962,1033130,0.0
1655535933.347541,1043195,0.0
1655536108.2099562,1053225,0.0
1655536280.7117817,1063230,0.0
1655536443.7365792,1073248,0.0
1655536607.8591614,1083421,0.0
1655536776.9122353,1093447,0.0
1655536947.1604698,1103604,0.0
1655537112.0239408,1113642,0.0
1655537284.1366746,1123646,0.0
1655537447.3211274,1133665,0.0
1655537613.9209414,1143705,0.0
1655537783.0444615,1153752,0.0
1655537948.575581,1163829,0.0
1655538111.6599436,1173879,0.0
1655538278.0225067,1183934,0.0
1655538439.543819,1193947,0.0
1655538610.618122,1204041,0.0
1655538771.1325734,1214069,0.0
1655538930.8296773,1224098,0.0
1655539100.4747608,1234186,0.0
1655539260.9098072,1244247,0.0
1655539426.1786423,1254279,0.0
1655539578.298196,1264392,0.03125
1655539742.9022644,1274396,0.0
1655539908.7351954,1284417,0.0
1655540081.0663333,1294553,0.03125
1655540250.2059457,1304629,0.0
1655540408.978057,1314713,0.09375
1655540566.3279147,1324802,0.09375
1655540727.7038713,1334833,0.03125
1655540894.2308226,1345078,0.03125
1655541063.7623253,1355145,0.0
1655541228.355513,1365237,0.0
1655541392.3986957,1375246,0.03125
1655541549.1156576,1385377,0.0625
1655541731.4830766,1395526,0.0625
1655541890.6461267,1405560,0.15625
1655542044.0162406,1415573,0.0625
1655542202.727701,1425612,0.15625
1655542357.093076,1435668,0.25
1655542525.2963428,1445721,0.125
1655542677.3638172,1455798,0.09375
1655542834.8321939,1465835,0.1875
1655542992.8568194,1475906,0.21875
1655543153.864621,1486033,0.28125
1655543318.9306457,1496078,0.09375
1655543480.2288654,1506180,0.21875
1655543638.8616302,1516293,0.0625
1655543808.8876593,1526448,0.21875
1655543979.0320644,1536476,0.21875
1655544129.302795,1546574,0.3125
1655544300.6894135,1556765,0.34375
1655544459.4684994,1566858,0.3125
1655544625.8803604,1576940,0.34375
1655544787.459836,1587003,0.1875
1655544948.9123197,1597020,0.21875
1655545110.7620409,1607114,0.3125
1655545265.7780116,1617157,0.375
1655545442.276255,1627203,0.5625
1655545606.9807634,1637251,0.25
1655545761.7764459,1647303,0.25
1655545925.0460865,1657328,0.375
1655546098.4058444,1667445,0.40625
1655546263.421372,1677509,0.34375
1655546424.5512133,1687510,0.375
1655546584.2375412,1697546,0.21875
1655546757.9168084,1707634,0.1875
1655546913.2816765,1717848,0.1875
1655547087.9622624,1727926,0.3125
1655547258.4355488,1738001,0.375
1655547425.2617393,1748027,0.40625
1655547590.5117147,1758076,0.15625
1655547764.8099751,1768244,0.40625
1655547937.6612859,1778374,0.3125
1655548117.5200465,1788450,0.28125
1655548282.5365448,1798505,0.09375
1655548457.4962535,1808651,0.4375
1655548627.671944,1818770,0.40625
1655548800.8226042,1828843,0.4375
1655548971.9810512,1838853,0.125
1655549146.886463,1848873,0.46875
1655549311.4854658,1858940,0.4375
1655549468.0582554,1868957,0.75
1655549631.9187455,1879062,0.6875
1655549811.6643279,1889278,0.5625
1655549997.346891,1899331,0.4375
1655550148.772684,1909353,0.4375
1655550320.434443,1919435,0.71875
1655550486.2668538,1929520,0.65625
1655550657.393355,1939655,0.65625
1655550822.9043808,1949821,0.5625
1655550998.1928153,1960015,0.53125
1655551161.2815201,1970203,0.59375
1655551326.6393325,1980315,0.65625
1655551494.3328278,1990418,0.8125
