Wall time,Step,Value
1655605801.6301925,24,0.0
1655605965.6524675,10044,0.0
1655606145.747854,20044,0.0
1655606336.8177576,30046,0.0
1655606521.6192055,40050,0.0
1655606699.0265954,50052,0.0
1655606881.7901294,60065,0.0
1655607048.8297536,70081,0.0
1655607203.0794623,80093,0.0
1655607365.2701213,90101,0.0
1655607529.8797622,100111,0.0
1655607681.3992646,110119,0.0
1655607843.21812,120131,0.0
1655607987.0081356,130134,0.0
1655608141.9174695,140145,0.0
1655608287.2436335,150162,0.0625
1655608441.052186,160165,0.03125
1655608596.8368104,170165,0.0625
1655608763.9322932,180172,0.03125
1655608917.729639,190174,0.0625
1655609079.0792665,200186,0.0
1655609239.0248911,210207,0.125
1655609397.5512123,220208,0.0625
1655609556.5831673,230218,0.09375
1655609726.1180983,240234,0.125
1655609884.5995083,250252,0.03125
1655610044.7985318,260252,0.125
1655610200.5164254,270256,0.09375
1655610357.1888025,280260,0.25
1655610505.298478,290265,0.0625
1655610660.7394855,300280,0.0625
1655610816.5606592,310285,0.0625
1655610961.5164766,320300,0.3125
1655611116.485945,330310,0.15625
1655611262.8547585,340332,0.1875
1655611419.7723649,350351,0.21875
1655611572.531806,360374,0.15625
1655611727.2312346,370374,0.3125
1655611874.5396752,380387,0.34375
1655612034.7939034,390395,0.09375
1655612181.2461543,400406,0.21875
1655612336.052249,410427,0.3125
1655612490.804518,420433,0.15625
1655612648.9216363,430434,0.5625
1655612794.1352487,440441,0.375
1655612951.575177,450462,0.46875
1655613113.01928,460473,0.34375
1655613265.3598983,470490,0.71875
1655613435.9714699,480503,0.5
1655613590.897488,490503,0.84375
1655613737.7517843,500505,0.78125
1655613897.1150758,510544,0.5
1655614050.3021557,520549,0.34375
1655614202.0229325,530555,0.78125
1655614366.8185663,540568,0.6875
1655614514.8396673,550574,0.71875
1655614668.8960958,560584,0.75
1655614827.004443,570594,0.75
1655614978.1935077,580599,0.6875
1655615138.7535973,590629,0.71875
1655615302.3236177,600644,0.78125
1655615462.8984666,610669,0.75
1655615617.9502728,620681,0.75
1655615779.6908317,630681,0.78125
1655615936.1515796,640699,0.90625
1655616095.1903841,650699,0.84375
1655616263.5918605,660708,0.84375
1655616420.142134,670728,0.8125
1655616580.6416798,680768,0.96875
1655616739.816671,690788,0.84375
1655616887.75898,700794,0.875
1655617041.8588521,710800,0.84375
1655617203.115647,720817,0.90625
1655617357.416191,730821,0.78125
1655617512.0701137,740840,0.84375
1655617666.2264433,750857,0.875
1655617820.0177088,760868,0.71875
1655617983.837461,770869,0.78125
1655618148.40114,780872,0.90625
1655618293.9335866,790879,0.875
1655618454.4150078,800889,0.96875
1655618600.9318814,810911,0.9375
1655618759.9002051,820936,0.875
1655618901.6816158,830936,0.875
1655619056.7002203,840946,0.96875
1655619206.4364762,850963,0.90625
1655619365.0460556,860975,0.8125
1655619520.7679603,870984,0.9375
1655619672.4367542,880995,0.90625
1655619823.058383,891011,0.96875
1655619983.3438616,901027,0.8125
1655620142.606222,911036,1.0
1655620285.9532373,921046,0.90625
1655620446.395074,931065,0.96875
1655620606.0997558,941085,1.0
1655620764.5690012,951090,0.84375
1655620921.3054836,961103,0.90625
1655621078.0238268,971112,0.90625
1655621236.182908,981131,0.96875
1655621390.5057886,991151,1.0
1655621543.9324193,1001162,0.8125
1655621696.8087978,1011169,0.9375
1655621860.3029003,1021185,0.90625
1655622010.7869065,1031207,0.875
1655622165.4487484,1041220,0.96875
1655622325.3469079,1051224,1.0
1655622477.5244322,1061234,0.96875
1655622625.0275295,1071248,0.8125
1655622790.8615017,1081252,0.84375
1655622952.6521459,1091263,0.96875
1655623096.783514,1101263,0.875
1655623251.3095484,1111273,0.90625
1655623411.7995381,1121278,0.9375
1655623561.239165,1131281,0.875
1655623726.1854398,1141292,1.0
1655623879.9755116,1151295,0.9375
1655624036.4694827,1161319,0.9375
1655624193.4016593,1171344,0.96875
1655624347.1586769,1181366,0.84375
1655624504.2182631,1191384,0.90625
1655624661.2229884,1201387,0.9375
1655624816.5723336,1211400,0.875
1655624974.5227945,1221415,0.90625
1655625136.0066366,1231418,0.96875
1655625293.7384646,1241421,1.0
1655625451.108351,1251440,0.96875
1655625617.1424985,1261463,0.875
1655625777.7010083,1271463,0.96875
1655625932.9709983,1281483,0.96875
1655626092.063656,1291494,0.90625
1655626248.7948086,1301502,0.90625
1655626406.7177348,1311507,0.9375
1655626567.3847833,1321520,0.96875
1655626720.3913298,1331534,0.9375
1655626876.4702659,1341550,0.90625
1655627025.182363,1351556,1.0
1655627181.7189307,1361570,0.875
1655627343.2141955,1371588,0.96875
1655627507.226277,1381597,0.90625
1655627667.702683,1391622,0.96875
1655627825.8165214,1401638,1.0
1655627983.178341,1411644,0.9375
1655628135.5259871,1421668,0.9375
1655628285.0324388,1431687,0.9375
1655628449.0962923,1441702,0.78125
1655628605.3121252,1451714,0.96875
1655628766.8133974,1461737,0.96875
1655628919.8117638,1471740,0.90625
1655629082.5515764,1481764,0.8125
1655629234.206148,1491787,0.875
