Wall time,Step,Value
1655655567.767669,32,0.375
1655655932.7428324,10050,0.5625
1655656334.3806782,20184,0.53125
1655656748.7268732,30193,0.5625
1655657197.3816833,40194,0.40625
1655657619.8261337,50198,0.4375
1655658025.9829242,60297,0.53125
1655658345.4135416,70315,0.5625
1655658661.8726144,80340,0.53125
1655659019.368743,90347,0.59375
1655659319.6545854,100363,0.5
1655659614.6103642,110438,0.5625
1655660058.4048285,120455,0.8125
1655660382.2500339,130473,0.5625
1655660712.663163,140488,0.5
1655660995.5369568,150554,0.53125
1655661309.7337732,160638,0.4375
1655661591.7304063,170748,0.375
1655661954.5714304,180757,0.4375
1655662277.7844775,190817,0.53125
1655662623.179283,200931,0.59375
1655662987.4614308,210938,0.625
1655663345.7219644,220946,0.875
1655663907.8968396,230961,1.0
1655664552.530328,240962,1.0
1655665090.876003,250963,0.9375
1655665588.6882083,260972,1.0
1655666173.5762756,270973,0.96875
1655666661.9573045,280979,1.0
1655667171.413959,290983,1.0
1655667680.751454,300988,1.0
1655668182.8367715,310996,1.0
1655668672.2843678,321000,1.0
1655669160.5216172,331000,1.0
1655669647.2414167,341009,1.0
1655670145.5582895,351019,1.0
1655670638.7279193,361026,1.0
1655671118.5690665,371037,1.0
1655671606.1393862,381042,1.0
1655672102.0037494,391045,1.0
1655672597.2056465,401049,1.0
1655673093.3496988,411057,1.0
1655673596.1880364,421062,1.0
1655674085.6755428,431067,1.0
1655674573.5213788,441067,1.0
1655675058.0624928,451073,1.0
1655675509.3671563,461079,1.0
1655675965.9722862,471080,1.0
1655676422.0191398,481087,1.0
1655676872.2423396,491090,1.0
1655677327.6784503,501092,1.0
1655677782.1195755,511094,1.0
1655678233.4729393,521099,1.0
1655678676.7595072,531099,1.0
1655679089.5158663,541112,1.0
1655679445.8964286,551116,1.0
1655679786.042401,561135,1.0
1655680152.0908945,571136,1.0
1655680541.4011557,581140,1.0
1655681009.4194627,591170,1.0
1655681439.2444656,601174,1.0
1655681855.3045535,611179,1.0
1655682276.0465624,621180,1.0
1655682681.4805617,631185,1.0
1655683083.6168902,641192,1.0
1655683484.0880144,651198,1.0
1655683882.4160686,661201,1.0
1655684283.0597813,671208,1.0
1655684680.5029242,681215,1.0
1655685076.3200793,691223,1.0
1655685468.4382682,701223,1.0
1655685861.410184,711228,1.0
1655686245.8041644,721238,1.0
1655686649.3235302,731245,1.0
1655687026.8502014,741247,1.0
1655687412.9784253,751251,1.0
1655687792.4663143,761257,1.0
1655688180.2331674,771260,1.0
1655688675.0632653,781260,1.0
1655689181.9834971,791262,1.0
1655689692.6066756,801263,1.0
1655690200.8716197,811270,1.0
1655690719.5315604,821275,1.0
1655691239.2939425,831278,1.0
1655691759.4570208,841283,1.0
1655692278.5018866,851284,1.0
1655692780.7139332,861288,1.0
1655693285.8123932,871289,1.0
1655693787.6116471,881293,1.0
1655694289.5753846,891299,1.0
1655694802.6773405,901300,1.0
1655695304.7974718,911300,1.0
1655695789.7472646,921301,1.0
1655696275.2740858,931307,1.0
1655696728.4815814,941312,1.0
1655697173.6282163,951319,1.0
1655697644.2496634,961323,1.0
1655698173.3080664,971329,1.0
1655698698.0136867,981335,1.0
1655699220.3283677,991341,1.0
1655699722.5575683,1001346,1.0
1655700217.6797178,1011350,1.0
1655700714.1788135,1021350,1.0
1655701187.8223805,1031350,0.96875
1655701692.8522627,1041351,1.0
1655702192.0604866,1051355,1.0
1655702695.5896366,1061356,1.0
1655703209.4670463,1071360,1.0
1655703704.0245214,1081369,1.0
1655704199.6240509,1091369,1.0
1655704718.4610143,1101370,1.0
1655705216.0668278,1111371,1.0
1655705730.1984572,1121375,1.0
1655706227.7454967,1131375,1.0
1655706734.4114873,1141380,1.0
1655707249.240228,1151383,1.0
1655707743.863419,1161385,1.0
1655708252.531722,1171390,1.0
1655708747.235381,1181390,1.0
1655709251.096584,1191395,1.0
1655709744.9684403,1201402,1.0
1655710238.4786472,1211403,1.0
1655710745.120972,1221407,1.0
1655711260.0274706,1231412,1.0
1655711757.4960542,1241413,1.0
1655712266.4148476,1251419,1.0
1655712775.477548,1261425,1.0
1655713270.6233668,1271429,1.0
1655713774.890809,1281431,1.0
1655714297.673585,1291435,1.0
1655714797.965895,1301438,1.0
1655715302.5915523,1311440,1.0
1655715808.1148865,1321442,1.0
1655716315.1991005,1331450,1.0
1655716820.7272298,1341453,1.0
1655717327.0811977,1351456,1.0
1655717820.5269926,1361456,1.0
1655718319.7087717,1371456,1.0
1655718808.2383077,1381458,1.0
1655719304.9391158,1391466,1.0
1655719803.3144128,1401474,1.0
1655720280.3276775,1411488,0.96875
1655720698.398296,1421501,0.96875
1655721171.0421627,1431505,1.0
1655721626.851824,1441512,0.96875
1655722038.8675284,1451521,1.0
1655722431.873713,1461532,0.96875
1655722850.1123838,1471532,1.0
1655723353.813701,1481533,1.0
1655723869.2122753,1491537,1.0
1655724351.0119243,1501544,1.0
1655724815.2884161,1511553,1.0
1655725266.37197,1521564,1.0
1655725773.100494,1531565,1.0
1655726287.3488262,1541568,1.0
1655726793.8515975,1551569,1.0
1655727294.451664,1561570,1.0
1655727801.245917,1571595,1.0
1655728306.9171724,1581597,1.0
1655728804.3304272,1591602,1.0
1655729318.755807,1601605,1.0
1655729814.051517,1611606,1.0
1655730316.11566,1621607,1.0
1655730816.1078923,1631611,1.0
1655731322.8761516,1641618,1.0
1655731812.4843736,1651622,1.0
1655732316.4406621,1661624,1.0
1655732797.2401552,1671631,1.0
1655733313.2748897,1681637,1.0
1655733821.2501132,1691640,1.0
1655734325.160009,1701642,1.0
1655734827.2447805,1711645,1.0
1655735351.2507098,1721656,1.0
1655735857.2678509,1731665,1.0
1655736364.1921535,1741666,1.0
1655736889.0200388,1751668,1.0
1655737399.246153,1761670,1.0
1655737911.0480378,1771677,1.0
1655738428.2163024,1781679,1.0
1655738943.8184247,1791681,1.0
1655739448.6793432,1801683,1.0
1655739968.3081408,1811683,1.0
1655740477.0059958,1821683,1.0
1655740977.1251502,1831684,1.0
1655741488.4258287,1841688,1.0
1655741993.8312876,1851697,1.0
1655742501.7813334,1861704,1.0
1655743013.9165719,1871706,1.0
1655743526.914225,1881708,1.0
1655744041.2312136,1891710,1.0
1655744570.808005,1901714,1.0
1655745091.0682468,1911722,1.0
1655745583.212961,1921727,1.0
1655746083.495855,1931734,1.0
1655746587.933301,1941736,1.0
1655747096.669331,1951741,1.0
1655747613.920658,1961742,1.0
1655748148.5688665,1971746,1.0
1655748647.4440482,1981751,1.0
1655749155.1100533,1991754,1.0
