Wall time,Step,Value
1655430831.5851436,32,0.0
1655431027.0591338,10040,0.0
1655431254.3808768,20059,0.0
1655431495.6987925,30077,0.0
1655431733.351563,40077,0.0
1655431962.5242155,50107,0.0
1655432171.3947332,60128,0.0
1655432380.0110188,70140,0.0
1655432592.2449102,80144,0.0
1655432806.3982756,90165,0.0
1655433028.6004362,100187,0.0
1655433250.0566626,110190,0.0
1655433474.2129712,120197,0.0
1655433691.7297802,130198,0.0
1655433898.5045798,140223,0.0
1655434107.1641965,150340,0.0
1655434326.6525385,160356,0.0
1655434551.5739284,170375,0.0
1655434777.407603,180409,0.0
1655434970.3544214,190469,0.0
1655435187.9947054,200489,0.0
1655435382.223765,210658,0.0
1655435592.001864,220660,0.0
1655435796.469855,230691,0.0
1655435985.7786012,240712,0.0
1655436179.722843,250728,0.0
1655436393.4401426,260733,0.0
1655436605.7935126,270754,0.0
1655436818.6472366,280755,0.0
1655437014.2825315,290755,0.0
1655437193.1583595,300771,0.0
1655437372.8867311,310787,0.0
1655437539.9796693,320798,0.0
1655437702.245958,330895,0.0
1655437883.4605806,340943,0.0
1655438057.008513,350966,0.0
1655438242.9379306,361014,0.0
1655438406.444877,371046,0.0
1655438628.7013133,381052,0.0
1655438894.5722542,391082,0.0
1655439174.6287663,401085,0.0
1655439455.763976,411102,0.0
1655439733.9884887,421102,0.0
1655440010.4505057,431120,0.0
1655440294.7022913,441146,0.0
1655440574.7687953,451157,0.03125
1655440848.2034497,461158,0.0
1655441125.7571254,471188,0.0
1655441401.7206957,481213,0.0
1655441676.7381575,491234,0.0
1655441934.3588154,501256,0.0625
1655442192.1540022,511387,0.03125
1655442446.4719892,521390,0.1875
1655442685.7135494,531402,0.09375
1655442901.057907,541427,0.0
1655443115.7235975,551450,0.0625
1655443343.9309056,561456,0.09375
1655443565.1719384,571469,0.03125
1655443786.3911006,581494,0.0625
1655443987.0240977,591586,0.0
1655444203.6203127,601586,0.03125
1655444425.8500042,611601,0.03125
1655444657.4991853,621629,0.0
1655444879.5871484,631637,0.21875
1655445098.1711888,641651,0.15625
1655445323.3264694,651672,0.03125
1655445545.4486217,661782,0.09375
1655445772.2466335,671785,0.0625
1655445999.7206979,681793,0.1875
1655446235.7165744,691811,0.0625
1655446468.578412,701815,0.09375
1655446710.3987725,711842,0.21875
1655446952.9179113,721851,0.03125
1655447196.3758817,731857,0.03125
1655447440.093879,741874,0.15625
1655447684.5389376,751903,0.03125
1655447922.4811728,761906,0.125
1655448172.674389,771932,0.03125
1655448422.8257182,781978,0.03125
1655448682.550897,791992,0.0625
1655448925.2966497,802024,0.1875
1655449161.2585895,812049,0.34375
1655449395.9892628,822064,0.28125
1655449626.2846253,832082,0.25
1655449842.4716222,842126,0.25
1655450065.8538933,852189,0.21875
1655450258.6656432,862191,0.34375
1655450442.8829103,872290,0.53125
1655450651.089548,882298,0.1875
1655450835.4285066,892322,0.03125
1655451030.0419111,902335,0.0
1655451198.5799265,912352,0.0625
1655451390.4800453,922378,0.1875
1655451591.1711318,932383,0.15625
1655451777.5080733,942547,0.28125
1655451962.203762,952640,0.3125
1655452159.4625292,962649,0.1875
1655452374.0879738,972680,0.0625
1655452571.7725828,982737,0.1875
1655452774.9235203,992761,0.53125
1655452978.8596997,1002791,0.25
1655453183.3210843,1012853,0.21875
1655453382.3025975,1022880,0.5
1655453592.6767533,1032890,0.53125
1655453791.3982759,1042896,0.46875
1655453985.521948,1053039,0.46875
1655454186.5718474,1063072,0.59375
1655454384.172653,1073081,0.625
1655454575.4806032,1083089,0.1875
1655454774.2402008,1093163,0.46875
1655454965.7030287,1103178,0.65625
1655455175.8960211,1113187,0.5
1655455378.081263,1123198,0.3125
1655455573.965204,1133217,0.4375
1655455779.0027235,1143302,0.1875
1655455976.69469,1153311,0.4375
1655456186.1909945,1163373,0.21875
1655456382.5243793,1173394,0.5
1655456593.0818858,1183409,0.28125
1655456794.7531953,1193412,0.3125
1655456989.0949087,1203433,0.34375
1655457196.124683,1213454,0.1875
1655457394.8128517,1223497,0.21875
1655457592.629581,1233660,0.03125
1655457789.7338462,1243672,0.25
1655457993.8336682,1253784,0.3125
1655458192.7794762,1263798,0.375
1655458410.0900264,1273860,0.25
1655458612.058807,1283928,0.5
1655458820.5324535,1293955,0.375
1655459008.082032,1303998,0.65625
1655459207.2275774,1314071,0.53125
1655459414.797297,1324083,0.59375
1655459625.2533562,1334103,0.75
1655459837.0006897,1344117,0.8125
1655460059.3458455,1354139,0.5625
1655460257.9578648,1364146,0.59375
1655460470.6763313,1374287,0.46875
1655460661.6507022,1384415,0.5
1655460870.4408765,1394548,0.25
1655461064.0002418,1404581,0.5
1655461274.663357,1414589,0.25
1655461474.941566,1424616,0.5
1655461685.3435805,1434636,0.65625
1655461897.0495307,1444676,0.71875
1655462115.3240166,1454702,0.34375
