Wall time,Step,Value
1655001394.8340287,51,0.0
1655001498.5085535,10070,0.0
1655001608.3905733,20104,0.0
1655001720.515839,30111,0.0
1655001832.6508641,40146,0.0
1655001940.837247,50186,0.0
1655002052.647154,60311,0.0
1655002156.7118812,70335,0.0
1655002263.1406884,80349,0.0
1655002371.8891592,90424,0.03125
1655002479.0115004,100426,0.0
1655002595.3139095,110429,0.0
1655002716.32326,120460,0.0
1655002830.8584962,130473,0.0625
1655002942.858296,140494,0.03125
1655003052.772466,150509,0.0625
1655003163.8091826,160548,0.0
1655003284.241191,170567,0.0
1655003397.3531196,180571,0.0
1655003510.938679,190593,0.0
1655003624.4950247,200618,0.0
1655003737.3283932,210648,0.0
1655003853.169858,220657,0.0
1655003972.8343406,230679,0.0
1655004085.7583654,240687,0.03125
1655004199.929958,250726,0.15625
1655004313.2574854,260766,0.0625
1655004424.9157884,270804,0.03125
1655004541.4921098,280822,0.0
1655004653.5767896,290854,0.03125
1655004764.901203,300890,0.03125
1655004874.6211133,310924,0.0
1655004982.87807,320935,0.0625
1655005091.0929086,330943,0.0
1655005206.8241217,340978,0.0
1655005316.8305404,350993,0.09375
1655005425.6553476,361019,0.0625
1655005532.9115202,371045,0.03125
1655005644.3501277,381085,0.0
1655005754.1911604,391108,0.0
1655005869.1936045,401120,0.0625
1655005976.7175395,411129,0.0
1655006085.3450713,421136,0.0
1655006198.8549812,431169,0.0
1655006310.98784,441196,0.03125
1655006430.0916042,451217,0.0
1655006541.5859635,461252,0.0625
1655006649.5957286,471352,0.0625
1655006758.5341852,481361,0.0
1655006865.7959304,491361,0.03125
1655006984.0480993,501494,0.0
1655007090.3058739,511500,0.09375
1655007200.748562,521509,0.0
1655007311.3010135,531605,0.09375
1655007422.257471,541710,0.0
1655007530.9928272,551847,0.03125
1655007646.5620196,561883,0.09375
1655007762.057314,571945,0.0
1655007873.1682727,582033,0.03125
1655007987.2751496,592037,0.0625
1655008101.8514524,602067,0.125
1655008223.4626608,612076,0.125
1655008335.1003253,622144,0.0625
1655008453.5709014,632172,0.125
1655008562.949376,642214,0.1875
1655008679.0325382,652224,0.09375
1655008793.7674084,662256,0.09375
1655008910.5819376,672287,0.125
1655009024.574412,682306,0.09375
1655009136.5757592,692333,0.09375
1655009248.301164,702341,0.0625
1655009369.6325285,712390,0.21875
1655009485.7593994,722425,0.21875
1655009602.7233407,732474,0.15625
1655009720.877614,742480,0.1875
1655009837.7604334,752527,0.25
1655009960.376761,762563,0.15625
1655010076.349772,772610,0.28125
1655010190.901431,782615,0.28125
1655010311.8837037,792632,0.15625
1655010428.6510334,802636,0.15625
1655010555.3453596,812646,0.15625
1655010676.21269,822682,0.34375
1655010797.030495,832684,0.25
1655010912.856781,842730,0.25
1655011023.0351973,852735,0.375
1655011148.3334231,862759,0.25
1655011266.2845173,872910,0.25
1655011386.578524,883054,0.25
1655011504.4424016,893085,0.15625
1655011618.8559506,903106,0.4375
1655011740.4338949,913132,0.375
1655011854.9416409,923143,0.40625
1655011973.4447486,933146,0.40625
1655012086.4528291,943163,0.40625
1655012204.0967448,953175,0.3125
1655012318.4011033,963206,0.21875
1655012443.2840497,973227,0.25
1655012560.4637809,983238,0.34375
1655012676.0461774,993279,0.40625
1655012789.0281236,1003322,0.25
1655012906.277496,1013364,0.4375
1655013028.1309388,1023510,0.40625
1655013140.9494116,1033543,0.4375
1655013256.088115,1043557,0.34375
1655013367.8204672,1053607,0.40625
1655013482.2995098,1063641,0.4375
1655013600.5776289,1073684,0.46875
1655013713.4537168,1083726,0.40625
1655013831.509582,1093732,0.375
1655013944.5281415,1103757,0.4375
1655014061.482171,1113768,0.40625
1655014176.631246,1123874,0.375
1655014298.766187,1133894,0.625
1655014415.7229793,1143918,0.5625
1655014531.6377218,1153920,0.46875
1655014645.6517203,1163938,0.5
1655014759.1105409,1173962,0.34375
1655014883.0371275,1184111,0.46875
1655014999.2780564,1194135,0.46875
1655015111.6138034,1204202,0.5625
1655015228.5270503,1214226,0.625
1655015343.3436148,1224276,0.6875
1655015455.1189811,1234285,0.625
1655015576.1236982,1244304,0.625
1655015687.110143,1254305,0.5
1655015799.5576026,1264340,0.59375
1655015914.3721402,1274398,0.8125
1655016030.0141573,1284432,0.46875
1655016149.4592445,1294482,0.625
1655016261.5847626,1304531,0.46875
1655016372.306557,1314587,0.71875
1655016485.0202727,1324592,0.5
1655016597.7627852,1334644,0.46875
1655016708.427787,1344682,0.5625
1655016824.7448437,1354705,0.65625
1655016934.4980834,1364744,0.71875
1655017044.7961118,1374761,0.78125
1655017155.3472772,1384792,0.625
1655017263.4306245,1394812,0.6875
1655017378.918719,1404863,0.46875
1655017485.7209418,1414880,0.78125
1655017591.9670315,1424888,0.65625
1655017701.6704245,1434907,0.53125
1655017807.5985382,1444937,0.625
1655017917.0658865,1454945,0.625
1655018033.389865,1464964,0.5
1655018141.1446912,1475003,0.6875
1655018246.1075058,1485018,0.6875
1655018352.7793336,1495036,0.40625
1655018460.7834148,1505075,0.65625
1655018576.3173466,1515102,0.8125
1655018685.067239,1525106,0.59375
1655018795.381731,1535177,0.5
1655018907.4789903,1545222,0.75
1655019012.8954098,1555271,0.53125
1655019130.6564295,1565275,0.6875
1655019243.5063446,1575295,0.53125
1655019351.302236,1585307,0.8125
1655019461.142608,1595327,0.65625
1655019572.6946225,1605366,0.65625
1655019685.0450733,1615422,0.78125
1655019801.3344305,1625447,0.5
1655019913.4035842,1635476,0.59375
1655020022.8018224,1645500,0.625
1655020131.6459308,1655552,0.59375
1655020242.0042076,1665568,0.5625
1655020361.9298284,1675584,0.46875
1655020471.565117,1685612,0.71875
1655020581.794636,1695637,0.65625
1655020694.8800788,1705680,0.78125
1655020807.136875,1715680,0.59375
1655020917.7272086,1725687,0.75
1655021033.65602,1735691,0.75
1655021143.205659,1745705,0.5625
1655021254.3207846,1755727,0.6875
1655021368.0202808,1765763,0.53125
1655021479.746824,1775784,0.65625
1655021596.3911107,1785800,0.71875
1655021706.9185174,1795844,0.75
1655021816.529284,1805888,0.625
1655021926.942376,1815933,0.59375
1655022037.8152318,1825976,0.6875
1655022151.5979762,1835983,0.75
1655022270.4484775,1846002,0.78125
1655022381.0361924,1856055,0.6875
1655022492.0167358,1866062,0.75
1655022603.3921418,1876082,0.71875
1655022716.0990505,1886142,0.6875
1655022830.7349343,1896149,0.71875
1655022940.7146168,1906165,0.84375
1655023051.776047,1916173,0.6875
1655023162.2668302,1926212,0.75
1655023274.4048896,1936270,0.65625
1655023387.7928543,1946298,0.65625
1655023505.6743991,1956333,0.71875
1655023616.9153569,1966351,0.71875
1655023726.3162262,1976367,0.78125
1655023835.128244,1986370,0.65625
1655023943.7341247,1996395,0.71875
1655024058.6728828,2006424,0.65625
1655024164.8300078,2016443,0.71875
1655024271.6162496,2026462,0.65625
1655024377.193529,2036478,0.59375
1655024484.8050041,2046525,0.625
1655024591.2633033,2056579,0.84375
1655024704.5805454,2066583,0.8125
1655024811.4669702,2076626,0.78125
1655024917.2667408,2086640,0.75
1655025022.7345128,2096671,0.6875
1655025127.629059,2106706,0.78125
1655025239.8842351,2116731,0.84375
1655025345.2615514,2126776,0.6875
1655025454.266572,2136826,0.71875
1655025560.9090266,2146856,0.5
1655025668.8172736,2156865,0.78125
1655025780.2619114,2166876,0.71875
1655025894.762562,2176895,0.71875
1655026006.2453604,2186931,0.65625
1655026116.5105662,2196950,0.78125
1655026225.2446945,2206966,0.71875
1655026335.5927148,2216989,0.75
1655026454.1895058,2227003,0.5625
1655026563.4114184,2237043,0.65625
1655026674.2555022,2247043,0.6875
1655026786.1746175,2257070,0.71875
1655026897.090571,2267089,0.75
1655027009.7837253,2277134,0.65625
1655027127.9621198,2287151,0.71875
1655027237.2619002,2297163,0.875
1655027345.8546834,2307163,0.875
1655027456.4637313,2317170,0.65625
1655027567.5090609,2327180,0.65625
1655027683.1308765,2337213,0.625
1655027791.0947568,2347253,0.6875
1655027902.8023067,2357268,0.84375
1655028012.697729,2367310,0.78125
1655028125.8090787,2377343,0.71875
1655028234.718396,2387413,0.71875
1655028350.2519472,2397445,0.78125
1655028456.4477596,2407445,0.65625
1655028564.6934214,2417477,0.59375
1655028674.4566886,2427477,0.84375
1655028784.408215,2437477,0.75
1655028902.1180854,2447525,0.6875
1655029010.0039053,2457550,0.6875
1655029116.6219583,2467579,0.84375
1655029225.5149639,2477646,0.78125
1655029334.891193,2487647,0.75
1655029450.3658082,2497690,0.59375
1655029558.1925645,2507691,0.65625
1655029666.9582098,2517722,0.78125
1655029778.192148,2527790,0.625
1655029889.1642716,2537809,0.65625
1655030001.4767694,2547841,0.8125
1655030117.8796313,2557857,0.65625
1655030227.868106,2567859,0.875
1655030337.0988576,2577910,0.78125
1655030449.834173,2587943,0.875
1655030557.3291419,2597943,0.71875
1655030676.4403763,2608002,0.53125
1655030786.8428464,2618028,0.84375
1655030896.3477156,2628028,0.71875
1655031009.5753045,2638057,0.5625
1655031120.234932,2648078,0.875
1655031231.0907876,2658081,0.78125
1655031348.1413162,2668245,0.875
1655031460.376067,2678303,0.71875
1655031571.4856424,2688320,0.78125
1655031683.3800607,2698359,0.8125
1655031795.00878,2708413,0.625
1655031911.9596646,2718427,0.71875
1655032022.2011316,2728441,0.75
1655032133.407788,2738443,0.71875
1655032243.843746,2748477,0.6875
1655032352.4130974,2758485,0.78125
1655032460.5975974,2768523,0.625
1655032576.0405326,2778565,0.78125
1655032685.016042,2788586,0.71875
1655032793.2779043,2798596,0.90625
1655032903.534092,2808647,0.71875
1655033012.7590086,2818673,0.625
1655033126.326995,2828684,0.59375
1655033232.633369,2838717,0.6875
1655033340.4755983,2848717,0.65625
1655033451.0178914,2858774,0.78125
1655033560.6529598,2868808,0.75
1655033668.83501,2878852,0.5
1655033784.5098195,2888900,0.65625
1655033894.270708,2898957,0.84375
1655034002.1543775,2909009,0.78125
1655034110.9536865,2919042,0.8125
1655034217.3312345,2929075,0.71875
1655034333.6698806,2939117,0.8125
1655034441.9150798,2949156,0.71875
1655034549.1378174,2959165,0.6875
1655034658.5136156,2969167,0.78125
1655034767.7260253,2979202,0.71875
1655034876.3771029,2989240,0.78125
1655034992.949777,2999274,0.53125
1655035100.738842,3009321,0.8125
1655035209.2524583,3019328,0.75
1655035316.3161614,3029378,0.6875
1655035425.8123777,3039426,0.78125
1655035541.2112172,3049473,0.75
1655035650.679446,3059507,0.875
1655035755.3211238,3069538,0.78125
1655035862.0690122,3079568,0.71875
1655035970.792725,3089591,0.71875
1655036082.6172864,3099641,0.875
1655036192.6559796,3109680,0.75
1655036300.78317,3119727,0.75
1655036411.5104094,3129768,0.78125
1655036522.612106,3139791,0.75
1655036631.4222736,3149834,0.8125
1655036746.216886,3159838,0.8125
1655036852.467683,3169862,0.90625
1655036960.9947445,3179909,0.875
1655037068.8722317,3189947,0.90625
1655037175.440315,3199993,0.75
1655037291.0312355,3210004,0.78125
1655037399.883237,3220067,0.84375
1655037506.8125966,3230091,0.84375
1655037617.5508204,3240102,0.875
1655037725.025248,3250124,0.6875
1655037833.5184488,3260128,0.8125
1655037947.4309652,3270139,0.96875
1655038055.8748057,3280174,0.78125
1655038167.0832114,3290225,0.75
1655038276.6319494,3300256,0.90625
1655038386.6886601,3310311,0.78125
1655038504.1337132,3320311,0.71875
1655038612.1060708,3330327,0.6875
1655038720.406373,3340328,0.8125
1655038831.91751,3350379,0.71875
1655038938.7032588,3360397,0.90625
1655039047.1881976,3370402,0.8125
1655039162.3389735,3380426,0.90625
1655039273.2744393,3390462,0.9375
1655039381.4562032,3400482,0.78125
1655039491.763027,3410508,0.84375
1655039598.7330618,3420553,0.8125
1655039714.761893,3430597,0.875
1655039823.6320589,3440626,0.78125
1655039931.2914686,3450636,0.84375
1655040041.114384,3460644,0.84375
1655040147.874488,3470649,0.8125
1655040255.891988,3480681,0.8125
1655040370.1082816,3490724,0.90625
1655040478.069262,3500725,0.71875
1655040587.9496033,3510776,0.875
1655040695.4638546,3520816,0.78125
1655040805.847826,3530857,0.75
1655040921.3820424,3540885,0.8125
1655041028.473158,3550886,0.90625
1655041135.8335028,3560924,0.90625
1655041244.9595702,3570957,0.875
1655041351.4345043,3580981,0.8125
1655041459.305811,3591009,0.78125
1655041574.0181427,3601009,0.84375
1655041680.129735,3611051,0.78125
1655041790.3492265,3621076,0.75
1655041897.7573326,3631120,0.875
1655042004.6669688,3641164,0.9375
1655042118.9357684,3651164,0.78125
1655042226.4875276,3661189,0.8125
1655042336.9187343,3671238,0.84375
1655042443.6671836,3681244,0.8125
1655042550.2108638,3691258,0.84375
1655042658.3105972,3701286,0.875
1655042774.2196238,3711335,0.6875
1655042882.6727388,3721367,0.9375
1655042989.8546128,3731371,0.96875
1655043098.9029915,3741397,1.0
1655043207.6813273,3751435,0.90625
1655043321.1891522,3761457,0.875
1655043431.9641306,3771495,0.8125
1655043539.8180711,3781541,0.84375
1655043646.9811692,3791579,0.84375
1655043753.5658147,3801627,0.90625
1655043860.230289,3811662,0.875
1655043973.3424737,3821702,0.875
1655044081.292693,3831746,0.71875
1655044188.566189,3841799,0.84375
1655044298.5528126,3851861,0.90625
1655044406.476705,3861880,0.8125
1655044521.128007,3871932,0.84375
1655044630.321887,3881970,0.90625
1655044737.8257985,3891982,1.0
1655044845.6716259,3902019,0.90625
1655044953.453156,3912064,0.8125
1655045069.0922306,3922089,0.90625
1655045176.4240456,3932109,0.90625
1655045283.8075714,3942229,0.8125
1655045391.913112,3952239,0.84375
1655045498.077151,3962263,0.8125
1655045604.4672425,3972311,0.8125
1655045718.953968,3982344,0.875
1655045826.6667624,3992391,0.8125
1655045936.7789595,4002418,0.875
1655046044.2561238,4012426,0.96875
1655046153.0652125,4022469,0.6875
1655046268.039836,4032506,0.90625
1655046376.515634,4042537,0.78125
1655046484.1259003,4052538,0.84375
1655046592.8801177,4062595,0.90625
1655046701.0238152,4072644,0.84375
1655046808.3767757,4082652,0.84375
1655046921.5788991,4092653,0.84375
1655047030.9612975,4102722,0.75
1655047139.324464,4112752,0.78125
1655047246.6005356,4122790,0.78125
1655047353.2598565,4132809,0.84375
1655047467.388921,4142842,0.8125
1655047576.2862222,4153006,0.84375
1655047685.8335054,4163044,0.78125
1655047791.9694448,4173085,0.78125
1655047899.3837879,4183107,0.875
1655048008.1347463,4193160,0.8125
1655048124.7920308,4203213,0.8125
1655048234.120848,4213243,0.78125
1655048345.584963,4223270,0.875
1655048456.38619,4233328,0.8125
1655048566.2879817,4243329,0.84375
1655048679.0656738,4253361,0.78125
1655048787.877222,4263362,0.875
1655048898.2592845,4273400,0.78125
1655049004.8106332,4283433,0.90625
1655049113.3978722,4293445,0.90625
1655049224.394784,4303503,0.8125
1655049337.030955,4313520,0.8125
1655049444.2355015,4323541,0.90625
1655049535.787243,4333567,0.71875
1655049626.433904,4343621,0.90625
1655049717.1014822,4353629,0.78125
1655049813.478679,4363644,0.78125
1655049904.4383779,4373777,0.90625
1655049994.1571698,4383824,0.78125
1655050085.5822284,4393862,0.8125
1655050176.2520165,4403894,0.875
1655050264.7217202,4413916,0.65625
1655050362.4376864,4423961,0.8125
1655050453.8429375,4433985,0.8125
1655050546.7362964,4443987,0.71875
1655050638.6647964,4454011,0.9375
1655050729.1968565,4464049,0.875
1655050827.636201,4474091,0.8125
1655050914.2516706,4484093,0.71875
1655051004.3369548,4494101,0.78125
1655051094.8298979,4504157,0.78125
1655051187.2465596,4514160,0.8125
1655051279.119804,4524179,0.875
1655051376.4829493,4534185,0.84375
1655051468.2561026,4544217,0.78125
1655051558.197958,4554247,0.96875
1655051649.5596578,4564282,0.84375
1655051742.929141,4574288,0.9375
1655051842.0558543,4584298,0.78125
1655051932.4021604,4594307,0.8125
1655052025.6076796,4604349,0.8125
1655052118.0714002,4614361,0.90625
1655052210.2530308,4624400,0.9375
1655052302.1104863,4634410,0.90625
1655052402.487372,4644471,0.90625
1655052494.5098236,4654528,0.875
1655052586.5755856,4664547,0.96875
1655052679.9644916,4674563,0.8125
1655052770.5273387,4684582,0.9375
1655052868.5760326,4694623,0.9375
1655052962.5108068,4704663,0.84375
1655053054.880525,4714706,0.8125
1655053149.7208686,4724748,0.84375
1655053241.3379798,4734773,0.84375
1655053333.260725,4744803,0.875
1655053432.0437815,4754839,0.90625
1655053524.4787817,4764872,0.9375
1655053614.8741307,4774907,0.90625
1655053706.868275,4784956,0.84375
1655053799.8103073,4794969,0.90625
1655053898.151067,4804979,0.96875
1655053989.2203026,4814991,0.8125
1655054081.0329537,4825020,0.875
1655054171.0288854,4835052,0.90625
1655054264.3860059,4845077,0.84375
1655054356.5823195,4855102,0.9375
1655054454.6105156,4865106,0.8125
1655054546.2351477,4875119,0.875
1655054636.8660312,4885163,0.8125
1655054728.749969,4895187,0.9375
1655054821.396776,4905205,0.90625
1655054917.3669586,4915231,0.90625
1655055010.863481,4925278,0.90625
1655055100.011453,4935290,0.9375
1655055191.7197266,4945330,0.78125
1655055283.310067,4955354,0.9375
1655055373.422146,4965392,0.84375
1655055469.8362586,4975427,0.875
1655055558.3595455,4985445,0.8125
1655055649.8647282,4995466,0.8125
