Wall time,Step,Value
1655635425.3618517,30,0.0
1655635526.8713167,10038,0.0
1655635631.051288,20047,0.0
1655635737.176183,30068,0.0
1655635844.3036854,40076,0.0
1655635951.8388162,50086,0.0
1655636061.223811,60107,0.0
1655636162.7815006,70108,0.0
1655636264.1137235,80109,0.0
1655636367.7035177,90127,0.0
1655636472.3255847,100135,0.0
1655636574.9398086,110142,0.0
1655636679.207409,120156,0.0
1655636787.449834,130171,0.0
1655636890.5820837,140174,0.0
1655636994.2390976,150180,0.0
1655637096.5105526,160188,0.0
1655637199.8266137,170189,0.0
1655637301.8599467,180197,0.0
1655637410.299556,190214,0.0
1655637510.8330073,200215,0.0
1655637610.999052,210223,0.0
1655637716.2014704,220223,0.0
1655637820.6218145,230233,0.0
1655637926.8517425,240252,0.0
1655638035.2693748,250252,0.0
1655638138.3334134,260255,0.0
1655638241.1749403,270271,0.0
1655638343.0159006,280287,0.0
1655638446.5528915,290295,0.0
1655638549.231293,300297,0.0
1655638659.9355538,310300,0.0
1655638761.3676999,320317,0.0
1655638864.0749822,330330,0.0
1655638970.0996792,340336,0.0
1655639074.783492,350352,0.0
1655639179.0853155,360357,0.0
1655639287.7069275,370358,0.0
1655639393.040864,380381,0.0
1655639495.5096858,390383,0.0
1655639596.1886728,400406,0.0
1655639699.8338594,410414,0.0
1655639804.9041722,420415,0.0
1655639913.8019047,430415,0.0
1655640019.2400584,440426,0.0
1655640122.9140975,450426,0.0
1655640226.330077,460443,0.0
1655640330.1572208,470471,0.0
1655640434.317709,480471,0.0
1655640540.887329,490492,0.0
1655640646.6123085,500517,0.0
1655640747.5943851,510517,0.0
1655640850.8766856,520521,0.0
1655640954.22222,530530,0.0
1655641057.508119,540554,0.0
1655641166.0553565,550564,0.0
1655641269.5882952,560585,0.0
1655641376.757522,570609,0.0
1655641478.6296732,580625,0.0
1655641583.1592536,590626,0.0
1655641692.8952603,600635,0.0
1655641797.2888904,610661,0.0
1655641903.3600323,620676,0.0
1655642006.3099637,630696,0.0
1655642112.067587,640699,0.0
1655642215.9086175,650710,0.0
1655642324.8852694,660717,0.0
1655642428.0049653,670717,0.0
1655642531.6814294,680718,0.0
1655642638.7438877,690729,0.0
1655642743.8537116,700731,0.0
1655642848.4994469,710738,0.0
1655642957.8378184,720750,0.0
1655643059.2383718,730775,0.0
1655643161.8605022,740793,0.0
1655643264.0983667,750813,0.0
1655643367.2387068,760837,0.0
1655643468.8679123,770843,0.0
1655643578.2934713,780847,0.0
1655643683.0761364,790847,0.0
1655643786.4221826,800868,0.0
1655643889.7178445,810892,0.0
1655643996.0456347,820895,0.0
1655644100.881529,830900,0.0
1655644212.9291894,840911,0.03125
1655644320.478523,850934,0.0
1655644428.290475,860939,0.0
1655644530.200005,870962,0.0
1655644633.9695823,880963,0.0
1655644741.1074433,890976,0.0
1655644851.855632,900993,0.0
1655644957.1121109,911002,0.0
1655645061.9214919,921004,0.0
1655645168.5698276,931028,0.0
1655645275.0226161,941029,0.03125
1655645380.8666234,951046,0.0
1655645489.8983932,961047,0.0
1655645592.891886,971055,0.0
1655645702.0785666,981068,0.0
1655645804.8105557,991071,0.0
1655645912.1023426,1001085,0.03125
1655646019.186788,1011108,0.0
1655646131.115751,1021121,0.0
1655646234.2636218,1031142,0.0
1655646336.2979312,1041158,0.03125
1655646442.0100024,1051166,0.0
1655646545.5242326,1061182,0.0
1655646650.6088002,1071201,0.0
1655646764.1547225,1081231,0.03125
1655646865.8911133,1091231,0.0
1655646968.6220722,1101252,0.0
1655647071.0976753,1111255,0.0
1655647175.906426,1121269,0.0
1655647282.052211,1131282,0.0
1655647392.063615,1141299,0.0
1655647498.8149726,1151299,0.03125
1655647600.9498127,1161328,0.0
1655647706.958586,1171334,0.0
1655647810.93363,1181339,0.0
1655647916.4316316,1191339,0.03125
1655648027.971424,1201354,0.03125
1655648131.9197967,1211361,0.03125
1655648234.688651,1221368,0.0
1655648337.4103377,1231372,0.03125
1655648442.0840814,1241379,0.0
1655648546.0961719,1251397,0.0
1655648657.29495,1261419,0.0
1655648760.4138699,1271436,0.0
1655648865.947655,1281453,0.0
1655648971.4655201,1291463,0.03125
1655649075.3605132,1301467,0.0
1655649178.8237405,1311492,0.03125
1655649292.621216,1321500,0.03125
1655649400.6377962,1331524,0.0
1655649505.3130863,1341524,0.03125
1655649611.7744482,1351547,0.03125
1655649714.5179076,1361553,0.0625
1655649820.8871882,1371573,0.0
1655649935.3673868,1381590,0.0
1655650038.4819522,1391595,0.0
1655650142.319238,1401600,0.0
1655650247.7177355,1411625,0.0
1655650351.7449255,1421642,0.0
1655650455.654115,1431671,0.03125
1655650566.5875,1441679,0.0
1655650670.3231401,1451679,0.03125
1655650774.775204,1461679,0.0
1655650879.2034764,1471696,0.0
1655650982.65067,1481720,0.0
1655651092.801335,1491739,0.03125
1655651203.2836232,1501751,0.0
1655651308.2143767,1511751,0.0
1655651412.9377153,1521768,0.0625
1655651518.627019,1531783,0.0625
1655651622.915479,1541794,0.0
1655651726.743361,1551797,0.0625
1655651839.7819045,1561816,0.0
1655651945.4504619,1571849,0.0
1655652052.314117,1581852,0.0
1655652158.9155114,1591873,0.0625
1655652261.7698631,1601878,0.0
1655652371.0702832,1611880,0.09375
1655652474.2259653,1621886,0.0
1655652579.1012447,1631886,0.03125
1655652686.1447659,1641915,0.03125
1655652791.6735382,1651920,0.0
1655652896.6933646,1661928,0.03125
1655653013.413688,1671954,0.0
1655653119.284789,1681978,0.0
1655653224.9187427,1691985,0.03125
1655653329.2936225,1702010,0.0
1655653433.821504,1712015,0.0
1655653539.3141234,1722021,0.0
1655653649.9048033,1732038,0.03125
1655653756.9931443,1742055,0.0
1655653860.3501651,1752069,0.03125
1655653963.4947736,1762081,0.0
1655654068.012562,1772086,0.0625
1655654174.8141675,1782119,0.0
1655654288.2733724,1792127,0.125
1655654393.2190006,1802147,0.0
1655654499.709409,1812174,0.09375
1655654604.583041,1822189,0.0
1655654706.9723086,1832216,0.03125
1655654813.7095058,1842221,0.0
1655654923.5539281,1852228,0.03125
1655655027.2468987,1862250,0.0
1655655130.6341827,1872258,0.09375
1655655238.930162,1882261,0.0625
1655655343.9975054,1892276,0.03125
1655655450.9972908,1902290,0.0625
1655655562.3480253,1912310,0.03125
1655655669.567409,1922328,0.03125
1655655771.4009907,1932336,0.03125
1655655875.4698975,1942366,0.0625
1655655980.2606165,1952377,0.03125
1655656087.8106833,1962380,0.0625
1655656200.4540546,1972406,0.03125
1655656307.288386,1982418,0.03125
1655656412.9880545,1992436,0.0625
1655656519.6375303,2002457,0.0
1655656623.347464,2012457,0.03125
1655656730.9582713,2022463,0.03125
1655656842.7885814,2032478,0.03125
1655656948.251707,2042509,0.03125
1655657053.6711314,2052535,0.09375
1655657160.2544868,2062559,0.03125
1655657268.0480158,2072574,0.0
1655657375.1156998,2082600,0.0
1655657491.8281116,2092616,0.09375
1655657599.5295057,2102625,0.0
1655657703.5778704,2112631,0.09375
1655657811.2166116,2122633,0.03125
1655657916.362636,2132656,0.09375
1655658024.134029,2142689,0.09375
1655658133.3897157,2152690,0.0
1655658238.9621885,2162709,0.0
1655658342.371085,2172719,0.0
1655658447.31268,2182743,0.0
1655658555.3873098,2192744,0.0
1655658659.4660857,2202761,0.03125
1655658769.6473355,2212765,0.0
1655658872.097022,2222785,0.0
1655658981.5860972,2232799,0.0
1655659087.6600652,2242801,0.03125
1655659194.6586485,2252818,0.0
1655659308.287215,2262833,0.0
1655659414.738012,2272837,0.03125
1655659520.8382823,2282840,0.0
1655659624.5716388,2292860,0.0625
1655659729.2369626,2302880,0.0625
1655659835.2599204,2312885,0.09375
1655659948.52606,2322894,0.0
1655660054.8619027,2332913,0.0625
1655660160.783659,2342938,0.125
1655660267.7620184,2352952,0.03125
1655660372.7084737,2362970,0.03125
1655660477.2511098,2372996,0.03125
1655660588.813878,2383000,0.03125
1655660693.6079187,2393005,0.03125
1655660800.4363925,2403021,0.0625
1655660906.5346456,2413041,0.0
1655661009.8910878,2423058,0.0
1655661118.5116541,2433076,0.03125
1655661228.0071685,2443097,0.0
1655661332.4549327,2453100,0.03125
1655661439.3443112,2463120,0.0625
1655661544.0864384,2473144,0.03125
1655661650.3038027,2483153,0.03125
1655661755.729451,2493159,0.0
1655661866.3775935,2503165,0.0625
1655661970.8395445,2513186,0.0625
1655662076.4137316,2523209,0.0625
1655662182.9690595,2533232,0.03125
1655662289.4696734,2543249,0.15625
1655662397.084003,2553261,0.0
1655662511.6683502,2563261,0.0625
1655662621.0408845,2573273,0.125
1655662728.5370617,2583279,0.03125
1655662834.3020763,2593309,0.0625
