Wall time,Step,Value
1655345503.9891832,41,0.0
1655345624.4537454,10058,0.0
1655345753.355526,20073,0.0
1655345892.5413897,30085,0.0
1655346035.043121,40090,0.0
1655346170.053263,50107,0.0
1655346307.688099,60131,0.0
1655346436.9697566,70154,0.0
1655346565.4385362,80165,0.0
1655346693.5941412,90166,0.0
1655346820.7329621,100190,0.0
1655346949.6241615,110208,0.0
1655347081.7371533,120233,0.0
1655347205.2205684,130249,0.0
1655347328.5093281,140275,0.0
1655347447.0613613,150301,0.0
1655347572.006604,160321,0.0
1655347696.5608704,170324,0.0
1655347828.0119872,180340,0.0
1655347954.6755629,190364,0.0
1655348081.7412863,200380,0.0
1655348207.5039158,210411,0.0
1655348330.5752459,220437,0.0
1655348448.92929,230447,0.0
1655348569.5869093,240464,0.0
1655348680.5478349,250504,0.0
1655348788.1225955,260525,0.0
1655348898.233202,270601,0.0
1655349007.619753,280637,0.0
1655349113.3950763,290646,0.0
1655349232.1743116,300715,0.0
1655349340.4020617,310738,0.0
1655349457.4136496,320744,0.0
1655349566.6849165,330781,0.0
1655349673.435592,340833,0.0
1655349793.1435444,350924,0.0
1655349898.496104,360954,0.0
1655350006.6635253,370989,0.03125
1655350124.5179949,381016,0.0
1655350235.4649277,391041,0.0
1655350351.1194715,401182,0.0
1655350467.5776098,411206,0.0
1655350586.17943,421219,0.0
1655350700.1844163,431220,0.0
1655350815.9617622,441230,0.0
1655350935.7871425,451247,0.0
1655351057.7792425,461416,0.0
1655351178.401914,471516,0.0
1655351302.0763693,481605,0.0
1655351420.358862,491768,0.0
1655351542.300698,501864,0.0
1655351673.321388,511881,0.0625
1655351790.7518184,521888,0.0625
1655351902.400684,531925,0.0
1655352016.7358298,541928,0.09375
1655352132.9434702,551992,0.09375
1655352250.169274,562020,0.09375
1655352357.6400137,572035,0.0
1655352464.4199443,582124,0.03125
1655352566.0358093,592125,0.125
1655352670.5637054,602155,0.03125
1655352777.215511,612245,0.0625
1655352875.3347738,622418,0.125
1655352977.0167513,632452,0.0625
1655353078.066853,642469,0.0625
1655353177.4083207,652522,0.125
1655353283.544382,662660,0.125
1655353384.4244492,672717,0.0625
1655353484.8299224,682780,0.21875
1655353586.9183857,692803,0.125
1655353691.3003433,702820,0.15625
1655353800.7316163,712853,0.25
1655353903.744888,722892,0.125
1655354006.3604305,732933,0.1875
1655354109.8538342,742973,0.15625
1655354212.3230941,753107,0.28125
1655354331.9480095,763121,0.15625
1655354443.1716645,773220,0.25
1655354555.2826104,783253,0.1875
1655354668.9094322,793261,0.28125
1655354779.2659924,803271,0.71875
1655354899.0067322,813400,0.34375
1655355017.334492,823555,0.4375
1655355128.6709273,833574,0.25
1655355244.3936114,843631,0.53125
1655355357.3149965,853679,0.625
1655355466.3148031,863749,0.375
1655355587.4234042,873806,0.71875
1655355700.9833443,883842,0.6875
1655355812.2272081,893880,0.71875
1655355922.9285653,903904,0.75
1655356035.774788,914029,0.59375
1655356155.0232153,924056,0.6875
1655356279.59536,934221,0.5625
1655356391.3497837,944233,0.8125
1655356509.1079185,954257,0.71875
1655356624.9461222,964288,0.75
1655356739.6503735,974302,0.8125
1655356862.4463432,984312,0.875
1655356964.2784114,994420,0.78125
1655357054.0333178,1004470,0.71875
1655357140.827638,1014568,0.875
1655357221.0744412,1024721,0.75
1655357311.2169507,1034770,0.8125
1655357401.1943488,1044815,0.71875
1655357482.8238,1054847,0.75
1655357565.594814,1064866,0.75
1655357652.9804773,1074905,0.625
1655357740.6444788,1084913,0.6875
1655357835.5767958,1094922,0.84375
1655357915.8626416,1104957,0.875
1655358010.0668664,1115024,0.78125
1655358093.4662507,1125084,0.875
1655358172.0047324,1135087,0.8125
1655358255.4063456,1145237,0.78125
1655358346.5552526,1155246,0.90625
1655358429.0567007,1165417,0.84375
1655358511.8124871,1175478,0.8125
1655358592.8384194,1185522,0.90625
1655358678.2520423,1195537,0.8125
1655358776.7234573,1205618,0.9375
1655358862.0861528,1215639,0.9375
1655358946.6477783,1225702,0.875
1655359028.6180563,1235808,0.8125
1655359115.8592427,1245845,0.84375
1655359207.2707,1255887,0.875
1655359290.168287,1265952,0.65625
1655359370.7177336,1276047,0.71875
1655359455.865122,1286116,0.9375
1655359540.8000097,1296191,0.90625
1655359626.3135946,1306203,0.875
1655359711.3146932,1316320,0.84375
1655359795.1626523,1326361,0.875
1655359874.3069148,1336373,0.84375
1655359965.6082978,1346501,0.875
1655360056.9825263,1356638,0.75
1655360143.4246082,1366720,0.875
1655360230.5648034,1376824,0.75
1655360315.5870829,1386858,0.90625
1655360400.2727988,1396993,0.8125
1655360496.6471639,1407044,0.9375
1655360588.705896,1417106,0.84375
1655360677.1127374,1427163,0.84375
1655360764.382049,1437206,0.9375
1655360853.3352394,1447339,0.96875
1655360951.5230439,1457363,0.9375
1655361047.1470861,1467366,0.96875
1655361135.482308,1477377,1.0
1655361225.1536567,1487431,0.84375
1655361309.3414078,1497436,1.0
1655361401.2988882,1507493,1.0
1655361499.8354962,1517496,0.8125
1655361588.1464272,1527545,0.90625
1655361676.4233873,1537561,0.9375
1655361766.301592,1547566,0.9375
1655361854.0003912,1557630,0.9375
1655361944.7591352,1567674,0.90625
1655362050.448997,1577692,0.875
1655362141.828416,1587699,1.0
1655362231.4649925,1597841,0.96875
1655362316.660918,1607863,1.0
1655362411.4750946,1617993,0.875
1655362499.978284,1628015,1.0
1655362589.6224818,1638045,0.96875
1655362681.5059772,1648098,1.0
1655362771.100049,1658139,0.96875
1655362863.3027442,1668151,0.96875
1655362952.174262,1678154,0.90625
1655363053.2220376,1688156,0.96875
1655363141.6499305,1698282,0.96875
1655363233.5504277,1708306,0.90625
1655363323.1669893,1718350,0.9375
1655363419.1966305,1728379,1.0
1655363513.6449628,1738393,0.96875
1655363605.8053925,1748433,1.0
1655363695.4561503,1758487,1.0
