Wall time,Step,Value
1655173211.4423425,37,0.0
1655173329.708028,10047,0.0
1655173450.472578,20075,0.0
1655173570.2489197,30080,0.0
1655173688.2141109,40110,0.0
1655173801.2166126,50115,0.0
1655173921.9335558,60124,0.0
1655174039.5912864,70150,0.0
1655174152.5756106,80155,0.0
1655174250.9210737,90175,0.0
1655174364.411334,100451,0.0
1655174464.5265405,110456,0.0
1655174601.0012355,120474,0.0
1655174733.9629323,130490,0.0
1655174857.9197397,140500,0.0
1655174984.5054808,150709,0.0
1655175106.074141,160712,0.0
1655175233.3440206,170730,0.0
1655175383.024074,180744,0.0
1655175513.6966848,190747,0.0
1655175639.4839885,200757,0.0
1655175755.7325974,210789,0.0
1655175882.1125495,220790,0.0
1655175999.1445622,230968,0.0
1655176140.397102,240984,0.0
1655176275.6228092,251002,0.0
1655176411.1608596,261035,0.0
1655176556.5088835,271050,0.0
1655176698.2866452,281052,0.0
1655176854.371455,291067,0.0
1655176993.919846,301086,0.0
1655177126.2803435,311106,0.0
1655177250.0153067,321249,0.0
1655177391.5124714,331250,0.0
1655177529.8617787,341266,0.0
1655177668.5994773,351300,0.0
1655177795.388952,361302,0.0
1655177903.7058678,371319,0.0
1655178023.2932403,381323,0.0
1655178156.984319,391353,0.0
1655178308.5646915,401382,0.0
1655178442.8826625,411393,0.0
1655178576.9213986,421427,0.0
1655178727.581739,431434,0.0
1655178854.5899103,441469,0.0
1655178989.04118,451493,0.0
1655179131.6903389,461502,0.0
1655179245.0462797,471511,0.0
1655179380.4941206,481524,0.0
1655179523.9032788,491556,0.0
1655179651.120389,501955,0.0
1655179811.9343271,511979,0.0
1655179945.9306433,522009,0.0
1655180084.1813655,532026,0.0
1655180232.9777694,542146,0.0
1655180369.0078113,552175,0.0
1655180501.3219419,562182,0.0
1655180663.064092,572192,0.0
1655180795.707009,582210,0.0
1655180942.4312282,592247,0.0
1655181083.4528322,602269,0.0
1655181228.5981095,612287,0.0
1655181370.1866276,622319,0.0
1655181507.651603,632346,0.0
1655181636.7386265,642376,0.0
1655181769.079698,652390,0.0
1655181901.9709692,662400,0.0
1655182036.81226,672426,0.0
1655182164.9019773,682432,0.0
1655182296.6887436,692443,0.0
1655182431.7837172,702451,0.0
1655182574.8274193,712466,0.0
1655182718.431596,722484,0.0
1655182852.5060074,732512,0.0
1655182989.8016737,742542,0.0
1655183122.105641,752546,0.0
1655183251.730223,762555,0.0
1655183396.0511715,772572,0.0
1655183525.0292442,782574,0.0
1655183670.4673672,792593,0.0
1655183816.3701756,802622,0.0
1655183940.6349387,812632,0.0
1655184069.326149,822963,0.0
1655184203.4128082,832965,0.0
1655184338.5037951,842997,0.0
1655184493.7160528,853004,0.0
1655184641.1430225,863040,0.0
1655184782.6507964,873060,0.0
1655184909.5627322,883217,0.0
1655185055.2802434,893271,0.0
1655185201.2974594,903291,0.0
1655185346.169686,913299,0.0
1655185487.4432764,923329,0.0
1655185614.925114,933354,0.0
1655185743.131813,943360,0.0
1655185877.7019184,953374,0.0
1655186027.8093913,963400,0.0
1655186170.9529307,973438,0.0
1655186316.1035097,983455,0.0
1655186444.279599,993483,0.0
1655186569.5988262,1003496,0.0
1655186697.2470593,1013517,0.0
1655186832.7782838,1023548,0.0
1655186974.4440107,1033578,0.0
1655187097.688061,1043744,0.0
1655187250.9815028,1054108,0.0
1655187378.438044,1064361,0.0
1655187519.462047,1074377,0.0
1655187639.7918482,1084378,0.0
1655187769.3490057,1094414,0.0
1655187915.8377416,1104625,0.0
1655188061.9643576,1114626,0.0
1655188202.2220137,1124661,0.0
1655188336.5533514,1134663,0.0
1655188462.6362486,1144690,0.0
1655188602.6941216,1154693,0.0
1655188746.509865,1164975,0.0
1655188884.3893218,1175323,0.0
1655189033.1944032,1185343,0.0
1655189174.3599398,1195359,0.0
1655189281.0040612,1205363,0.0
1655189420.4442792,1215375,0.0
1655189566.5617313,1225415,0.0
1655189706.3143487,1235423,0.0
1655189872.985182,1245436,0.0
1655190011.0238614,1255444,0.0
1655190158.7868364,1265449,0.0
1655190287.495289,1275470,0.0
1655190425.2138262,1285496,0.0
1655190588.2477348,1295531,0.0
1655190730.640546,1305543,0.0
1655190873.1681893,1315547,0.0
1655191007.524145,1325579,0.03125
1655191152.9499598,1335585,0.0
1655191298.9504318,1345592,0.0
1655191456.4666445,1355622,0.0
1655191606.4277616,1365632,0.0
1655191750.0663497,1375817,0.0
1655191880.2689667,1385829,0.0
1655192006.0849266,1396205,0.0
1655192156.4968145,1406212,0.0
1655192299.3101697,1416227,0.0
1655192424.1900194,1426257,0.0
1655192580.1887302,1436282,0.0
1655192717.8465564,1446297,0.0
