Wall time,Step,Value
1655547199.0723155,33,0.0
1655547296.9771624,10059,0.0
1655547399.9712286,20070,0.0
1655547522.435782,30077,0.0
1655547640.5800467,40085,0.0
1655547758.3453898,50095,0.0
1655547873.2506251,60108,0.0
1655547979.6936364,70127,0.0625
1655548090.337525,80133,0.0
1655548202.9697413,90160,0.0
1655548312.4294455,100174,0.0
1655548425.1510282,110175,0.0
1655548537.7901132,120181,0.0
1655548646.8537903,130281,0.03125
1655548753.5923865,140295,0.0
1655548858.9816585,150303,0.0
1655548963.0359466,160348,0.0
1655549067.6153412,170440,0.0
1655549179.9335732,180460,0.03125
1655549281.4206507,190483,0.03125
1655549384.8081315,200490,0.03125
1655549486.377452,210505,0.0
1655549592.6245496,220522,0.0
1655549693.118547,230663,0.0
1655549808.179125,240668,0.0
1655549913.4348838,250685,0.0
1655550022.312658,260701,0.0625
1655550129.0819666,270701,0.03125
1655550237.2223625,280710,0.03125
1655550345.0674431,290723,0.0
1655550454.6155543,300737,0.0
1655550561.7385356,310740,0.0
1655550666.371964,320755,0.03125
1655550769.8516698,330767,0.0625
1655550868.7982466,340787,0.0
1655550969.9135993,350872,0.0625
1655551076.8718033,360890,0.0625
1655551183.2168767,370912,0.0625
1655551287.7168262,380915,0.03125
1655551393.504924,390931,0.03125
1655551499.937907,400950,0.09375
1655551608.6605134,410950,0.03125
1655551721.6015768,421039,0.0625
1655551829.682201,431057,0.0
1655551939.0404139,441071,0.0
1655552041.1931648,451078,0.03125
1655552148.9709775,461096,0.03125
1655552269.0911133,471104,0.0625
1655552374.8907528,481114,0.0625
1655552480.8837998,491133,0.0625
1655552593.9309201,501158,0.0
1655552703.176472,511163,0.0
1655552814.4746666,521190,0.125
1655552933.6005628,531190,0.09375
1655553039.6115508,541203,0.0625
1655553159.337619,551229,0.03125
1655553280.7814553,561247,0.09375
1655553402.0291111,571274,0.1875
1655553521.9124484,581296,0.125
1655553648.2327597,591296,0.0
1655553763.0850165,601307,0.09375
1655553880.158216,611309,0.0
1655553996.4719868,621331,0.03125
1655554114.0221162,631331,0.09375
1655554234.124545,641338,0.03125
1655554358.3864827,651341,0.125
1655554473.4728673,661344,0.125
1655554590.0038009,671346,0.125
1655554703.220775,681349,0.03125
1655554813.4584355,691362,0.09375
1655554928.5193775,701378,0.0625
1655555050.8648336,711395,0.0625
1655555170.0681355,721416,0.03125
1655555285.800276,731433,0.1875
1655555400.9340749,741452,0.3125
1655555520.4692934,751466,0.125
1655555639.6343706,761487,0.21875
1655555763.6394377,771506,0.28125
1655555875.378091,781622,0.3125
1655555990.6305716,791702,0.21875
1655556104.8024337,801726,0.3125
1655556222.5269387,811731,0.25
1655556337.5323172,821740,0.3125
1655556459.8844233,831854,0.34375
1655556571.1573813,841874,0.25
1655556693.3608594,851890,0.28125
1655556812.9499454,861890,0.34375
1655556933.451227,871911,0.3125
1655557049.4070432,882052,0.25
1655557168.37752,892071,0.4375
1655557287.8764665,902072,0.40625
1655557407.748706,912073,0.28125
1655557527.8805144,922092,0.34375
1655557650.410275,932104,0.28125
1655557779.202999,942118,0.28125
1655557896.5513632,952119,0.4375
1655558015.0063334,962128,0.34375
1655558129.5027287,972142,0.5
1655558248.9648454,982151,0.34375
1655558365.1261086,992155,0.46875
