Wall time,Step,Value
1655611238.918627,56,0.0
1655611344.7155595,10102,0.0
1655611446.6606405,20132,0.0
1655611551.2793152,30144,0.03125
1655611652.485256,40146,0.0
1655611761.4877756,50254,0.25
1655611870.9261568,60372,0.1875
1655611963.395819,70372,0.0
1655612059.6152139,80412,0.0
1655612157.6255264,90483,0.0
1655612263.7846093,100661,0.03125
1655612365.1942854,110777,0.0
1655612462.2615623,120800,0.0
1655612560.7838435,130964,0.0
1655612658.6186888,141051,0.03125
1655612766.9469643,151118,0.0625
1655612859.3489952,161243,0.03125
1655612953.66706,171284,0.0
1655613050.5023715,181304,0.03125
1655613149.86345,191322,0.03125
1655613250.7114613,201446,0.0625
1655613350.6426558,211614,0.09375
1655613441.428166,221623,0.03125
1655613543.7431593,231747,0.0
1655613647.708346,241754,0.03125
1655613747.748069,251789,0.0
1655613851.244808,261818,0.0625
1655613945.2946954,271876,0.0625
1655614038.913503,281895,0.03125
1655614138.9669971,292068,0.03125
1655614237.9233005,302244,0.03125
1655614337.2594182,312341,0.0625
1655614425.4862285,322386,0.09375
1655614525.7886581,332400,0.0625
1655614629.5326097,342443,0.125
1655614728.4476483,352479,0.0625
1655614829.1807349,362518,0.0
1655614936.9459622,372563,0.0
1655615038.1937633,382594,0.03125
1655615152.9643028,392640,0.0
1655615251.3264863,402675,0.03125
1655615358.0354228,412723,0.0
1655615457.3793218,422889,0.0
1655615556.1120646,432970,0.09375
1655615661.0918927,442975,0.0625
1655615761.6340525,453020,0.21875
1655615860.9766898,463140,0.09375
1655615962.1134858,473167,0.125
1655616062.0940263,483193,0.09375
1655616162.8391185,493219,0.1875
1655616273.0519164,503261,0.28125
1655616377.2932131,513309,0.125
1655616484.1566439,523354,0.125
1655616585.1160607,533362,0.15625
1655616696.456312,543418,0.15625
1655616812.277165,553473,0.03125
1655616918.48034,563488,0.09375
1655617025.134214,573521,0.1875
1655617138.1282601,583563,0.15625
1655617247.3832853,593563,0.03125
1655617367.7054975,603588,0.25
1655617479.1055872,613638,0.25
1655617587.7673364,623642,0.3125
1655617699.8317835,633665,0.3125
1655617811.8083534,643674,0.4375
1655617919.2147949,653702,0.28125
1655618034.7566724,663778,0.40625
1655618143.3341882,673796,0.34375
1655618248.2719905,683808,0.28125
1655618352.7694159,693827,0.3125
1655618461.192551,703842,0.59375
1655618567.2452197,713914,0.5
1655618676.3281693,723979,0.5
1655618781.3157768,734008,0.53125
1655618887.2820272,744012,0.53125
1655618990.6166506,754119,0.28125
1655619099.390236,764162,0.34375
1655619200.7769387,774212,0.3125
1655619306.8399882,784242,0.5
1655619410.3236668,794305,0.46875
1655619513.4809082,804375,0.71875
1655619619.2633967,814394,0.5625
1655619722.0463138,824435,0.5625
1655619822.730883,834444,0.65625
1655619922.629036,844526,0.75
1655620021.5005155,854580,0.8125
1655620123.6556222,864616,0.75
1655620226.2081752,874773,0.71875
1655620320.7706463,884808,0.875
1655620418.4255974,894834,0.75
1655620515.833669,904901,0.78125
1655620620.8315337,914947,0.90625
1655620720.302084,924948,0.84375
1655620824.2093148,934951,0.90625
1655620923.1634426,945032,0.59375
1655621027.1490033,955102,0.84375
1655621129.4680462,965140,0.78125
1655621240.6132178,975190,0.84375
1655621342.8382826,985206,0.8125
1655621444.4439793,995256,0.84375
