Wall time,Step,Value
1655571468.7640185,62,0.0
1655571550.0605292,10112,0.0
1655571616.0047832,20116,0.0
1655571700.4225233,30301,0.0
1655571783.6987643,40344,0.0
1655571864.9665477,50577,0.0
1655571942.977278,60804,0.0
1655572025.7486525,71004,0.0
1655572106.4449942,81254,0.0
1655572184.55619,91505,0.0
1655572268.1350403,101694,0.0
1655572348.8889985,111822,0.0
1655572428.2988362,122042,0.0
1655572506.2813857,132339,0.0
1655572597.676815,142411,0.0
1655572654.9991825,152453,0.0
1655572739.6848423,162669,0.0
1655572800.374234,172688,0.0
1655572912.718035,182731,0.0
1655573028.8868139,192745,0.0
1655573142.520085,202759,0.0625
1655573259.8083038,212802,0.0
1655573373.865504,222844,0.0
1655573473.3606274,233088,0.125
1655573555.7406297,243137,0.25
1655573650.553258,253139,0.0
1655573753.88963,263151,0.0
1655573857.7723804,273273,0.03125
1655573962.8461812,283304,0.1875
1655574070.5534017,293346,0.59375
1655574177.8567138,303346,0.375
1655574287.6118586,313348,0.5625
1655574398.6483421,323365,0.15625
1655574508.1926556,333393,0.0625
1655574632.354899,343412,0.5
1655574741.7214699,353455,0.4375
1655574852.8609822,363457,0.375
1655574962.4561367,373497,0.71875
1655575079.0841174,383498,0.875
1655575191.5233877,393527,0.78125
1655575309.8185017,403530,0.3125
1655575410.8903036,413571,0.0
1655575497.922348,423582,0.5625
1655575584.2027564,433622,0.71875
1655575664.376778,443641,0.5
1655575749.0324197,453661,0.03125
1655575838.853912,463682,0.75
1655575923.029683,473686,0.21875
1655576002.5017476,483691,0.53125
1655576077.9286118,493717,0.5
1655576151.82665,503730,0.46875
1655576227.3492515,513764,0.90625
1655576295.9562566,523802,0.53125
1655576362.6507988,533817,0.625
1655576427.6866174,543838,0.625
1655576493.22015,553875,0.875
1655576556.299069,563895,0.90625
1655576625.7088478,574111,0.15625
1655576689.2878048,584130,0.8125
1655576752.8078802,594138,0.9375
1655576815.0831943,604174,0.53125
1655576879.3813875,614182,0.53125
1655576944.6435652,624189,0.96875
1655577013.6716452,634189,0.78125
1655577078.8967555,644231,0.3125
1655577142.9232635,654276,0.75
1655577208.200678,664316,0.96875
1655577268.2853172,674326,0.90625
1655577343.8776314,684332,0.875
1655577411.9003901,694359,0.9375
1655577481.8222878,704385,0.90625
1655577550.3297539,714425,0.9375
1655577623.81516,724495,1.0
1655577698.1128995,734523,0.875
1655577778.32511,744532,0.84375
1655577852.3448064,754558,0.84375
1655577920.5628047,764581,0.6875
1655577991.8298037,774587,0.875
1655578064.9014747,784617,0.21875
1655578135.2899368,794644,0.53125
1655578214.4723115,804668,0.9375
1655578290.4700058,814705,0.53125
1655578361.8283246,824739,0.71875
1655578430.3403232,834759,0.84375
1655578504.2980661,844769,0.8125
1655578578.493047,854795,0.53125
1655578656.0237243,864828,0.90625
1655578732.606813,874851,0.9375
1655578802.4059737,884885,0.96875
1655578872.4077756,894903,1.0
1655578938.909068,904941,0.9375
1655579011.5439372,914970,0.90625
1655579077.0948002,924977,0.90625
1655579142.8784885,935014,0.84375
1655579208.1331599,945049,0.625
1655579270.2317953,955053,0.9375
1655579336.0552347,965070,0.75
1655579407.3332028,975094,0.78125
1655579472.6224575,985124,0.875
1655579541.2209706,995143,0.90625
