Wall time,Step,Value
1655483618.8679478,48,0.0
1655483708.4260051,10070,0.0
1655483803.3097746,20071,0.0
1655483893.1367328,30128,0.0
1655483982.187793,40183,0.0
1655484068.890396,50245,0.0
1655484165.8404515,60329,0.0
1655484259.5046256,70377,0.0
1655484352.9477572,80391,0.0
1655484448.673408,90421,0.0
1655484548.2224174,100461,0.0
1655484647.373712,110507,0.0
1655484744.2337732,120537,0.0
1655484837.7960126,130543,0.0
1655484937.309638,140575,0.0
1655485029.0078793,150591,0.0
1655485126.3749878,160600,0.0
1655485230.469298,170625,0.0
1655485331.0303516,180637,0.0
1655485431.60026,190661,0.0
1655485533.5890384,200692,0.0
1655485634.0560856,210820,0.0
1655485743.2456331,220858,0.0
1655485845.0654085,230871,0.0
1655485947.780323,240899,0.0
1655486050.0250976,250921,0.0
1655486148.3541555,260922,0.0
1655486249.2772467,270940,0.0
1655486355.0353258,280943,0.0
1655486456.9276392,290984,0.0
1655486553.8990755,301074,0.0
1655486652.4781501,311095,0.0
1655486753.9164338,321207,0.0
1655486860.6605725,331245,0.0
1655486959.326326,341290,0.0
1655487055.7128518,351317,0.0
1655487151.8740616,361365,0.0
1655487248.6035008,371412,0.0
1655487343.652689,381413,0.0
1655487444.6201725,391477,0.0
1655487537.8565724,401493,0.0
1655487634.493649,411524,0.0
1655487730.2905324,421545,0.0
1655487826.203613,431579,0.0
1655487929.0444758,441614,0.0
1655488029.0532413,451666,0.0
1655488126.5016932,461696,0.0
1655488223.5922534,471701,0.0
1655488320.8789742,481714,0.0
1655488416.8670323,491720,0.0
1655488520.7664144,501722,0.0
1655488615.3245935,511723,0.0
1655488714.164181,521749,0.0
1655488811.0927768,531777,0.0
1655488908.9053605,541779,0.0
1655489010.091175,551804,0.0
1655489106.786418,561840,0.0
1655489202.5912118,571855,0.0
1655489299.8562355,581894,0.0
1655489398.1131663,591895,0.0
1655489491.5521965,601896,0.0
1655489592.8903053,611924,0.0
1655489693.9984968,622068,0.0
1655489794.100392,632110,0.0
1655489890.0230215,642130,0.0
1655489989.4432437,652249,0.0
1655490091.8622186,662278,0.0
1655490187.007482,672289,0.0
1655490283.7228584,682329,0.0
1655490379.6440303,692426,0.0
1655490471.9427834,702470,0.03125
1655490576.1880817,712490,0.0
1655490674.4957523,722510,0.0
1655490770.8954694,732526,0.03125
1655490869.6431808,742556,0.0
1655490965.2992764,752564,0.03125
1655491058.4592545,762595,0.0
1655491163.2554994,772631,0.03125
1655491262.8526978,782671,0.0
1655491354.3225255,792751,0.0
1655491449.9180224,802787,0.03125
1655491546.5728118,812787,0.0
1655491650.6716459,822887,0.03125
1655491747.823357,832907,0.0
1655491843.743469,842947,0.0
1655491944.7742233,852995,0.0
1655492040.814522,863019,0.0
1655492137.4489844,873060,0.0
1655492236.3840678,883091,0.0
1655492332.2290668,893115,0.0
1655492427.212863,903260,0.0
1655492522.9874797,913263,0.03125
1655492616.555969,923330,0.0
1655492715.215191,933336,0.0
1655492811.1565285,943363,0.0625
1655492903.015467,953395,0.03125
1655492991.676433,963435,0.0625
1655493080.975396,973460,0.0
1655493173.9177248,983464,0.03125
1655493268.0730762,993520,0.03125
