Wall time,Step,Value
1655173213.4215002,33,0.0
1655173360.4882386,10049,0.0
1655173510.0597079,20071,0.0
1655173660.5336528,30075,0.0
1655173808.822697,40091,0.0
1655173958.2723305,50125,0.0
1655174113.796538,60156,0.0
1655174255.6320548,70172,0.0
1655174401.4218216,80189,0.0
1655174546.394,90194,0.0
1655174691.7427995,100226,0.0
1655174839.5644572,110255,0.0
1655174989.3446748,120260,0.0
1655175132.9613552,130264,0.0
1655175277.8708384,140271,0.0
1655175422.7619343,150288,0.0
1655175568.7416606,160302,0.0
1655175712.2383418,170303,0.0
1655175860.5884733,180318,0.0
1655175998.8952267,190326,0.0
1655176139.5858188,200342,0.0
1655176280.2659392,210352,0.09375
1655176419.629187,220379,0.03125
1655176558.1383393,230401,0.0
1655176702.6998987,240418,0.03125
1655176840.308142,250444,0.0
1655176977.1378675,260480,0.03125
1655177101.9097517,270487,0.09375
1655177213.8323667,280496,0.0625
1655177354.0575578,290528,0.0625
1655177478.6992505,300547,0.03125
1655177612.5111105,310793,0.03125
1655177736.499321,320845,0.0625
1655177869.755821,330938,0.0
1655178006.8293707,340940,0.03125
1655178155.8249962,350948,0.0625
1655178290.6863067,360949,0.0
1655178449.5907924,370969,0.0625
1655178586.9764397,381022,0.03125
1655178725.1556728,391034,0.0625
1655178876.642051,401072,0.03125
1655179036.09593,411099,0.0
1655179181.4850686,421138,0.125
1655179331.177762,431150,0.03125
1655179492.2750828,441188,0.0
1655179649.8759878,451212,0.09375
1655179822.8574946,461269,0.0625
1655179991.1359527,471305,0.09375
1655180152.9315202,481311,0.0625
1655180313.8366706,491334,0.0625
1655180467.1621168,501345,0.09375
1655180646.9028192,511349,0.125
1655180803.8159962,521402,0.21875
1655180955.6446054,531420,0.15625
1655181109.435777,541455,0.21875
1655181268.4667854,551468,0.15625
1655181423.1554682,561591,0.375
1655181591.1196563,571629,0.5625
1655181745.3627336,581655,0.4375
1655181902.487285,591680,0.625
1655182061.3882306,601720,0.6875
1655182215.9992764,611723,0.625
1655182378.9957147,621750,0.8125
1655182542.1025221,631780,0.75
1655182701.927597,641814,0.65625
1655182859.4603307,651856,0.96875
1655183017.782618,661873,0.75
1655183177.174301,671889,0.71875
1655183329.0796964,681918,0.75
1655183480.2786314,691965,0.9375
1655183631.8224,702007,0.875
1655183775.5974777,712041,0.59375
1655183920.4063973,722050,0.84375
1655184070.4420724,732087,0.84375
1655184213.9314144,742122,0.84375
1655184351.0090241,752144,0.9375
1655184494.711973,762167,0.875
1655184637.7781737,772177,0.84375
1655184784.9381204,782195,0.875
1655184913.467503,792211,0.6875
1655185054.636104,802231,0.90625
1655185194.9136047,812267,0.65625
1655185342.295391,822274,0.9375
1655185481.7991922,832325,1.0
1655185618.814899,842327,0.96875
1655185746.9201655,852334,0.90625
1655185877.0427442,862374,0.84375
1655186012.002734,872377,0.9375
1655186152.3248727,882378,0.875
1655186295.478496,892380,0.84375
1655186429.213585,902419,0.875
1655186562.0864356,912419,0.90625
1655186692.823403,922428,0.875
1655186824.6562357,932455,0.84375
1655186955.8787725,942486,0.78125
1655187096.8401418,952521,0.78125
1655187235.200839,962542,0.71875
1655187364.9772525,972552,0.96875
1655187502.8467317,982596,0.75
1655187639.413743,992612,0.90625
1655187781.3775663,1002658,0.90625
1655187908.7930648,1012685,0.90625
1655188046.4330177,1022712,0.8125
1655188185.9553308,1032723,0.96875
1655188321.2127938,1042727,0.96875
1655188455.9378586,1052749,0.90625
1655188600.3442037,1062781,0.90625
1655188735.4577935,1072831,0.9375
1655188871.8188121,1082846,0.90625
1655189003.552684,1092853,0.9375
1655189134.2669404,1102859,1.0
1655189272.0481122,1112889,0.875
1655189405.3897874,1122921,0.96875
1655189540.0042925,1132978,0.9375
1655189676.213262,1143004,0.9375
1655189806.926877,1153055,1.0
1655189939.083058,1163086,0.96875
1655190079.3189914,1173093,0.90625
1655190213.2007306,1183097,0.9375
1655190347.2546446,1193146,1.0
1655190481.782676,1203201,1.0
1655190613.1890125,1213215,1.0
1655190754.6966798,1223234,0.9375
1655190892.898591,1233273,0.9375
1655191027.4660833,1243297,0.96875
1655191166.376849,1253325,0.9375
1655191302.6644838,1263327,0.96875
1655191444.234303,1273359,0.875
1655191583.0756807,1283360,0.96875
1655191717.8542035,1293380,1.0
1655191849.5965657,1303418,0.9375
1655191983.002087,1313443,0.9375
1655192109.3617308,1323444,1.0
1655192245.050341,1333445,0.875
1655192384.7720206,1343470,0.9375
1655192516.3842385,1353471,0.96875
1655192648.2951293,1363499,0.96875
1655192772.4938061,1373512,0.90625
1655192902.7424338,1383526,0.96875
1655193039.850363,1393571,1.0
1655193171.0942557,1403608,0.9375
1655193304.0166059,1413653,0.875
1655193433.365728,1423675,0.9375
1655193566.5943553,1433709,0.96875
1655193694.4399295,1443715,0.875
1655193834.122168,1453723,1.0
1655193962.1321845,1463733,0.9375
1655194092.5817544,1473770,0.90625
1655194222.1633725,1483779,0.9375
1655194355.7643445,1493824,0.875
