Wall time,Step,Value
1655256624.3760867,38,0.0
1655256708.2732825,10042,0.0
1655256791.8933814,20071,0.0
1655256892.913131,30095,0.0
1655257015.4065208,40102,0.0
1655257131.729098,50119,0.0
1655257244.3670774,60146,0.0
1655257351.7497191,70165,0.0
1655257448.063704,80190,0.0
1655257537.3248515,90205,0.0
1655257626.958618,100206,0.0
1655257717.3572898,110226,0.0
1655257810.623084,120252,0.0
1655257896.1665077,130261,0.0
1655257980.405009,140266,0.0
1655258062.3477044,150271,0.0
1655258146.293185,160278,0.0
1655258231.9554944,170287,0.0
1655258321.332939,180307,0.0
1655258399.8930023,190342,0.0
1655258474.2476487,200347,0.0
1655258545.2901616,210353,0.0
1655258619.2665925,220370,0.0
1655258693.7957683,230373,0.0
1655258774.5714035,240405,0.0
1655258847.2611725,250413,0.0
1655258921.529455,260437,0.0
1655258993.1043472,270457,0.0
1655259065.7060664,280472,0.0
1655259140.2896068,290481,0.0
1655259208.9772806,300491,0.0
1655259285.5055645,310517,0.0
1655259360.8333285,320542,0.0
1655259434.4038322,330560,0.0
1655259510.7949529,340591,0.0
1655259595.8744993,350612,0.0
1655259672.7861333,360612,0.0
1655259748.4898856,370654,0.0
1655259823.6937454,380668,0.0
1655259904.3391614,390688,0.0
1655259982.5615838,400695,0.0
1655260067.4583902,410725,0.0
1655260147.6600358,420732,0.0
1655260225.79332,430762,0.0
1655260305.034621,440780,0.0
1655260384.6616962,450783,0.0
1655260472.4392493,460793,0.0
1655260552.7471743,470800,0.0
1655260634.2332265,480819,0.0
1655260712.2859282,490819,0.0
1655260794.0905244,500840,0.0
1655260875.0674968,510881,0.0
1655260960.4819174,520915,0.0
1655261042.138694,530952,0.0
1655261116.653098,540969,0.0
1655261195.8603086,551015,0.0
1655261272.876412,561067,0.0
1655261351.0293689,571068,0.0
1655261430.9597652,581115,0.0
1655261504.6717334,591121,0.0
1655261579.9248395,601167,0.0
1655261655.7640665,611196,0.0
1655261730.1643248,621233,0.0
1655261812.1203933,631234,0.0
1655261887.0524192,641261,0.0
1655261962.268843,651305,0.0
1655262038.1065044,661312,0.0
1655262110.2572253,671353,0.0
1655262186.43082,681421,0.0
1655262265.0914347,691459,0.0
1655262335.755468,701478,0.0
1655262405.428953,711702,0.0
1655262481.0434575,721712,0.0
1655262553.787203,731863,0.0
1655262632.6031327,741877,0.0
1655262703.63964,751993,0.0
1655262779.6272862,762068,0.0
1655262854.9447043,772138,0.0
1655262928.5551555,782147,0.0
1655263010.3827503,792214,0.0
1655263089.5141048,802294,0.0
1655263169.96362,812332,0.0
1655263248.1131744,822409,0.0
1655263323.6418097,832463,0.0
1655263408.0761542,842470,0.0
1655263486.3413947,852495,0.0
1655263569.2511067,862528,0.0
1655263649.5513308,872536,0.0
1655263728.0740871,882595,0.0
1655263813.62292,892624,0.0
1655263894.311612,902718,0.0
1655263975.6685364,912768,0.0
1655264052.2544277,922771,0.0
1655264132.596196,932804,0.0
1655264218.0404677,942841,0.0
1655264296.0475368,952862,0.0
1655264375.6770747,962910,0.0
1655264451.1754286,973012,0.0
1655264528.1281629,983043,0.0
1655264612.545849,993131,0.0
1655264692.3985736,1003222,0.0
1655264772.5549152,1013264,0.0
1655264853.7048,1023318,0.0
1655264937.4727058,1033462,0.0
1655265024.5461714,1043517,0.0
1655265107.9565692,1053628,0.0
1655265193.5844147,1063701,0.0
1655265274.3776755,1073755,0.0
1655265360.5188615,1083924,0.0
1655265442.8421617,1093931,0.0
1655265521.6637783,1103975,0.0
1655265597.7446828,1113977,0.0
1655265680.6570368,1124063,0.0
1655265768.5449111,1134076,0.0
1655265851.7850602,1144113,0.0
1655265936.5497036,1154356,0.0
1655266024.0882938,1164471,0.0
1655266117.115147,1174502,0.0
1655266203.4528825,1184582,0.0
1655266286.8634632,1194615,0.0
1655266370.6435368,1204692,0.0
1655266465.8527036,1214850,0.0
1655266549.892611,1224928,0.0
1655266634.1503634,1235036,0.0
1655266718.5365884,1245078,0.0
1655266799.8709595,1255115,0.0
1655266887.067414,1265189,0.0
1655266974.4492087,1275232,0.0
1655267062.5785875,1285316,0.0
1655267148.1599286,1295324,0.0
1655267244.5823514,1305523,0.0
1655267326.7124758,1315551,0.0
1655267412.6938741,1325609,0.0
1655267497.2413108,1335722,0.0
1655267589.7687664,1345815,0.0
1655267673.308711,1355864,0.0
1655267760.4514275,1365976,0.0
1655267841.8274407,1376102,0.0
1655267932.1125612,1386106,0.0
1655268018.74147,1396201,0.0
1655268103.2627606,1406226,0.0
1655268194.0022907,1416468,0.0
1655268286.9573276,1426686,0.0
1655268372.0592961,1436726,0.0
1655268458.403336,1446731,0.0
1655268548.414143,1456894,0.0
1655268632.8608828,1466989,0.0
1655268717.4622228,1477027,0.0
1655268802.628532,1487131,0.0
1655268897.1968164,1497133,0.0
1655268984.40675,1507235,0.0
1655269070.7650688,1517327,0.0
1655269152.2907572,1527329,0.0
1655269244.3374858,1537435,0.0
1655269330.1686625,1547522,0.0
1655269413.7408533,1557538,0.0
1655269501.2288747,1567713,0.0
1655269593.8395905,1577844,0.0
1655269677.7179518,1587954,0.0
1655269766.4265807,1598120,0.0
1655269845.1159835,1608147,0.0
1655269936.6730535,1618176,0.0
1655270020.2537005,1628408,0.0
1655270106.2076747,1638572,0.0
1655270201.6535256,1648715,0.0
1655270286.3112495,1658768,0.0
1655270371.7591658,1669012,0.0
1655270457.1370218,1679118,0.0
1655270547.4150906,1689173,0.0
1655270630.0893729,1699238,0.0
1655270717.7460642,1709365,0.0
1655270806.369083,1719598,0.0
1655270897.923089,1729642,0.0
1655270985.3675046,1739757,0.0
1655271072.6013908,1749910,0.0
1655271159.095042,1760032,0.0
1655271253.750797,1770159,0.0
1655271341.8480213,1780289,0.03125
1655271426.9680214,1790330,0.0
1655271515.835208,1800402,0.03125
1655271610.0264068,1810429,0.0
1655271694.3101292,1820492,0.0
1655271782.6901445,1830562,0.0
1655271877.3913724,1840742,0.0
1655271965.146509,1850756,0.0
1655272053.7448847,1860989,0.0
1655272145.3127065,1871072,0.0
1655272239.1273043,1881204,0.0
1655272327.846103,1891373,0.0
1655272415.3644588,1901438,0.0
1655272503.0987713,1911569,0.0
1655272598.9222465,1921614,0.0
1655272684.192743,1931777,0.0
1655272772.4271908,1942012,0.0
1655272866.2482953,1952135,0.0
1655272950.3821864,1962285,0.0
1655273040.9317043,1972436,0.0
1655273128.4269674,1982679,0.0
1655273221.3016589,1992765,0.0
