Wall time,Step,Value
1655302727.4192324,46,0.0
1655302811.3372028,10069,0.0
1655302900.8808393,20079,0.0
1655302991.3703215,30081,0.0
1655303077.5626645,40084,0.0
1655303163.8128579,50097,0.0
1655303251.49731,60115,0.0
1655303333.6415195,70115,0.0
1655303417.6111453,80121,0.0
1655303499.0955594,90121,0.0
1655303583.28175,100126,0.0
1655303662.4315176,110130,0.0
1655303747.9068053,120151,0.0
1655303827.994815,130170,0.0
1655303905.947246,140183,0.0
1655303985.966808,150185,0.0
1655304064.1539578,160198,0.0
1655304143.7652617,170204,0.0
1655304229.017816,180222,0.0
1655304307.7221918,190228,0.0
1655304387.6293402,200239,0.0
1655304464.846217,210257,0.03125
1655304543.8318002,220269,0.03125
1655304621.3873346,230276,0.0
1655304705.3064725,240285,0.0
1655304784.6077845,250300,0.0
1655304862.3606071,260308,0.03125
1655304942.5952747,270327,0.0
1655305020.1526947,280346,0.0
1655305097.1296282,290347,0.03125
1655305176.8488297,300365,0.0
1655305257.1456225,310393,0.0
1655305319.2642088,320428,0.0
1655305385.2597728,330438,0.0
1655305461.201307,340459,0.0
1655305545.0825517,350479,0.0
1655305638.285821,360493,0.0
1655305736.4867263,370510,0.0
1655305831.2777438,380519,0.0
1655305924.0832775,390533,0.03125
1655306020.1614952,400546,0.0
1655306113.4858117,410552,0.125
1655306213.3149388,420560,0.0625
1655306310.389714,430564,0.03125
1655306403.8615801,440575,0.0625
1655306492.0342622,450576,0.0
1655306574.8655224,460593,0.03125
1655306654.834679,470611,0.0
1655306741.661127,480614,0.03125
1655306821.7246501,490638,0.0
1655306901.67397,500650,0.0
1655306982.771098,510664,0.03125
1655307061.6619322,520676,0.03125
1655307141.6145735,530683,0.03125
1655307226.0420868,540687,0.0
1655307304.3835409,550705,0.03125
1655307384.343462,560705,0.125
1655307463.3322308,570724,0.0625
1655307542.43539,580732,0.0
1655307622.4993775,590743,0.125
1655307707.8884358,600747,0.03125
1655307788.9148695,610750,0.15625
1655307869.1061995,620750,0.0625
1655307950.2954462,630750,0.125
1655308031.055912,640762,0.125
1655308110.4241877,650762,0.0625
1655308196.3252876,660766,0.15625
1655308274.8085182,670791,0.125
1655308352.094501,680813,0.28125
1655308430.9543936,690833,0.0625
1655308508.627158,700839,0.1875
1655308587.7228773,710840,0.0625
1655308672.0834222,720854,0.09375
1655308749.4035082,730861,0.15625
1655308827.9936407,740863,0.3125
1655308905.0762162,750872,0.15625
1655308984.3244827,760873,0.4375
1655309062.3272452,770880,0.21875
1655309146.7369225,780883,0.40625
1655309227.7963378,790897,0.4375
1655309306.1079087,800907,0.25
1655309387.2086525,810928,0.3125
1655309467.1428542,820929,0.71875
1655309547.0676332,830945,0.53125
1655309633.9245422,840965,0.8125
1655309713.1221023,850978,0.5625
1655309793.1453755,860998,0.8125
1655309873.671914,871014,0.6875
1655309951.13998,881023,0.78125
1655310032.037669,891044,0.84375
1655310116.411632,901061,0.84375
1655310195.3070366,911068,0.875
1655310275.594582,921068,0.875
1655310354.4863405,931076,0.71875
1655310435.7515721,941088,0.84375
1655310514.8877165,951107,0.78125
1655310599.647549,961119,0.875
1655310679.340374,971146,0.84375
1655310757.886963,981164,0.65625
1655310839.8373914,991189,0.875
1655310919.5476286,1001210,0.84375
1655310997.056152,1011211,0.8125
1655311083.3604033,1021234,0.65625
1655311161.80949,1031243,0.78125
1655311239.4688246,1041259,0.875
1655311317.7764778,1051264,0.9375
1655311395.0041716,1061270,0.9375
1655311473.886255,1071280,0.84375
1655311557.459052,1081299,0.8125
1655311635.4953587,1091364,0.875
1655311714.978872,1101377,0.84375
1655311793.8891532,1111389,0.875
1655311873.2247465,1121412,0.875
1655311954.0694702,1131428,0.875
1655312038.4617777,1141444,0.84375
1655312119.472452,1151471,0.875
1655312198.4838414,1161487,0.8125
1655312277.1754913,1171490,0.78125
1655312358.3385866,1181491,0.875
1655312438.0445328,1191493,0.84375
1655312522.8288038,1201494,0.8125
1655312602.9731824,1211502,0.8125
1655312682.2083015,1221526,0.8125
1655312760.6531248,1231543,0.78125
1655312841.2216663,1241554,0.9375
1655312920.5626407,1251560,0.875
1655313008.8385508,1261575,0.90625
1655313088.9964974,1271591,0.9375
1655313167.9436476,1281600,1.0
1655313248.5237966,1291619,0.875
1655313327.9664333,1301624,0.8125
1655313407.4866688,1311628,0.96875
1655313493.1747568,1321649,0.9375
1655313570.4065456,1331661,0.8125
1655313648.4025106,1341674,0.875
1655313726.7822425,1351674,0.8125
1655313803.498866,1361693,0.8125
1655313882.3522344,1371703,0.9375
1655313965.5957518,1381728,0.9375
1655314043.039667,1391734,0.6875
1655314121.797344,1401757,0.875
1655314198.8242335,1411767,0.90625
1655314277.019747,1421780,0.875
1655314355.0954702,1431786,0.875
1655314439.2812262,1441807,0.90625
1655314517.4062889,1451817,0.90625
1655314593.9184687,1461838,0.9375
1655314672.4736803,1471855,0.78125
1655314750.5454564,1481872,0.9375
1655314827.213488,1491880,0.9375
