Wall time,Step,Value
1655380571.65529,22,0.59375
1655380778.7577991,10027,0.4375
1655381007.9495676,20084,0.375
1655381237.1124835,30092,0.4375
1655381437.7709494,40107,0.59375
1655381628.4556646,50218,0.375
1655381790.4967086,60314,0.3125
1655381972.1199803,70405,0.53125
1655382138.6953604,80413,0.46875
1655382298.1422687,90414,0.65625
1655382471.7207043,100456,0.6875
1655382634.155849,110477,0.84375
1655382807.92982,120503,0.84375
1655382995.8313212,130625,0.75
1655383203.7362802,140719,0.6875
1655383398.2714381,150725,0.71875
1655383597.5791924,160753,0.78125
1655383815.2485564,170767,0.71875
1655384028.176582,180802,0.9375
1655384241.2903874,190855,0.65625
1655384455.7545466,200865,0.90625
1655384653.5263524,210870,1.0
1655384878.4024863,220870,0.53125
1655385099.3279788,230944,1.0
1655385312.6173851,240953,0.875
1655385517.1102364,250964,0.78125
1655385722.895834,260979,0.71875
1655385929.325011,270979,0.875
1655386111.577524,281022,0.875
1655386303.2285168,291110,0.9375
1655386488.75142,301114,0.90625
1655386684.3812912,311114,0.9375
1655386869.5199373,321143,0.96875
1655387056.0077903,331251,0.875
1655387253.5705361,341264,0.875
1655387446.5338166,351273,0.90625
1655387631.8288465,361280,0.96875
1655387821.600932,371320,0.90625
1655388022.5605097,381327,0.84375
1655388228.0699136,391345,1.0
1655388438.8637106,401379,0.96875
1655388656.9583724,411402,1.0
1655388855.7119064,421418,0.84375
1655389089.6428268,431429,0.90625
1655389305.7377048,441446,0.875
1655389522.8452,451469,0.96875
1655389748.555357,461643,0.9375
1655389974.987779,471795,0.9375
1655390219.62911,481816,1.0
1655390452.667188,491825,1.0
1655390692.612627,501840,1.0
1655390920.826762,511840,0.96875
1655391158.5861568,521886,0.875
1655391375.9509418,531888,0.96875
1655391580.9737391,541903,1.0
1655391788.4891171,551941,0.96875
1655392008.0193064,561941,0.96875
1655392234.0865767,571953,0.90625
1655392450.4616728,581980,0.96875
1655392670.377642,591983,1.0
1655392895.946954,601992,1.0
1655393126.070227,612001,1.0
1655393363.8771482,622008,1.0
1655393583.4334402,632008,1.0
1655393812.0327208,642015,1.0
1655394042.3635132,652015,0.9375
1655394247.781622,662025,0.96875
1655394448.7444923,672047,1.0
1655394662.7845552,682051,0.96875
1655394865.834439,692082,1.0
1655395068.9884276,702087,0.9375
1655395281.7769923,712111,0.9375
1655395481.5038774,722124,0.90625
1655395692.394284,732172,0.71875
1655395897.6479871,742182,0.90625
1655396103.3415701,752190,0.96875
1655396327.7718072,762209,0.96875
1655396551.6516821,772221,0.875
1655396745.266515,782227,1.0
1655396964.6955688,792238,0.78125
1655397175.672381,802248,0.96875
1655397384.8228326,812257,0.9375
1655397618.6336224,822272,0.96875
1655397824.0040848,832282,1.0
1655398041.4461987,842288,0.90625
1655398264.373355,852289,0.96875
1655398479.2353523,862290,0.96875
1655398692.656608,872293,1.0
1655398901.388534,882339,0.9375
1655399112.3297474,892358,0.96875
1655399340.6511981,902409,0.96875
1655399556.314614,912428,0.96875
1655399775.8063064,922431,1.0
1655399997.42919,932441,1.0
1655400241.0934136,942451,0.9375
1655400474.0502236,952452,1.0
1655400705.8956351,962473,1.0
1655400940.8389938,972476,0.96875
1655401172.7799246,982487,1.0
1655401388.815703,992500,0.96875
1655401610.6029391,1002642,0.96875
1655401831.4403958,1012654,1.0
1655402044.1536238,1022668,0.96875
1655402254.7146738,1032692,0.96875
1655402475.0743837,1042701,1.0
1655402689.0408807,1052828,1.0
1655402909.4993052,1062864,1.0
1655403137.9148765,1072871,0.96875
1655403358.4997466,1082876,1.0
1655403587.9076471,1092888,1.0
1655403821.3312478,1103076,0.96875
1655404051.0448022,1113082,0.9375
1655404281.6846354,1123091,1.0
1655404520.1758282,1133092,0.96875
1655404757.6321726,1143107,1.0
1655404994.3687768,1153117,1.0
1655405219.8365026,1163129,1.0
1655405448.1624377,1173130,1.0
1655405674.296946,1183133,1.0
1655405900.9551811,1193139,0.96875
1655406128.8769903,1203151,1.0
1655406350.7672458,1213158,0.9375
1655406559.9234352,1223163,1.0
1655406762.3009796,1233165,1.0
1655406949.2473593,1243170,1.0
1655407141.7647448,1253193,0.96875
1655407335.5324385,1263204,0.96875
1655407525.1274395,1273221,1.0
1655407714.9963853,1283242,0.96875
1655407903.4071,1293242,0.90625
1655408089.41742,1303256,0.96875
1655408278.2977028,1313262,0.96875
1655408466.0748305,1323268,0.9375
1655408658.9226408,1333306,1.0
1655408852.1583965,1343315,1.0
1655409041.3828635,1353327,0.96875
1655409228.9226236,1363335,1.0
1655409428.4679143,1373344,1.0
1655409619.45923,1383353,0.9375
1655409812.2704785,1393379,1.0
1655409996.2705579,1403384,0.90625
1655410184.3209884,1413395,1.0
1655410369.5251539,1423438,1.0
1655410552.9355204,1433449,0.96875
1655410739.4774644,1443455,0.96875
1655410923.8138669,1453459,1.0
1655411122.151896,1463470,1.0
1655411309.397506,1473489,0.96875
1655411503.5834785,1483492,1.0
1655411701.258059,1493504,1.0
1655411891.5016823,1503517,0.90625
1655412084.7767847,1513519,0.96875
1655412269.0245922,1523539,1.0
1655412452.9700212,1533545,0.9375
1655412635.8693237,1543546,1.0
1655412822.0677066,1553546,1.0
1655412995.14707,1563558,1.0
1655413175.6527855,1573699,1.0
1655413357.3192172,1583708,0.96875
1655413555.8311179,1593723,0.96875
1655413748.500914,1603734,1.0
1655413956.701301,1613735,1.0
1655414156.9523158,1623787,1.0
1655414354.5085716,1633820,1.0
1655414551.2262716,1643829,1.0
1655414748.4395373,1653830,1.0
1655414944.969759,1663844,0.96875
1655415151.4007027,1673844,0.96875
1655415335.9056478,1683844,1.0
1655415532.6017163,1693847,1.0
1655415727.8927376,1703853,1.0
1655415922.6027217,1713860,0.96875
1655416115.0175097,1723861,0.96875
1655416313.5653207,1733862,1.0
1655416493.9743388,1743873,0.9375
1655416673.1812232,1754066,1.0
1655416859.0212805,1764076,1.0
1655417054.7340446,1774083,1.0
1655417248.9204285,1784095,1.0
1655417438.0848577,1794100,0.84375
1655417599.3656304,1804211,0.96875
1655417812.6426666,1814239,1.0
1655418021.922159,1824257,0.96875
1655418235.3833363,1834258,1.0
1655418436.3520901,1844269,1.0
1655418644.0289805,1854269,0.96875
1655418843.83847,1864275,0.96875
1655419056.3920734,1874291,0.9375
1655419254.5210102,1884292,0.96875
1655419453.0719364,1894297,1.0
1655419661.0773382,1904307,1.0
1655419874.8306718,1914313,1.0
1655420078.2178946,1924313,0.96875
1655420278.8361309,1934318,0.96875
1655420481.130483,1944318,1.0
1655420675.836171,1954325,1.0
1655420863.0543377,1964346,1.0
1655421055.1657321,1974346,1.0
1655421258.8798256,1984347,1.0
1655421452.1112983,1994354,1.0
