Wall time,Step,Value
1654164406.5380404,60,0.0
1654164488.8383787,10065,0.0
1654164571.2092843,20086,0.0
1654164660.5537028,30133,0.0
1654164748.587037,40208,0.0
1654164841.6223638,50208,0.0
1654164934.3508334,60228,0.0
1654165015.1360536,70238,0.0
1654165098.57333,80241,0.0
1654165183.5094984,90242,0.0
1654165277.4212747,100249,0.0
1654165377.958643,110276,0.0
1654165472.4048154,120298,0.0
1654165567.7780645,130310,0.0
1654165660.8698027,140325,0.0
1654165751.5863836,150335,0.0
1654165850.508074,160357,0.0
1654165943.7606688,170368,0.0
1654166038.0607219,180392,0.0
1654166128.905779,190422,0.0
1654166215.2128942,200446,0.0
1654166304.7716527,210449,0.0
1654166401.805542,220474,0.0
1654166491.3864157,230517,0.0
1654166583.3674273,240554,0.0
1654166675.0832295,250577,0.0
1654166760.799752,260610,0.0
1654166851.2952843,270618,0.0
1654166948.3150191,280654,0.0
1654167038.9848137,290757,0.0
1654167130.0993943,300800,0.0
1654167219.7617288,310836,0.0
1654167311.6419258,320843,0.0
1654167404.9036658,330881,0.0
1654167488.9167,340915,0.0
1654167573.7595744,350928,0.0
1654167662.256986,361078,0.0
1654167750.0730977,371116,0.0
1654167842.0952435,381155,0.0
1654167939.901185,391201,0.0
1654168027.5704637,401238,0.0
1654168118.2864528,411260,0.0
1654168210.7399395,421274,0.0
1654168303.1216307,431313,0.0
1654168392.9767709,441330,0.0
1654168487.405524,451345,0.0
1654168571.0855367,461349,0.0
1654168657.1359916,471499,0.0
1654168745.0625503,481559,0.0
1654168834.1688051,491566,0.0
1654168929.9291232,501605,0.0
1654169019.942022,511643,0.0
1654169111.5099292,521675,0.0
1654169204.7194383,531688,0.0
1654169292.1242452,541709,0.0
1654169383.9495387,551746,0.0
1654169481.617698,561796,0.0
1654169572.4331179,571812,0.0
1654169662.9358068,581834,0.0
1654169752.541738,591854,0.0
1654169841.6948595,601883,0.0
1654169937.7846575,611907,0.0
1654170026.7186186,622055,0.0
1654170116.2091894,632112,0.0
1654170208.7687247,642133,0.0
1654170294.2324123,652141,0.0
1654170384.1129067,662304,0.0
1654170479.6985295,672351,0.0
1654170566.972708,682359,0.0
1654170657.3441644,692393,0.0
1654170744.1360722,702413,0.0
1654170836.1365004,712458,0.0
1654170933.640041,722487,0.0
1654171023.8932943,732499,0.0
1654171114.5637717,742538,0.0
1654171201.9423194,752579,0.0
1654171290.1335435,762655,0.0
1654171379.3729036,772667,0.0
1654171472.3647356,782676,0.0
1654171556.1632373,792707,0.0
1654171641.3753235,802748,0.0
1654171728.9944692,812793,0.0
1654171812.0485654,822804,0.0
1654171904.765327,832825,0.0
1654171993.4579098,842840,0.0
1654172079.7726102,852848,0.0
1654172169.219837,862899,0.0
1654172257.2899642,873041,0.0
1654172344.7916842,883078,0.0
1654172430.0125668,893125,0.0
1654172517.4458146,903130,0.0
1654172602.1277747,913172,0.0
1654172686.6286,923186,0.0
1654172773.9464917,933224,0.0
1654172868.1252472,943252,0.0
1654172954.2935016,953279,0.0
1654173040.9589605,963301,0.0
1654173127.9083009,973329,0.0
1654173208.5625944,983329,0.0
1654173299.8496206,993349,0.0
1654173382.107224,1003394,0.0
1654173466.3137949,1013420,0.0
1654173551.7451565,1023459,0.0
1654173636.0858088,1033462,0.0
1654173719.937299,1043479,0.0
1654173807.509847,1053526,0.0
1654173890.2593062,1063547,0.0
1654173973.9996192,1073651,0.0
1654174054.730244,1083669,0.0
1654174138.44785,1093680,0.0
1654174227.282668,1103825,0.0
1654174311.4569836,1113882,0.0
1654174397.744549,1123885,0.0
1654174477.5931363,1133896,0.0
1654174559.9320853,1143911,0.0
1654174652.9619746,1154004,0.0
1654174734.6304119,1164098,0.0
1654174816.022628,1174141,0.0
1654174896.1495523,1184266,0.0
1654174978.7135372,1194272,0.0
1654175061.757199,1204328,0.0
1654175145.831169,1214366,0.0
1654175228.924117,1224391,0.0
1654175311.0736825,1234430,0.0
1654175397.6400805,1244468,0.0
1654175484.5391111,1254516,0.0
1654175565.4067798,1264520,0.0
1654175647.3047788,1274564,0.0
1654175728.5572572,1284632,0.0
1654175812.0000622,1294703,0.0
1654175903.9276948,1304770,0.0
1654175987.176852,1314804,0.0
1654176072.2409575,1324881,0.0
1654176152.0662954,1334993,0.0
1654176235.3083777,1345032,0.0
1654176323.1156657,1355033,0.0
1654176408.1652114,1365056,0.0
1654176493.345176,1375102,0.0
1654176574.028586,1385155,0.0
1654176654.6221175,1395184,0.0
1654176739.2564046,1405241,0.0
1654176825.19107,1415280,0.0
1654176907.4305747,1425438,0.0
1654176988.1475394,1435445,0.0
1654177069.0617352,1445590,0.0
1654177146.4018984,1455646,0.0
1654177234.5435624,1465690,0.0
1654177314.3215773,1475775,0.0
1654177394.2791824,1485864,0.0
1654177475.010757,1495892,0.0
1654177552.9623508,1505929,0.0
1654177640.866088,1515940,0.0
1654177718.4410338,1526021,0.0
1654177797.5491142,1536103,0.0
1654177876.7271888,1546237,0.0
1654177954.757978,1556243,0.0
1654178039.0716615,1566271,0.0
1654178115.1776388,1576271,0.0
1654178193.4823372,1586309,0.0
1654178269.59793,1596420,0.0
1654178352.0316148,1606456,0.0
1654178428.8739889,1616459,0.0
1654178509.7547302,1626536,0.0
1654178585.6877978,1636537,0.0
1654178661.3155892,1646546,0.0
1654178746.406433,1656675,0.0
1654178825.0569446,1666732,0.0
1654178903.3699296,1676798,0.0
1654178976.9189534,1686819,0.0
1654179054.183293,1696892,0.0
1654179138.143884,1707028,0.0
1654179212.8878593,1717063,0.0
1654179290.8325315,1727094,0.0
1654179368.1957798,1737240,0.0
1654179442.326035,1747268,0.0
1654179524.5888786,1757351,0.0
1654179600.4505677,1767385,0.0
1654179678.600567,1777414,0.0
1654179752.7886775,1787482,0.0
1654179829.6084728,1797545,0.0
1654179910.8515096,1807594,0.0
1654179986.9792788,1817631,0.0
1654180061.1318102,1827704,0.0
1654180139.823593,1837705,0.0
1654180221.2459505,1847788,0.0
1654180299.3058114,1857859,0.0
