Wall time,Step,Value
1654566895.7300532,42,0.0
1654566984.3667133,10051,0.0
1654567073.6632679,20064,0.0
1654567168.2301047,30073,0.0
1654567274.242228,40073,0.0
1654567375.5300503,50081,0.0
1654567477.5239277,60088,0.0
1654567569.89723,70110,0.0
1654567662.0691817,80111,0.0
1654567755.2517486,90141,0.0
1654567847.2414076,100160,0.0
1654567943.3558464,110188,0.0
1654568044.5455222,120192,0.0
1654568132.0628583,130192,0.0
1654568224.8437781,140201,0.0
1654568308.7642546,150314,0.0
1654568392.9525886,160318,0.0
1654568481.318198,170324,0.0
1654568557.1127853,180329,0.0
1654568635.697732,190491,0.0
1654568707.3654044,200613,0.0
1654568781.8930967,210615,0.0
1654568861.3383133,220786,0.0
1654568935.9192858,230815,0.0
1654569010.029464,240959,0.0
1654569083.3953507,250963,0.0
1654569160.8562665,260972,0.0
1654569235.4527442,271018,0.0
1654569307.4688973,281044,0.0
1654569379.1212356,291126,0.0
1654569452.184868,301164,0.0
1654569529.2570236,311215,0.0
1654569600.5999389,321242,0.0
1654569671.3299427,331400,0.0
1654569748.928215,341541,0.0
1654569822.158087,351582,0.0
1654569905.487841,361585,0.0
1654569978.455412,371618,0.0
1654570053.5182297,381626,0.0
1654570127.7146702,391628,0.0
1654570198.3227763,401644,0.0
1654570280.0651515,411675,0.0
1654570354.8807719,421717,0.0
1654570428.4371893,431729,0.0
1654570500.0509143,441840,0.0
1654570574.9233541,451883,0.0
1654570657.4837725,461953,0.0
1654570734.3750522,471991,0.0
1654570812.0294514,481994,0.0
1654570886.7810004,492046,0.0
1654570959.4962168,502088,0.0
1654571038.8101306,512254,0.0
1654571112.9396427,522389,0.0
1654571186.356379,532500,0.0
1654571256.76832,542618,0.0
1654571332.653283,552716,0.0
1654571414.2381902,562832,0.0
1654571484.3286088,572884,0.0
1654571557.2623956,582977,0.0
1654571628.765255,593098,0.0
1654571707.4877596,603201,0.0
1654571780.4592986,613240,0.0
1654571853.849479,623282,0.0
1654571926.5150332,633404,0.0
1654571998.474381,643482,0.0
1654572079.975953,653549,0.0
1654572156.4940028,663639,0.0
1654572226.314372,673652,0.0
1654572302.527117,683809,0.0
1654572381.286458,693853,0.0
1654572455.0592775,703855,0.0
1654572529.3689973,714015,0.0
1654572601.6940174,724166,0.0
1654572672.861942,734285,0.0
1654572753.3145895,744290,0.0
1654572827.092014,754395,0.0
1654572900.8583367,764552,0.0
1654572974.2040074,774578,0.0
1654573045.6186638,784736,0.0
1654573123.7803023,794833,0.0
1654573199.1002338,804969,0.0
1654573272.5538518,815022,0.0
1654573346.6465077,825113,0.0
1654573422.3382509,835139,0.0
1654573502.6724424,845182,0.0
1654573574.4793606,855317,0.0
1654573648.5826795,865346,0.0
1654573724.044934,875518,0.0
1654573805.0044415,885562,0.0
1654573886.6972296,895602,0.0
1654573965.4977663,905635,0.0
1654574041.9442673,915675,0.0
1654574116.0433226,925825,0.0
1654574199.3333178,935833,0.0
1654574277.8087811,945862,0.0
1654574355.3962786,955882,0.0
1654574435.4111767,966055,0.0
1654574506.8380568,976193,0.03125
1654574590.859441,986322,0.0
1654574667.3548589,996374,0.0
1654574742.621905,1006471,0.0
1654574819.3835993,1016527,0.0
1654574891.266655,1026688,0.0
1654574969.354198,1036867,0.0
1654575044.6808755,1047040,0.0
1654575120.1072648,1057073,0.0
1654575191.890236,1067086,0.0
1654575268.8996441,1077173,0.0
1654575348.2240741,1087314,0.0
1654575423.0142777,1097354,0.0
1654575496.1451495,1107523,0.03125
1654575567.16618,1117630,0.03125
1654575641.039403,1127680,0.0
1654575719.2817051,1137796,0.0
1654575790.2243896,1147927,0.03125
1654575860.9360056,1157963,0.0
1654575930.4077759,1168076,0.0
1654576008.9181714,1178117,0.0
1654576080.3594747,1188261,0.0
1654576150.2671254,1198296,0.0
1654576220.574408,1208411,0.0
1654576295.3482556,1218563,0.0
1654576374.6567523,1228620,0.0
1654576444.2610252,1238663,0.0
1654576515.0895197,1248792,0.0
1654576585.8185358,1258815,0.0
1654576664.8101187,1268818,0.0
1654576737.4130507,1278931,0.0
1654576811.9479125,1288951,0.03125
1654576883.1226516,1299112,0.03125
1654576963.1137817,1309227,0.03125
1654577036.095632,1319374,0.0
1654577111.6576264,1329409,0.03125
1654577183.480528,1339420,0.0
1654577255.2294793,1349478,0.0
1654577334.5433657,1359519,0.03125
1654577405.4115548,1369555,0.03125
1654577474.8901148,1379645,0.03125
1654577546.0992622,1389666,0.0
1654577617.3005989,1399669,0.0
1654577696.891607,1409675,0.0
1654577770.3065746,1419721,0.0
1654577842.4381583,1429785,0.0
1654577913.342216,1439921,0.0
1654577986.6551414,1449936,0.0
1654578062.6028395,1460018,0.0625
1654578134.686512,1470071,0.0
1654578208.2610931,1480080,0.0
1654578277.2893953,1490183,0.0
1654578357.8756618,1500208,0.0
1654578431.4595642,1510268,0.0
1654578504.856452,1520435,0.0
1654578577.0528903,1530560,0.0
1654578649.1583545,1540584,0.03125
1654578729.8789759,1550761,0.0
1654578803.433254,1560782,0.0
1654578876.3465786,1570840,0.0
1654578945.8710227,1580941,0.0
1654579023.483351,1591112,0.0
1654579093.131621,1601190,0.03125
1654579163.813329,1611257,0.09375
1654579238.2914913,1621422,0.0
1654579313.817771,1631458,0.0
1654579391.907487,1641559,0.09375
1654579463.2245574,1651564,0.15625
1654579534.701902,1661729,0.09375
1654579609.913244,1671860,0.0625
1654579682.2824087,1681970,0.0
1654579763.9613976,1692131,0.125
1654579837.6621215,1702253,0.0
1654579908.33834,1712259,0.0625
1654579980.6982114,1722280,0.125
1654580052.1203253,1732387,0.09375
1654580129.8607757,1742397,0.03125
1654580201.2524002,1752403,0.03125
1654580271.7733579,1762407,0.03125
1654580343.1641893,1772439,0.0625
1654580423.5506732,1782537,0.03125
1654580496.2855754,1792635,0.0
1654580569.747201,1802721,0.03125
1654580641.5494118,1812721,0.03125
1654580717.0525987,1822892,0.03125
1654580797.5197945,1833068,0.03125
1654580871.0009148,1843095,0.125
1654580941.4829555,1853124,0.0
1654581017.4660134,1863166,0.0625
1654581088.9932067,1873219,0.09375
1654581165.2008603,1883281,0.0625
1654581237.3551931,1893307,0.03125
1654581312.3208218,1903352,0.03125
1654581382.580438,1913356,0.0625
1654581462.047586,1923533,0.15625
1654581534.4851751,1933657,0.0625
1654581606.4749725,1943725,0.0625
1654581677.426438,1953869,0.125
1654581750.3289013,1964016,0.0
1654581827.4815915,1974172,0.0625
1654581896.76222,1984189,0.03125
1654581970.7210944,1994235,0.0
1654582041.3659985,2004271,0.03125
1654582120.6251962,2014321,0.09375
1654582192.373129,2024334,0.0625
1654582264.0694208,2034410,0.0625
1654582335.4847662,2044541,0.03125
1654582406.8353944,2054573,0.0625
1654582483.5949135,2064585,0.0625
1654582554.5222225,2074611,0.03125
1654582626.0985234,2084743,0.125
1654582697.9484026,2094856,0.125
1654582776.2254465,2104968,0.03125
1654582847.3853786,2115055,0.15625
1654582917.6178937,2125165,0.15625
1654582989.5370843,2135262,0.03125
1654583070.1231308,2145353,0.0
1654583142.7128322,2155525,0.0
1654583216.6586251,2165536,0.0625
1654583289.0946202,2175713,0.125
