Wall time,Step,Value
1654412487.7772815,36,0.0
1654412585.9981997,10044,0.0
1654412685.6785808,20068,0.0
1654412784.9045253,30070,0.0
1654412884.238592,40107,0.0
1654412982.1405413,50113,0.0
1654413086.163248,60140,0.0
1654413205.5157819,70140,0.0
1654413300.739882,80167,0.0
1654413399.1962414,90205,0.0
1654413501.346978,100224,0.0
1654413612.713842,110234,0.0
1654413713.809724,120267,0.0
1654413817.4211316,130288,0.0
1654413917.5540662,140321,0.0
1654414017.5665085,150324,0.0
1654414122.7370496,160340,0.0
1654414233.291657,170353,0.0
1654414332.172585,180371,0.0
1654414433.8812084,190385,0.0
1654414535.2093081,200411,0.0
1654414638.3092358,210427,0.0
1654414739.0901814,220430,0.0
1654414847.3220475,230457,0.0
1654414947.5410368,240468,0.0
1654415047.9168208,250479,0.0
1654415149.4298532,260497,0.0
1654415249.741527,270509,0.0
1654415348.5811138,280527,0.0
1654415454.516709,290539,0.0
1654415553.756666,300551,0.0
1654415652.705903,310556,0.0
1654415750.320579,320590,0.0
1654415849.1858993,330604,0.0
1654415944.887816,340633,0.0
1654416047.5679848,350822,0.0
1654416142.91737,360835,0.0
1654416236.468941,370883,0.0
1654416327.2551472,380885,0.0
1654416415.1474233,391047,0.0
1654416507.890473,401051,0.0
1654416607.8941934,411070,0.0
1654416713.372555,421100,0.0
1654416799.6014144,431212,0.0
1654416887.5663319,441237,0.0
1654416986.4268174,451241,0.0
1654417087.9080808,461539,0.0
1654417181.606801,471710,0.0
1654417283.0815175,481958,0.0
1654417373.6679914,491961,0.0
1654417477.6667418,501993,0.0
1654417569.7233758,512012,0.0
1654417669.815532,522020,0.0
1654417759.453148,532198,0.0
1654417866.9419239,542309,0.0
1654417966.7791934,552319,0.0
1654418061.3747473,562354,0.0
1654418148.6683877,572698,0.0
1654418228.018383,582888,0.0
1654418300.957587,592938,0.0
1654418415.3063786,603195,0.0
1654418497.6678593,613211,0.0
1654418577.2653224,623225,0.0
1654418677.6500094,633264,0.0
1654418786.9145558,643616,0.0
1654418890.5876112,653640,0.0
1654418991.505709,663656,0.0
1654419081.0513077,673667,0.0
1654419204.331978,683720,0.0
1654419305.7344575,693796,0.0
1654419391.1558826,704101,0.0
1654419495.305002,714127,0.0
1654419574.1705675,724520,0.0
1654419672.6549737,734709,0.0
1654419782.3633196,744785,0.0
1654419872.8654542,754806,0.0
1654419979.049748,765111,0.0
1654420087.2265024,775359,0.0
1654420162.0416553,785702,0.0
1654420276.443718,795828,0.0
1654420374.5715091,805935,0.0
1654420475.6940508,815959,0.0
1654420561.6886663,826053,0.0
1654420660.688597,836439,0.0
1654420769.1248772,846831,0.0
1654420902.5170603,856865,0.0
1654420990.525901,866888,0.0
1654421078.9508195,877231,0.0
1654421191.6349874,887576,0.0
1654421301.4506392,897846,0.0
1654421378.2028782,907873,0.0
1654421460.406797,917904,0.0
1654421559.7431924,928054,0.0
1654421643.4450283,938061,0.0
1654421750.3884516,948076,0.0
