Wall time,Step,Value
1650250624.007836,31,0.0
1650251132.6866546,10060,0.0
1650251659.0100307,20075,0.0
1650252242.404119,30090,0.0
1650252840.4949484,40112,0.0
1650253550.3075297,50122,0.0
1650254075.156815,60152,0.0
1650254611.5779827,70159,0.0
1650255245.660422,80169,0.03125
1650255882.3977888,90181,0.0
1650256505.5326157,100192,0.0625
1650257097.3646579,110208,0.03125
1650257641.1762173,120208,0.03125
1650258143.0119486,130212,0.09375
1650258640.284956,140231,0.0625
1650259100.14852,150249,0.09375
1650259560.3697963,160250,0.0
1650259961.8124247,170265,0.0
1650260358.0172234,180360,0.1875
1650260754.6566749,190381,0.09375
1650261146.6507566,200394,0.125
1650261541.5258024,210394,0.1875
1650261941.3033473,220397,0.0
1650262343.4773862,230410,0.125
1650262772.1710775,240411,0.21875
1650263193.360045,250421,0.21875
1650263648.0610394,260437,0.3125
1650264100.994368,270456,0.25
1650264553.2221446,280458,0.125
1650264978.9159172,290477,0.34375
1650265435.58948,300496,0.40625
1650265871.661859,310522,0.375
1650266318.8850546,320528,0.5
1650266771.975515,330535,0.34375
1650267233.9164052,340536,0.34375
1650267716.5479472,350561,0.40625
1650268221.2504182,360577,0.34375
1650268716.5377793,370689,0.53125
1650269198.3858492,380691,0.25
1650269698.5140424,390707,0.75
1650270219.5931647,400720,0.5625
1650270769.9116645,410739,0.625
1650271313.3164332,420748,0.78125
1650271863.7002966,430755,0.71875
1650272398.2876008,440776,0.8125
1650272956.4604404,450797,0.53125
1650273511.1783857,460807,0.84375
1650274091.3504257,470860,0.875
1650274617.0357747,480871,0.875
1650275154.9927442,490877,0.90625
1650275646.3115408,500898,0.75
1650276127.2335844,510923,0.46875
1650276603.4536595,520954,0.875
1650277141.0530052,530962,0.90625
1650277661.4154792,541033,0.65625
1650278183.3000476,551039,0.78125
1650278707.5010095,561048,0.84375
1650279242.931899,571056,0.71875
1650279796.1589484,581071,0.8125
1650280399.1619768,591078,0.9375
1650280954.850571,601106,0.8125
1650281553.2870905,611122,0.90625
1650282118.4539068,621133,0.90625
1650282687.295503,631154,0.875
1650283208.2602713,641158,0.9375
1650283758.763943,651170,0.9375
1650284324.1007612,661193,0.84375
1650284864.1921625,671204,0.96875
1650285460.0579865,681228,0.9375
1650286055.937566,691254,0.96875
1650286659.2020323,701280,1.0
1650287226.487854,711280,0.96875
1650287779.4908826,721321,0.96875
1650288334.9540472,731334,0.9375
1650288867.8641706,741351,1.0
1650289397.1462758,751358,0.96875
1650289930.9488559,761373,1.0
1650290451.0064654,771383,0.9375
1650290957.1514225,781388,1.0
1650291443.7672305,791407,1.0
1650291941.9403064,801417,1.0
1650292420.1487525,811448,1.0
1650292880.8047168,821450,0.96875
1650293322.6242127,831475,1.0
1650293763.7809706,841498,0.96875
1650294201.1090956,851498,1.0
1650294645.8366294,861511,1.0
1650295071.8717253,871526,0.96875
1650295531.8348687,881544,0.90625
1650295974.5342252,891563,1.0
1650296420.6283214,901586,0.96875
1650296854.0186205,911611,0.96875
1650297269.717886,921637,0.9375
1650297707.264131,931653,1.0
1650298135.6281722,941682,0.9375
1650298559.4357667,951688,0.90625
1650298976.362411,961700,0.96875
1650299379.1659172,971704,0.96875
1650299781.8768542,981721,1.0
1650300191.8729901,991736,0.96875
