Wall time,Step,Value
1650251791,59,0
1650252216,10086,0
1650252659,20119,0
1650253137,30163,0
1650253605,40199,0
1650254051,50218,0
1650254444,60270,0
1650254834,70297,0
1650255230,80348,0
1650255582,90457,0
1650255939,100558,0
1650256250,110733,0
1650256547,120797,0
1650256858,130827,0
1650257244,140853,0
1650257743,150910,0
1650258250,160957,0
1650258750,170970,0
1650259243,180983,0
1650259743,191013,0
1650260241,201021,0
1650260725,211049,0
1650261213,221091,0
1650261722,231150,0
1650262223,241153,0
1650262725,251190,0
1650263229,261233,0
1650263723,271280,0
1650264214,281303,0
1650264708,291367,0
1650265182,301409,0
1650265663,311414,0
1650266144,321441,0
1650266604,331462,0
1650267051,341526,0
1650267451,351572,0
1650267774,361601,0
1650268114,371771,0
1650268446,381902,0
1650268775,392048,0
1650269109,402227,0
1650269447,412406,0
1650269782,422498,0
1650270112,432594,0
1650270453,442624,0
1650270785,452697,0
1650271120,462831,0
1650271447,473003,0.0625
1650271781,483167,0.0625
1650272108,493201,0.09375
1650272433,503212,0.09375
1650272780,513230,0.28125
1650273132,523369,0.15625
1650273487,533432,0.4375
1650273854,543549,0.375
1650274200,553608,0.71875
1650274566,563613,0.78125
1650274950,573643,0.6875
1650275357,583649,0.71875
1650275764,593678,0.625
1650276146,603795,0.84375
1650276564,613797,0.6875
1650276984,623862,0.6875
1650277425,633900,0.75
1650277831,644016,0.6875
1650278232,654182,0.53125
1650278636,664245,0.46875
1650279023,674268,0.75
1650279392,684289,0.78125
1650279773,694458,0.78125
1650280161,704556,0.78125
1650280528,714648,0.59375
1650280894,724730,0.84375
1650281273,734736,1
1650281689,744836,1
1650282128,754842,1
1650282530,764868,1
1650282911,774914,0.90625
1650283331,784970,0.96875
1650283752,795005,0.90625
1650284193,805063,0.96875
1650284631,815099,0.9375
1650285078,825101,0.90625
1650285536,835185,0.875
1650285980,845190,1
1650286429,855257,0.96875
1650286887,865284,0.875
1650287351,875294,0.96875
1650287837,885320,1
1650288315,895378,1
1650288807,905427,0.96875
1650289290,915470,1
1650289760,925581,0.96875
1650290253,935607,1
1650290690,945641,1
1650291135,955692,1
1650291572,965719,0.96875
1650292008,975798,0.96875
1650292466,985834,0.90625
1650292903,995916,0.9375
