Wall time,Step,Value
1649936945.0145113,55,0.03125
1649937201.7457278,10132,0.03125
1649937489.8906841,20152,0.0
1649937776.7370641,30167,0.0625
1649938073.6266878,40212,0.0
1649938376.6905012,50228,0.0
1649938628.652252,60228,0.0
1649938870.9217257,70232,0.0
1649939130.1569693,80244,0.0
1649939389.3438559,90307,0.0
1649939658.612381,100343,0.0
1649939905.9531372,110404,0.0
1649940132.6272047,120415,0.0
1649940372.781696,130420,0.0
1649940624.437806,140464,0.0
1649940886.939463,150464,0.0
1649941153.8754492,160493,0.0
1649941426.6238904,170527,0.0
1649941690.1900344,180544,0.0
1649941956.595063,190566,0.0
1649942222.6063929,200586,0.0
1649942498.7836025,210597,0.03125
1649942783.7650735,220635,0.03125
1649943059.0547206,230675,0.0
1649943341.4768052,240718,0.0
1649943610.1118937,250739,0.03125
1649943876.221178,260749,0.0
1649944142.2549968,270783,0.0
1649944413.9819674,280785,0.03125
1649944673.9596782,290796,0.0
1649944930.8518455,300850,0.0625
1649945193.9195051,310884,0.0625
1649945456.8419647,320892,0.03125
1649945729.0654898,330903,0.21875
1649945988.860539,340922,0.03125
1649946256.1446693,350959,0.03125
1649946511.6344318,361002,0.15625
1649946763.0792456,371011,0.125
1649947005.5416794,381040,0.125
1649947248.6649702,391086,0.09375
1649947488.6007166,401108,0.09375
1649947726.3120656,411120,0.0
1649947965.2299497,421136,0.09375
1649948207.1016314,431155,0.09375
1649948452.3125978,441202,0.15625
1649948690.0933704,451230,0.125
1649948923.9114087,461270,0.21875
1649949163.1367888,471280,0.1875
1649949402.1969256,481297,0.09375
1649949644.526017,491339,0.3125
1649949892.7008157,501362,0.3125
1649950128.1000822,511387,0.1875
1649950362.9800794,521417,0.40625
1649950596.7131457,531459,0.46875
1649950834.8554597,541489,0.28125
1649951066.8551705,551494,0.4375
1649951308.6841998,561500,0.3125
1649951546.0630178,571529,0.625
1649951783.2103407,581539,0.5625
1649952014.625944,591545,0.40625
1649952252.1370304,601557,0.65625
1649952496.032031,611557,0.5625
1649952732.7859228,621563,0.84375
1649952961.880643,631587,0.46875
1649953195.2182486,641594,0.71875
1649953425.6499534,651606,0.5
1649953658.729561,661661,0.84375
1649953888.3088236,671673,0.84375
1649954119.7323334,681689,0.875
1649954347.5787847,691699,0.90625
1649954577.2518034,701706,0.9375
1649954819.0653107,711726,0.96875
1649955061.544998,721769,1.0
1649955297.1224668,731800,0.9375
1649955527.4341404,741832,0.875
1649955756.1603343,751879,0.90625
1649955991.8506007,761929,0.96875
1649956226.9844484,771929,0.96875
1649956468.7634423,781961,0.9375
1649956704.1468058,792005,0.96875
1649956932.1150079,802021,0.96875
1649957161.171316,812042,0.96875
1649957392.3581936,822087,0.90625
1649957621.1484466,832122,0.9375
1649957862.5930324,842168,0.96875
1649958087.6706903,852203,0.96875
1649958314.7369337,862235,0.96875
1649958540.8586159,872289,0.9375
1649958772.368406,882337,1.0
1649959005.5679886,892386,1.0
1649959230.6230955,902395,0.96875
1649959453.5914996,912429,0.96875
1649959688.6328228,922448,0.90625
1649959922.4771974,932460,0.9375
1649960155.3940394,942483,0.96875
1649960391.7362003,952483,1.0
1649960625.4189675,962491,0.96875
1649960855.8152077,972522,0.96875
1649961083.3498943,982527,1.0
1649961311.0814548,992586,0.9375
